f,u,n,d,a,&,f,d,n,d,a,#,f,d,n,d,a,$,COPY	f,u,n,d,a
c,a,b,j,c,g,a,&,c,a,b,k,c,g,a,#,c,a,b,k,c,g,a,$,COPY	c,a,b,j,c,g,a
c,a,b,j,c,g,a,&,c,t,b,q,c,g,a,#,n,g,i,z,o,c,t,b,q,c,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,b,j,c,g,a
c,o,b,a,u,g,a,&,c,n,f,a,u,g,a,#,c,n,f,a,u,g,a,$,COPY	c,o,b,a,u,g,a
c,o,b,a,u,g,a,&,c,j,b,a,u,g,a,#,n,g,i,c,j,b,a,u,g,e,$,V,SG,1,PST+RCT	n,g,i,c,o,b,a,u,g,e
c,a,b,y,n,g,a,&,c,a,v,y,n,g,a,#,c,a,v,y,n,g,a,$,COPY	c,a,b,y,n,g,a
c,a,b,y,n,g,a,&,c,m,b,y,n,g,a,#,n,g,a,c,m,b,y,n,g,a,$,V,SG,1,PST+RMT	n,g,a,c,a,b,y,n,g,a
c,q,z,a,l,y,a,&,c,e,z,a,l,y,a,#,c,e,z,a,l,y,a,$,COPY	c,q,z,a,l,y,a
c,q,z,a,l,y,a,&,c,q,z,n,l,y,a,#,n,g,i,y,o,c,q,z,n,l,y,a,$,V,SG,1,FUT	n,g,i,y,o,c,q,z,a,l,y,a
h,f,b,l,a, ,p,e,a,n,s,i,&,h,f,b,m,a, ,p,e,a,n,s,i,#,h,f,b,m,a, ,p,e,a,n,s,i,$,COPY	h,f,b,l,a, ,p,e,a,n,s,i
h,f,b,l,a, ,p,e,a,n,s,i,&,h,j,b,w,a, ,p,e,a,n,s,i,#,n,g,i,h,j,b,w,e, ,p,e,a,n,s,i,$,V,SG,1,PST+RCT	n,g,i,h,f,b,l,e, ,p,e,a,n,s,i
h,l,p,n,g, ,p,v,a,n,s,i,&,h,l,p,y,g, ,p,v,a,n,s,i,#,h,l,p,y,g, ,p,v,a,n,s,i,$,COPY	h,l,p,n,g, ,p,v,a,n,s,i
h,l,p,n,g, ,p,v,a,n,s,i,&,s,e,p,k,g, ,p,v,a,n,s,i,#,n,g,i,y,o,s,e,p,k,g, ,p,v,a,n,s,i,$,V,SG,1,FUT	n,g,i,y,o,h,l,p,n,g, ,p,v,a,n,s,i
d,l,a,g,i, ,p,h,f,v,c,i,&,y,l,a,g,i, ,p,h,f,v,c,i,#,y,l,a,g,i, ,p,h,f,v,c,i,$,COPY	d,l,a,g,i, ,p,h,f,v,c,i
d,l,a,g,i, ,p,h,f,v,c,i,&,d,w,a,d,i, ,p,h,f,v,c,i,#,n,g,i,d,w,a,d,i, ,p,h,f,v,c,i,$,V,SG,1,PRS	n,g,i,d,l,a,g,i, ,p,h,f,v,c,i
s,t,a,c,a, ,p,m,a,j,t,i,&,l,b,a,c,a, ,p,m,a,j,t,i,#,l,b,a,c,a, ,p,m,a,j,t,i,$,COPY	s,t,a,c,a, ,p,m,a,j,t,i
s,t,a,c,a, ,p,m,a,j,t,i,&,g,t,d,g,a, ,p,m,a,j,t,i,#,n,g,i,z,o,g,t,d,g,a, ,p,m,a,j,t,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,t,a,c,a, ,p,m,a,j,t,i
z,l,z,l,b, ,p,h,n,l,s,i,&,z,q,z,l,b, ,p,h,n,l,s,i,#,z,q,z,l,b, ,p,h,n,l,s,i,$,COPY	z,l,z,l,b, ,p,h,n,l,s,i
z,l,z,l,b, ,p,h,n,l,s,i,&,z,l,z,c,b, ,p,h,n,l,s,i,#,n,g,a,z,l,z,c,b, ,p,h,n,l,s,i,$,V,SG,1,PST+RMT	n,g,a,z,l,z,l,b, ,p,h,n,l,s,i
c,h,h,l,k,&,c,h,h,a,k,#,c,h,h,a,k,$,COPY	c,h,h,l,k
c,h,h,l,k,&,c,a,m,k,k,#,n,g,i,y,o,c,a,m,k,k,$,V,SG,1,FUT	n,g,i,y,o,c,h,h,l,k
u,h,o,n,s,&,u,h,o,y,j,#,u,h,o,y,j,$,COPY	u,h,o,n,s
u,h,o,n,s,&,u,h,o,n,q,#,n,g,i,z,o,u,h,o,n,q,$,V,SG,1,FUT+IMMED	n,g,i,z,o,u,h,o,n,s
f,q,o,l,a,&,f,o,o,l,a,#,f,o,o,l,a,$,COPY	f,q,o,l,a
f,q,o,l,a,&,f,q,o,l,e,#,n,g,a,f,q,o,l,e,$,V,SG,1,PST+RMT	n,g,a,f,q,o,l,a
t,h,o,b,a,&,t,h,i,b,a,#,t,h,i,b,a,$,COPY	t,h,o,b,a
t,h,o,b,a,&,t,y,o,b,a,#,n,g,i,t,y,o,b,a,$,V,SG,1,PRS	n,g,i,t,h,o,b,a
q,h,e,u,a,&,q,y,g,b,a,#,q,y,g,b,a,$,COPY	q,h,e,u,a
q,h,e,u,a,&,s,p,e,u,a,#,n,g,i,s,p,e,u,e,$,V,SG,1,PST+RCT	n,g,i,q,h,e,u,e
l,y,y,n,l,a,&,l,f,y,n,l,a,#,l,f,y,n,l,a,$,COPY	l,y,y,n,l,a
l,y,y,n,l,a,&,l,f,n,i,l,a,#,n,g,a,l,f,n,i,l,a,$,V,SG,1,PST+RMT	n,g,a,l,y,y,n,l,a
l,b,c,j,w,a,&,l,q,c,i,w,a,#,l,q,c,i,w,a,$,COPY	l,b,c,j,w,a
l,b,c,j,w,a,&,l,b,c,j,d,a,#,n,g,i,z,o,l,b,c,j,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,b,c,j,w,a
l,b,b,e,l,a,&,l,a,o,e,l,a,#,l,a,o,e,l,a,$,COPY	l,b,b,e,l,a
l,b,b,e,l,a,&,l,b,o,e,l,a,#,n,g,i,l,b,o,e,l,a,$,V,SG,1,PRS	n,g,i,l,b,b,e,l,a
l,u,i,e,l,a,&,l,u,i,a,l,a,#,l,u,i,a,l,a,$,COPY	l,u,i,e,l,a
l,u,i,e,l,a,&,l,e,w,e,d,a,#,n,g,i,y,o,l,e,w,e,d,a,$,V,SG,1,FUT	n,g,i,y,o,l,u,i,e,l,a
t,a,l,e,d,a,&,t,a,v,e,d,a,#,t,a,v,e,d,a,$,COPY	t,a,l,e,d,a
t,a,l,e,d,a,&,t,k,l,o,d,a,#,n,g,i,t,k,l,o,d,e,$,V,SG,1,PST+RCT	n,g,i,t,a,l,e,d,e
o,h,f,m,a,&,o,h,s,m,a,#,o,h,s,m,a,$,COPY	o,h,f,m,a
o,h,f,m,a,&,o,h,f,l,a,#,n,g,i,y,o,o,h,f,l,a,$,V,SG,1,FUT	n,g,i,y,o,o,h,f,m,a
a,h,u,s,a,&,b,h,u,s,u,#,b,h,u,s,u,$,COPY	a,h,u,s,a
a,h,u,s,a,&,j,h,m,s,a,#,n,g,i,j,h,m,s,e,$,V,SG,1,PST+RCT	n,g,i,a,h,u,s,e
q,s,u,m,a,&,o,s,u,m,d,#,o,s,u,m,d,$,COPY	q,s,u,m,a
q,s,u,m,a,&,q,s,q,p,a,#,n,g,a,q,s,q,p,a,$,V,SG,1,PST+RMT	n,g,a,q,s,u,m,a
k,m,u,h,c,&,z,m,u,c,c,#,z,m,u,c,c,$,COPY	k,m,u,h,c
k,m,u,h,c,&,k,n,u,h,b,#,n,g,i,k,n,u,h,b,$,V,SG,1,PRS	n,g,i,k,m,u,h,c
t,f,v,m,a,&,t,f,v,m,w,#,t,f,v,m,w,$,COPY	t,f,v,m,a
t,f,v,m,a,&,t,f,v,c,b,#,n,g,i,z,o,t,f,v,c,b,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,f,v,m,a
n,v,u,n,a,&,n,v,u,n,o,#,n,v,u,n,o,$,COPY	n,v,u,n,a
n,v,u,n,a,&,n,e,u,u,a,#,n,g,i,n,e,u,u,e,$,V,SG,1,PST+RCT	n,g,i,n,v,u,n,e
n,g,g,k,w,&,n,g,f,k,w,#,n,g,f,k,w,$,COPY	n,g,g,k,w
n,g,g,k,w,&,n,g,g,y,w,#,n,g,i,z,o,n,g,g,y,w,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,g,g,k,w
n,g,e,n,u,&,q,g,e,n,u,#,q,g,e,n,u,$,COPY	n,g,e,n,u
n,g,e,n,u,&,n,m,e,c,u,#,n,g,a,n,m,e,c,u,$,V,SG,1,PST+RMT	n,g,a,n,g,e,n,u
n,s,v,n,q,&,p,s,v,a,q,#,p,s,v,a,q,$,COPY	n,s,v,n,q
n,s,v,n,q,&,n,l,v,b,q,#,n,g,i,y,o,n,l,v,b,q,$,V,SG,1,FUT	n,g,i,y,o,n,s,v,n,q
z,e,e,k,a,&,w,e,e,k,a,#,w,e,e,k,a,$,COPY	z,e,e,k,a
z,e,e,k,a,&,z,e,a,k,a,#,n,g,i,z,e,a,k,a,$,V,SG,1,PRS	n,g,i,z,e,e,k,a
h,u,e,p,w,&,h,f,n,p,w,#,h,f,n,p,w,$,COPY	h,u,e,p,w
h,u,e,p,w,&,h,u,a,p,w,#,n,g,i,z,o,h,u,a,p,w,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,u,e,p,w
f,j,e,p,a,&,f,j,u,p,a,#,f,j,u,p,a,$,COPY	f,j,e,p,a
f,j,e,p,a,&,f,j,e,g,a,#,n,g,i,f,j,e,g,e,$,V,SG,1,PST+RCT	n,g,i,f,j,e,p,e
d,h,e,k,l,&,d,j,e,k,l,#,d,j,e,k,l,$,COPY	d,h,e,k,l
d,h,e,k,l,&,e,h,l,q,l,#,n,g,i,e,h,l,q,l,$,V,SG,1,PRS	n,g,i,d,h,e,k,l
z,h,e,a,e,&,z,h,e,a,b,#,z,h,e,a,b,$,COPY	z,h,e,a,e
z,h,e,a,e,&,z,f,e,a,e,#,n,g,a,z,f,e,a,e,$,V,SG,1,PST+RMT	n,g,a,z,h,e,a,e
j,p,d,k,a,&,j,p,d,k,b,#,j,p,d,k,b,$,COPY	j,p,d,k,a
j,p,d,k,a,&,w,p,d,k,a,#,n,g,i,y,o,w,p,d,k,a,$,V,SG,1,FUT	n,g,i,y,o,j,p,d,k,a
t,y,e,n,g,i,t,a,&,t,j,e,n,g,i,t,a,#,t,j,e,n,g,i,t,a,$,COPY	t,y,e,n,g,i,t,a
t,y,e,n,g,i,t,a,&,t,y,e,o,g,i,e,a,#,n,g,i,z,o,t,y,e,o,g,i,e,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,y,e,n,g,i,t,a
t,h,f,n,f,i,s,a,&,t,c,f,n,f,g,k,a,#,t,c,f,n,f,g,k,a,$,COPY	t,h,f,n,f,i,s,a
t,h,f,n,f,i,s,a,&,t,f,f,n,f,h,s,a,#,n,g,i,t,f,f,n,f,h,s,a,$,V,SG,1,PRS	n,g,i,t,h,f,n,f,i,s,a
t,h,o,n,e,i,v,a,&,t,k,l,n,e,c,o,a,#,t,k,l,n,e,c,o,a,$,COPY	t,h,o,n,e,i,v,a
t,h,o,n,e,i,v,a,&,t,h,o,n,e,h,v,a,#,n,g,i,y,o,t,h,o,n,e,h,v,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,o,n,e,i,v,a
t,h,g,k,p,i,s,a,&,t,h,f,k,p,i,s,a,#,t,h,f,k,p,i,s,a,$,COPY	t,h,g,k,p,i,s,a
t,h,g,k,p,i,s,a,&,t,g,g,k,p,i,s,a,#,n,g,i,t,g,g,k,p,i,s,e,$,V,SG,1,PST+RCT	n,g,i,t,h,g,k,p,i,s,e
t,h,c,f,d,i,s,a,&,t,t,c,f,d,w,s,a,#,t,t,c,f,d,w,s,a,$,COPY	t,h,c,f,d,i,s,a
t,h,c,f,d,i,s,a,&,t,h,h,f,d,i,g,a,#,n,g,a,t,h,h,f,d,i,g,a,$,V,SG,1,PST+RMT	n,g,a,t,h,c,f,d,i,s,a
s,o,l,k,&,s,o,q,k,#,s,o,q,k,$,COPY	s,o,l,k
s,o,l,k,&,s,z,l,k,#,n,g,i,y,o,s,z,l,k,$,V,SG,1,FUT	n,g,i,y,o,s,o,l,k
l,k,l,v,&,n,k,l,w,#,n,k,l,w,$,COPY	l,k,l,v
l,k,l,v,&,h,h,l,c,#,n,g,a,h,h,l,c,$,V,SG,1,PST+RMT	n,g,a,l,k,l,v
i,a,u,a,&,i,a,u,c,#,i,a,u,c,$,COPY	i,a,u,a
i,a,u,a,&,u,a,p,a,#,n,g,i,z,o,u,a,p,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,i,a,u,a
s,u,k,a,&,s,u,d,a,#,s,u,d,a,$,COPY	s,u,k,a
s,u,k,a,&,s,u,f,a,#,n,g,i,s,u,f,a,$,V,SG,1,PRS	n,g,i,s,u,k,a
s,a,l,a,&,s,d,l,a,#,n,g,i,s,d,l,e,$,V,SG,1,PST+RCT	n,g,i,s,a,l,e
n,j,a,&,n,h,u,#,n,h,u,$,COPY	n,j,a
n,j,a,&,n,z,a,#,n,g,e,n,z,a,$,V,SG,1,PRS	n,g,i,n,j,a
s,e,u,e,c,o,a,&,s,e,u,e,g,o,a,#,s,e,u,e,g,o,a,$,COPY	s,e,u,e,c,o,a
s,e,u,e,c,o,a,&,s,e,u,t,c,o,a,#,n,g,i,y,o,s,e,u,t,c,o,a,$,V,SG,1,FUT	n,g,i,y,o,s,e,u,e,c,o,a
s,n,b,y,n,i,a,&,s,n,b,y,w,o,a,#,s,n,b,y,w,o,a,$,COPY	s,n,b,y,n,i,a
s,n,b,y,n,i,a,&,s,v,b,m,q,f,a,#,n,g,i,z,o,s,v,b,m,q,f,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,n,b,y,n,i,a
s,n,b,e,z,z,a,&,s,n,b,e,z,f,a,#,s,n,b,e,z,f,a,$,COPY	s,n,b,e,z,z,a
s,n,b,e,z,z,a,&,s,n,b,e,l,z,a,#,n,g,a,s,n,b,e,l,z,a,$,V,SG,1,PST+RMT	n,g,a,s,n,b,e,z,z,a
s,e,u,z,n,z,a,&,s,n,u,y,n,z,a,#,s,n,u,y,n,z,a,$,COPY	s,e,u,z,n,z,a
s,e,u,z,n,z,a,&,s,e,u,z,c,z,a,#,n,g,i,s,e,u,z,c,z,a,$,V,SG,1,PRS	n,g,i,s,e,u,z,n,z,a
s,e,b,e,n,z,a,&,s,e,f,e,n,z,a,#,n,g,i,s,e,f,e,n,z,e,$,V,SG,1,PST+RCT	n,g,i,s,e,b,e,n,z,e
z,h,s,a,&,b,h,g,a,#,b,h,g,a,$,COPY	z,h,s,a
z,h,s,a,&,z,h,a,a,#,n,g,i,z,h,a,a,$,V,SG,1,PRS	n,g,i,z,h,s,a
z,i,s,w,&,z,i,f,w,#,z,i,f,w,$,COPY	z,i,s,w
z,i,s,w,&,z,i,s,q,#,n,g,i,y,o,k,w,a,z,i,s,q,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,z,i,s,w
w,d,u,p,&,w,q,u,p,#,w,q,u,p,$,COPY	w,d,u,p
w,d,u,p,&,w,u,u,p,#,n,g,i,z,o,k,w,a,w,u,u,p,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,w,d,u,p
w,i,s,g,&,w,k,b,g,#,w,k,b,g,$,COPY	w,i,s,g
w,i,s,g,&,w,c,s,o,#,n,g,a,w,c,s,o,$,V,SG,1,PST+RMT	n,g,a,w,i,s,g
z,f,s,a,&,z,f,s,b,#,z,f,s,b,$,COPY	z,f,s,a
z,f,s,a,&,n,f,s,a,#,n,g,i,y,a,n,f,s,e,$,V,SG,1,PST+RCT	n,g,i,y,a,z,f,s,e
n,z,v,h,t,&,n,z,v,a,b,#,n,z,v,a,b,$,COPY	n,z,v,h,t
n,z,v,h,t,&,n,t,v,j,t,#,n,g,e,n,t,v,j,t,$,V,SG,1,PRS	n,g,e,n,z,v,h,t
n,z,e,y,a,&,y,z,j,y,a,#,y,z,j,y,a,$,COPY	n,z,e,y,a
n,z,e,y,a,&,n,z,e,u,i,#,n,g,i,y,o,k,w,e,n,z,e,u,i,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,e,y,a
n,z,e,s,a,&,n,z,e,s,y,#,n,z,e,s,y,$,COPY	n,z,e,s,a
n,z,e,s,a,&,n,z,e,e,a,#,n,g,e,n,z,e,e,e,$,V,SG,1,PST+RCT	n,g,e,n,z,e,s,e
n,e,h,f,z,&,n,k,h,f,z,#,n,k,h,f,z,$,COPY	n,e,h,f,z
n,e,h,f,z,&,n,e,h,s,s,#,n,g,i,z,o,k,w,e,n,e,h,s,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,e,h,f,z
n,f,e,k,n,&,n,f,e,i,n,#,n,f,e,i,n,$,COPY	n,f,e,k,n
n,f,e,k,n,&,n,f,e,y,n,#,n,g,a,n,f,e,y,n,$,V,SG,1,PST+RMT	n,g,a,n,f,e,k,n
k,f,u,u,u,m,a,&,k,w,b,u,u,g,a,#,k,w,b,u,u,g,a,$,COPY	k,f,u,u,u,m,a
k,f,u,u,u,m,a,&,k,u,u,q,u,m,a,#,n,g,i,z,o,k,u,u,q,u,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,f,u,u,u,m,a
k,q,d,l,u,m,a,&,k,q,w,v,w,m,a,#,k,q,w,v,w,m,a,$,COPY	k,q,d,l,u,m,a
k,q,d,l,u,m,a,&,k,q,d,k,u,m,a,#,n,g,i,k,q,d,k,u,m,e,$,V,SG,1,PST+RCT	n,g,i,k,q,d,l,u,m,e
k,h,v,l,u,g,a,&,k,q,t,l,u,g,a,#,k,q,t,l,u,g,a,$,COPY	k,h,v,l,u,g,a
k,h,v,l,u,g,a,&,k,h,n,s,u,k,a,#,n,g,i,y,o,k,h,n,s,u,k,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,v,l,u,g,a
k,a,j,g,u,v,a,&,k,t,j,w,d,v,a,#,k,t,j,w,d,v,a,$,COPY	k,a,j,g,u,v,a
k,a,j,g,u,v,a,&,k,l,j,g,u,v,a,#,n,g,i,k,l,j,g,u,v,a,$,V,SG,1,PRS	n,g,i,k,a,j,g,u,v,a
k,w,u,g,u,m,a,&,k,w,u,g,u,v,a,#,k,w,u,g,u,v,a,$,COPY	k,w,u,g,u,m,a
k,w,u,g,u,m,a,&,k,g,u,n,v,o,a,#,n,g,a,k,g,u,n,v,o,a,$,V,SG,1,PST+RMT	n,g,a,k,w,u,g,u,m,a
m,u,b,e,l,a,&,m,p,b,e,l,a,#,m,p,b,e,l,a,$,COPY	m,u,b,e,l,a
m,u,b,e,l,a,&,m,u,e,e,s,a,#,n,g,i,z,o,k,w,a,m,u,e,e,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,u,b,e,l,a
m,u,n,e,w,a,&,m,t,o,e,a,a,#,m,t,o,e,a,a,$,COPY	m,u,n,e,w,a
m,u,n,e,w,a,&,m,u,n,w,w,a,#,n,g,i,m,u,n,w,w,a,$,V,SG,1,PRS	n,g,i,m,u,n,e,w,a
m,j,k,o,l,a,&,m,j,w,i,t,a,#,m,j,w,i,t,a,$,COPY	m,j,k,o,l,a
m,j,k,o,l,a,&,m,m,e,h,e,a,#,n,g,i,y,o,k,w,a,m,m,e,h,e,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,m,j,k,o,l,a
v,u,k,m,o,a,&,v,l,k,m,v,a,#,v,l,k,m,v,a,$,COPY	v,u,k,m,o,a
v,u,k,m,o,a,&,v,o,l,m,o,a,#,n,g,i,y,a,v,o,l,m,o,e,$,V,SG,1,PST+RCT	n,g,i,y,a,v,u,k,m,o,e
m,u,k,e,q,a,&,m,u,k,k,q,a,#,m,u,k,k,q,a,$,COPY	m,u,k,e,q,a
m,u,k,e,q,a,&,m,u,k,e,b,a,#,n,g,a,m,u,k,e,b,a,$,V,SG,1,PST+RMT	n,g,a,m,u,k,e,q,a
s,h,q,y,e,e,a,&,s,h,q,y,e,k,a,#,s,h,q,y,e,k,a,$,COPY	s,h,q,y,e,e,a
s,h,q,y,e,e,a,&,s,h,q,y,e,g,a,#,n,g,i,y,o,s,h,q,y,e,g,a,$,V,SG,1,FUT	n,g,i,y,o,s,h,q,y,e,e,a
s,h,a,y,y,l,a,&,s,e,a,y,c,l,a,#,s,e,a,y,c,l,a,$,COPY	s,h,a,y,y,l,a
s,h,a,y,y,l,a,&,s,h,n,p,n,l,a,#,n,g,i,s,h,n,p,n,l,a,$,V,SG,1,PRS	n,g,i,s,h,a,y,y,l,a
s,h,a,k,e,l,a,&,s,k,a,k,e,l,a,#,s,k,a,k,e,l,a,$,COPY	s,h,a,k,e,l,a
s,h,a,k,e,l,a,&,s,h,a,k,t,l,a,#,n,g,i,s,h,a,k,t,l,e,$,V,SG,1,PST+RCT	n,g,i,s,h,a,k,e,l,e
s,m,l,y,f,i,a,&,s,n,o,y,f,m,a,#,s,n,o,y,f,m,a,$,COPY	s,m,l,y,f,i,a
s,m,l,y,f,i,a,&,s,c,h,y,s,i,a,#,n,g,a,s,c,h,y,s,i,a,$,V,SG,1,PST+RMT	n,g,a,s,m,l,y,f,i,a
s,j,i,s,m,g,a,&,s,j,i,d,j,g,a,#,s,j,i,d,j,g,a,$,COPY	s,j,i,s,m,g,a
s,j,i,s,m,g,a,&,s,j,t,s,m,g,a,#,n,g,i,z,o,s,j,t,s,m,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,j,i,s,m,g,a
n,j,c,a,&,y,j,c,a,#,y,j,c,a,$,COPY	n,j,c,a
n,j,c,a,&,n,y,c,a,#,n,g,i,n,y,c,a,$,V,SG,1,PRS	n,g,i,n,j,c,a
n,a,p,a,&,n,a,q,a,#,n,a,q,a,$,COPY	n,a,p,a
n,a,p,a,&,n,a,k,a,#,n,g,i,n,a,k,e,$,V,SG,1,PST+RCT	n,g,i,n,a,p,e
n,a,y,b,&,q,a,y,b,#,q,a,y,b,$,COPY	n,a,y,b
n,a,y,b,&,n,a,y,c,#,n,g,i,y,o,n,a,y,c,$,V,SG,1,FUT	n,g,i,y,o,n,a,y,b
u,d,k,s,&,h,d,k,s,#,h,d,k,s,$,COPY	u,d,k,s
u,d,k,s,&,u,d,f,b,#,n,g,i,z,o,u,d,f,b,$,V,SG,1,FUT+IMMED	n,g,i,z,o,u,d,k,s
n,h,k,o,&,h,h,k,q,#,h,h,k,q,$,COPY	n,h,k,o
n,h,k,o,&,n,h,k,t,#,n,g,a,n,h,k,t,$,V,SG,1,PST+RMT	n,g,a,n,h,k,o
q,a,l,a,&,h,p,l,a,#,n,g,i,h,p,l,e,$,V,SG,1,PST+RCT	n,g,i,q,a,l,e
q,z,l,u,&,q,z,j,u,#,q,z,j,u,$,COPY	q,z,l,u
q,z,l,u,&,q,z,t,u,#,n,g,i,y,o,q,z,t,u,$,V,SG,1,FUT	n,g,i,y,o,q,z,l,u
c,a,c,j,&,c,a,c,n,#,c,a,c,n,$,COPY	c,a,c,j
c,a,c,j,&,k,a,j,j,#,n,g,i,k,a,j,j,$,V,SG,1,PRS	n,g,i,c,a,c,j
q,a,l,s,&,q,s,l,s,#,q,s,l,s,$,COPY	q,a,l,s
q,a,l,s,&,h,a,l,s,#,n,g,a,h,a,l,s,$,V,SG,1,PST+RMT	n,g,a,q,a,l,s
v,a,g,i,&,h,a,g,q,#,h,a,g,q,$,COPY	v,a,g,i
v,a,g,i,&,v,b,g,i,#,n,g,i,z,o,v,b,g,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,a,g,i
z,z,k,p,&,l,z,k,p,#,l,z,k,p,$,COPY	z,z,k,p
z,z,k,p,&,g,f,t,q,#,n,g,i,g,f,t,q,$,V,SG,1,PRS	n,g,i,z,z,k,p
n,m,n,a,&,n,m,k,a,#,n,m,k,a,$,COPY	n,m,n,a
n,m,n,a,&,n,m,n,q,#,n,g,i,z,o,n,m,n,q,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,m,n,a
z,a,k,a,&,z,a,k,y,#,z,a,k,y,$,COPY	z,a,k,a
z,a,k,a,&,z,w,t,a,#,n,g,i,z,w,t,e,$,V,SG,1,PST+RCT	n,g,i,z,a,k,e
c,a,k,a,&,c,a,k,d,#,c,a,k,d,$,COPY	c,a,k,a
c,a,k,a,&,c,k,k,l,#,n,g,a,c,k,k,l,$,V,SG,1,PST+RMT	n,g,a,c,a,k,a
f,a,s,a,&,h,n,s,i,#,h,n,s,i,$,COPY	f,a,s,a
f,a,s,a,&,f,s,s,a,#,n,g,i,y,o,f,s,s,a,$,V,SG,1,FUT	n,g,i,y,o,f,a,s,a
h,l,f,k,a,&,h,m,f,k,q,#,h,m,f,k,q,$,COPY	h,l,f,k,a
h,l,f,k,a,&,h,l,f,j,a,#,n,g,i,h,l,f,j,e,$,V,SG,1,PST+RCT	n,g,i,h,l,f,k,e
l,a,t,k,j,&,l,l,t,k,o,#,l,l,t,k,o,$,COPY	l,a,t,k,j
l,a,t,k,j,&,l,m,w,k,j,#,n,g,a,l,m,w,k,j,$,V,SG,1,PST+RMT	n,g,a,l,a,t,k,j
h,m,e,k,a,&,f,m,e,k,d,#,f,m,e,k,d,$,COPY	h,m,e,k,a
h,m,e,k,a,&,i,m,e,k,d,#,n,g,i,y,o,i,m,e,k,d,$,V,SG,1,FUT	n,g,i,y,o,h,m,e,k,a
h,l,k,h,a,&,h,l,q,h,a,#,h,l,q,h,a,$,COPY	h,l,k,h,a
h,l,k,h,a,&,h,l,k,h,d,#,n,g,i,y,a,h,l,k,h,d,$,V,SG,1,PRS	n,g,i,y,a,h,l,k,h,a
z,d,e,k,a,&,g,j,e,k,a,#,g,j,e,k,a,$,COPY	z,d,e,k,a
z,d,e,k,a,&,z,q,e,k,a,#,n,g,i,z,o,z,q,e,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,z,d,e,k,a
q,e,d,f,&,q,e,d,g,#,q,e,d,g,$,COPY	q,e,d,f
q,e,d,f,&,q,n,d,f,#,n,g,a,q,n,d,f,$,V,SG,1,PST+RMT	n,g,a,q,e,d,f
q,e,d,v,&,u,e,v,v,#,u,e,v,v,$,COPY	q,e,d,v
q,e,d,v,&,q,e,d,o,#,n,g,i,z,o,q,e,d,o,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,e,d,v
l,e,o,a,&,l,e,t,a,#,l,e,t,a,$,COPY	l,e,o,a
l,e,o,a,&,d,e,o,s,#,n,g,i,y,o,d,e,o,s,$,V,SG,1,FUT	n,g,i,y,o,l,e,o,a
q,e,d,a,&,q,d,d,q,#,n,g,i,q,d,d,q,$,V,SG,1,PRS	n,g,i,q,e,d,a
f,i,q,a,&,h,i,q,y,#,h,i,q,y,$,COPY	f,i,q,a
f,i,q,a,&,f,q,q,a,#,n,g,i,f,q,q,e,$,V,SG,1,PST+RCT	n,g,i,f,i,q,e
p,s,i,c,v,&,h,s,m,c,v,#,h,s,m,c,v,$,COPY	p,s,i,c,v
p,s,i,c,v,&,p,s,i,c,m,#,n,g,a,p,s,i,c,m,$,V,SG,1,PST+RMT	n,g,a,p,s,i,c,v
p,j,e,p,a,&,e,j,q,p,a,#,e,j,q,p,a,$,COPY	p,j,e,p,a
p,j,e,p,a,&,p,b,e,z,a,#,n,g,i,p,b,e,z,e,$,V,SG,1,PST+RCT	n,g,i,p,j,e,p,e
p,i,i,t,a,&,p,i,i,u,a,#,p,i,i,u,a,$,COPY	p,i,i,t,a
p,i,i,t,a,&,n,i,i,t,a,#,n,g,i,z,o,n,i,i,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,i,i,t,a
u,t,i,l,v,&,u,t,i,p,v,#,u,t,i,p,v,$,COPY	u,t,i,l,v
u,t,i,l,v,&,u,t,i,l,k,#,n,g,i,y,o,u,t,i,l,k,$,V,SG,1,FUT	n,g,i,y,o,u,t,i,l,v
