s,e,k,a,&,s,e,h,a,#,s,e,h,a,$,COPY	s,e,k,a
k,u,i,t,i,k,a,&,k,u,i,t,i,k,e,#,z,v,a,i,t,i,k,e,$,V,SG,1,HOD	z,v,a,i,t,i,k,a
k,u,i,t,i,k,a,&,k,u,i,t,e,k,a,#,z,v,i,r,i,k,u,i,t,e,k,a,$,V,PL,1,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,&,k,u,i,t,i,p,a,#,z,v,a,k,a,i,t,i,p,a,$,V,SG,2,PST	z,v,a,k,a,i,t,i,k,a
k,u,i,t,i,k,a,&,k,f,g,t,i,k,a,#,z,v,i,r,i,k,f,g,t,i,k,a,$,V,PL,2,PRS	z,v,i,r,i,k,u,i,t,i,k,a
k,u,i,t,i,k,a,&,k,u,i,t,i,z,a,#,z,v,a,k,a,i,t,i,z,a,$,V,PL,1,PST	z,v,a,k,a,i,t,i,k,a
k,u,i,t,i,k,a,&,k,u,i,t,c,n,a,#,z,v,i,c,h,a,i,t,c,n,a,$,V,PL,2,FUT	z,v,i,c,h,a,i,t,i,k,a
t,a,n,g,a,&,k,a,n,r,a,#,k,a,n,r,a,$,COPY	t,a,n,g,a
t,a,n,g,a,&,y,o,n,g,k,#,n,d,i,n,o,y,o,n,g,k,$,V,SG,1,PRS	n,d,i,n,o,t,a,n,g,a
t,a,n,g,a,&,t,s,d,g,a,#,t,a,t,s,d,g,a,$,V,PL,1,HOD	t,a,t,a,n,g,a
t,a,n,g,a,&,y,a,u,o,a,#,w,a,y,a,u,o,a,$,V,SG,2,HOD	w,a,t,a,n,g,a
t,a,n,g,a,&,s,a,y,g,a,#,v,a,r,i,k,u,s,a,y,g,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,a,n,g,a
t,a,n,g,a,&,t,a,u,g,a,#,m,a,k,a,t,a,u,g,a,$,V,PL,2,PST	m,a,k,a,t,a,n,g,a
t,a,n,g,a,&,t,z,n,g,a,#,m,u,r,i,k,u,t,z,n,g,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,a,n,g,a
t,a,n,g,a,&,t,e,n,o,a,#,m,u,c,h,a,t,e,n,o,a,$,V,PL,2,FUT	m,u,c,h,a,t,a,n,g,a
t,a,n,g,a,&,t,a,n,g,i,#,u,c,h,a,t,a,n,g,i,$,V,SG,2,FUT	u,c,h,a,t,a,n,g,a
t,a,n,g,a,&,t,a,g,g,s,#,m,u,n,o,t,a,g,g,s,$,V,PL,2,PRS	m,u,n,o,t,a,n,g,a
t,a,n,g,a,&,t,f,n,i,e,#,v,a,n,o,t,f,n,i,e,$,V,PL,3,PRS	v,a,n,o,t,a,n,g,a
t,a,n,g,a,&,t,a,o,g,a,#,v,a,k,a,t,a,o,g,a,$,V,PL,3,PST	v,a,k,a,t,a,n,g,a
t,a,n,g,a,&,t,y,n,t,c,#,n,d,a,t,y,n,t,c,$,V,SG,1,HOD	n,d,a,t,a,n,g,a
t,a,n,g,a,&,t,a,n,c,a,#,a,k,a,t,a,n,c,a,$,V,SG,3,PST	a,k,a,t,a,n,g,a
t,a,n,g,a,&,t,s,i,b,a,#,v,a,c,h,a,t,s,i,b,a,$,V,PL,3,FUT	v,a,c,h,a,t,a,n,g,a
t,a,n,g,a,&,t,a,v,g,k,#,w,a,k,a,t,a,v,g,k,$,V,SG,2,PST	w,a,k,a,t,a,n,g,a
t,a,n,g,a,&,i,a,t,g,w,#,t,i,r,i,k,u,i,a,t,g,w,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,a,n,g,a
t,a,n,g,a,&,t,k,n,w,a,#,n,d,a,k,a,t,k,n,w,a,$,V,SG,1,PST	n,d,a,k,a,t,a,n,g,a
t,a,n,g,a,&,t,a,o,g,a,#,t,a,k,a,t,a,o,g,a,$,V,PL,1,PST	t,a,k,a,t,a,n,g,a
t,a,n,g,a,&,t,a,n,t,a,#,m,a,t,a,n,t,a,$,V,PL,2,HOD	m,a,t,a,n,g,a
t,a,n,g,a,&,u,a,n,g,a,#,a,n,o,u,a,n,g,a,$,V,SG,3,PRS	a,n,o,t,a,n,g,a
t,a,n,g,a,&,c,a,r,g,z,#,a,c,a,r,g,z,$,V,SG,3,HOD	a,t,a,n,g,a
t,a,n,g,a,&,t,a,n,g,g,#,t,i,n,o,t,a,n,g,g,$,V,PL,1,PRS	t,i,n,o,t,a,n,g,a
t,a,n,g,a,&,m,g,n,g,a,#,u,r,i,k,u,m,g,n,g,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,n,g,a
t,a,n,g,a,&,t,g,n,g,a,#,n,d,i,c,h,a,t,g,n,g,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,a,n,g,a
t,a,n,g,a,&,t,a,h,z,a,#,n,d,i,r,i,k,u,t,a,h,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,n,g,a
t,a,n,g,a,&,t,a,r,g,a,#,t,i,c,h,a,t,a,r,g,a,$,V,PL,1,FUT	t,i,c,h,a,t,a,n,g,a
t,a,n,g,a,&,b,a,n,g,a,#,a,c,h,a,b,a,n,g,a,$,V,SG,3,FUT	a,c,h,a,t,a,n,g,a
t,a,n,g,a,&,t,p,n,g,a,#,v,a,t,p,n,g,a,$,V,PL,3,HOD	v,a,t,a,n,g,a
t,a,n,g,a,&,t,a,n,g,m,#,a,r,i,k,u,t,a,n,g,m,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,n,g,a
t,a,n,g,a,&,d,a,n,g,a,#,u,n,o,d,a,n,g,a,$,V,SG,2,PRS	u,n,o,t,a,n,g,a
t,e,n,g,e,s,a,&,t,e,k,g,e,s,a,#,t,e,k,g,e,s,a,$,COPY	t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,w,e,s,a,#,u,r,i,k,u,t,e,n,w,e,s,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,d,e,e,a,#,t,a,k,a,t,e,n,d,e,e,a,$,V,PL,1,PST	t,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,u,n,o,e,s,a,#,m,a,k,a,t,u,n,o,e,s,a,$,V,PL,2,PST	m,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,o,e,s,a,#,t,i,r,i,k,u,t,e,n,o,e,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,o,n,g,t,s,a,#,t,i,n,o,t,o,n,g,t,s,a,$,V,PL,1,PRS	t,i,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,s,f,g,e,s,a,#,a,k,a,t,s,f,g,e,s,a,$,V,SG,3,PST	a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,t,n,g,c,s,a,#,a,t,t,n,g,c,s,a,$,V,SG,3,HOD	a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,y,n,g,e,s,a,#,a,r,i,k,u,t,y,n,g,e,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,o,g,e,s,a,#,v,a,n,o,t,e,o,g,e,s,a,$,V,PL,3,PRS	v,a,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,g,e,z,a,#,m,u,c,h,a,t,e,n,g,e,z,a,$,V,PL,2,FUT	m,u,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,o,n,b,e,s,a,#,m,u,n,o,t,o,n,b,e,s,a,$,V,PL,2,PRS	m,u,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,g,t,s,a,#,u,c,h,a,t,e,n,g,t,s,a,$,V,SG,2,FUT	u,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,r,u,s,a,#,n,d,i,c,h,a,t,e,n,r,u,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,v,n,g,c,s,a,#,w,a,k,a,t,v,n,g,c,s,a,$,V,SG,2,PST	w,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,r,e,s,a,#,n,d,a,k,a,t,e,n,r,e,s,a,$,V,SG,1,PST	n,d,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,g,z,s,a,#,a,c,h,a,t,e,n,g,z,s,a,$,V,SG,3,FUT	a,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,g,z,t,a,#,v,a,c,h,a,t,e,n,g,z,t,a,$,V,PL,3,FUT	v,a,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,z,g,e,s,a,#,t,a,t,e,z,g,e,s,a,$,V,PL,1,HOD	t,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,e,o,g,s,a,#,n,d,i,r,i,k,u,t,e,e,o,g,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,w,n,n,f,s,a,#,w,a,t,w,n,n,f,s,a,$,V,SG,2,HOD	w,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,u,g,e,s,a,#,m,u,r,i,k,u,t,e,u,g,e,s,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,g,k,t,s,a,#,m,a,t,e,g,k,t,s,a,$,V,PL,2,HOD	m,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,n,m,e,s,a,#,v,a,r,i,k,u,t,e,n,m,e,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,k,g,g,e,v,a,#,v,a,t,k,g,g,e,v,a,$,V,PL,3,HOD	v,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,y,g,y,s,a,#,a,n,o,t,e,y,g,y,s,a,$,V,SG,3,PRS	a,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,r,n,g,e,s,a,#,n,d,i,n,o,t,r,n,g,e,s,a,$,V,SG,1,PRS	n,d,i,n,o,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,u,r,e,s,a,#,v,a,k,a,t,e,u,r,e,s,a,$,V,PL,3,PST	v,a,k,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,o,g,e,s,a,#,t,i,c,h,a,t,e,o,g,e,s,a,$,V,PL,1,FUT	t,i,c,h,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,s,g,e,s,a,#,n,d,a,t,e,s,g,e,s,a,$,V,SG,1,HOD	n,d,a,t,e,n,g,e,s,a
t,e,n,g,e,s,a,&,t,e,y,g,e,s,a,#,u,n,o,t,e,y,g,e,s,a,$,V,SG,2,PRS	u,n,o,t,e,n,g,e,s,a
c,h,e,m,a,&,c,h,g,m,a,#,c,h,g,m,a,$,COPY	c,h,e,m,a
c,h,e,m,a,&,c,h,v,m,a,#,u,c,h,a,c,h,v,m,a,$,V,SG,2,FUT	u,c,h,a,c,h,e,m,a
c,h,e,m,a,&,c,z,e,m,a,#,v,a,c,z,e,m,a,$,V,PL,3,HOD	v,a,c,h,e,m,a
c,h,e,m,a,&,c,w,m,m,h,#,w,a,k,a,c,w,m,m,h,$,V,SG,2,PST	w,a,k,a,c,h,e,m,a
c,h,e,m,a,&,d,h,e,m,a,#,w,a,d,h,e,m,a,$,V,SG,2,HOD	w,a,c,h,e,m,a
c,h,e,m,a,&,c,h,e,m,c,#,v,a,c,h,a,c,h,e,m,c,$,V,PL,3,FUT	v,a,c,h,a,c,h,e,m,a
c,h,e,m,a,&,p,h,e,h,a,#,t,i,n,o,p,h,e,h,a,$,V,PL,1,PRS	t,i,n,o,c,h,e,m,a
c,h,e,m,a,&,c,r,e,m,b,#,t,a,k,a,c,r,e,m,b,$,V,PL,1,PST	t,a,k,a,c,h,e,m,a
c,h,e,m,a,&,c,h,m,m,a,#,a,c,h,a,c,h,m,m,a,$,V,SG,3,FUT	a,c,h,a,c,h,e,m,a
c,h,e,m,a,&,c,h,e,y,a,#,m,u,c,h,a,c,h,e,y,a,$,V,PL,2,FUT	m,u,c,h,a,c,h,e,m,a
c,h,e,m,a,&,c,h,z,m,a,#,n,d,i,r,i,k,u,c,h,z,m,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,c,h,e,m,a
c,h,e,m,a,&,v,h,w,m,a,#,v,a,r,i,k,u,v,h,w,m,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,c,h,e,m,a
c,h,e,m,a,&,c,h,p,m,t,#,n,d,a,c,h,p,m,t,$,V,SG,1,HOD	n,d,a,c,h,e,m,a
c,h,e,m,a,&,c,h,e,s,a,#,t,a,c,h,e,s,a,$,V,PL,1,HOD	t,a,c,h,e,m,a
c,h,e,m,a,&,c,h,e,w,a,#,u,n,o,c,h,e,w,a,$,V,SG,2,PRS	u,n,o,c,h,e,m,a
c,h,e,m,a,&,y,h,e,m,a,#,a,k,a,y,h,e,m,a,$,V,SG,3,PST	a,k,a,c,h,e,m,a
c,h,e,m,a,&,h,h,e,t,a,#,a,n,o,h,h,e,t,a,$,V,SG,3,PRS	a,n,o,c,h,e,m,a
c,h,e,m,a,&,c,y,e,m,a,#,a,r,i,k,u,c,y,e,m,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,c,h,e,m,a
c,h,e,m,a,&,d,h,e,m,a,#,n,d,i,c,h,a,d,h,e,m,a,$,V,SG,1,FUT	n,d,i,c,h,a,c,h,e,m,a
c,h,e,m,a,&,i,h,a,m,a,#,v,a,k,a,i,h,a,m,a,$,V,PL,3,PST	v,a,k,a,c,h,e,m,a
c,h,e,m,a,&,c,g,e,h,a,#,m,a,c,g,e,h,a,$,V,PL,2,HOD	m,a,c,h,e,m,a
c,h,e,m,a,&,g,h,e,u,a,#,m,u,r,i,k,u,g,h,e,u,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,c,h,e,m,a
c,h,e,m,a,&,r,h,e,m,a,#,m,a,k,a,r,h,e,m,a,$,V,PL,2,PST	m,a,k,a,c,h,e,m,a
c,h,e,m,a,&,k,h,g,m,o,#,t,i,r,i,k,u,k,h,g,m,o,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,c,h,e,m,a
c,h,e,m,a,&,c,p,e,m,a,#,v,a,n,o,c,p,e,m,a,$,V,PL,3,PRS	v,a,n,o,c,h,e,m,a
c,h,e,m,a,&,h,d,e,m,a,#,n,d,a,k,a,h,d,e,m,a,$,V,SG,1,PST	n,d,a,k,a,c,h,e,m,a
c,h,e,m,a,&,c,h,k,m,p,#,n,d,i,n,o,c,h,k,m,p,$,V,SG,1,PRS	n,d,i,n,o,c,h,e,m,a
c,h,e,m,a,&,a,k,e,m,h,#,t,i,c,h,a,a,k,e,m,h,$,V,PL,1,FUT	t,i,c,h,a,c,h,e,m,a
c,h,e,m,a,&,v,v,e,m,a,#,u,r,i,k,u,v,v,e,m,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,c,h,e,m,a
c,h,e,m,a,&,f,g,e,a,a,#,a,f,g,e,a,a,$,V,SG,3,HOD	a,c,h,e,m,a
c,h,e,m,a,&,c,h,p,m,a,#,m,u,n,o,c,h,p,m,a,$,V,PL,2,PRS	m,u,n,o,c,h,e,m,a
i,n,w,a,&,i,n,e,a,#,i,n,e,a,$,COPY	i,n,w,a
i,n,w,a,&,i,o,w,a,#,m,a,k,a,o,w,a,$,V,PL,2,PST	m,a,k,a,n,w,a
i,n,w,a,&,i,n,o,a,#,v,a,r,i,k,u,n,o,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,n,w,a
i,n,w,a,&,i,n,w,r,#,m,u,c,h,a,n,w,r,$,V,PL,2,FUT	m,u,c,h,a,n,w,a
i,n,w,a,&,i,n,p,v,#,a,c,h,a,n,p,v,$,V,SG,3,FUT	a,c,h,a,n,w,a
i,n,w,a,&,i,n,w,u,#,a,r,i,k,u,n,w,u,$,V,PROG,SG,3,PRS	a,r,i,k,u,n,w,a
i,n,w,a,&,i,n,i,a,#,t,i,r,i,k,u,n,i,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,n,w,a
i,n,w,a,&,i,n,u,a,#,v,a,c,h,a,n,u,a,$,V,PL,3,FUT	v,a,c,h,a,n,w,a
i,n,w,a,&,i,n,r,a,#,v,a,k,a,n,r,a,$,V,PL,3,PST	v,a,k,a,n,w,a
i,n,w,a,&,i,n,i,a,#,t,a,n,i,a,$,V,PL,1,HOD	t,a,n,w,a
i,n,w,a,&,i,n,n,a,#,t,i,c,h,a,n,n,a,$,V,PL,1,FUT	t,i,c,h,a,n,w,a
i,n,w,a,&,i,s,w,a,#,u,r,i,k,u,s,w,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,n,w,a
i,n,w,a,&,i,n,w,z,#,n,d,a,n,w,z,$,V,SG,1,HOD	n,d,a,n,w,a
i,n,w,a,&,i,n,m,a,#,w,a,n,m,a,$,V,SG,2,HOD	w,a,n,w,a
i,n,w,a,&,i,n,w,c,#,u,n,o,n,w,c,$,V,SG,2,PRS	u,n,o,n,w,a
i,n,w,a,&,i,n,e,a,#,v,a,n,e,a,$,V,PL,3,HOD	v,a,n,w,a
i,n,w,a,&,i,n,b,a,#,a,n,b,a,$,V,SG,3,HOD	a,n,w,a
i,n,w,a,&,i,n,o,a,#,a,n,o,n,o,a,$,V,SG,3,PRS	a,n,o,n,w,a
i,n,w,a,&,i,s,w,f,#,t,i,n,o,s,w,f,$,V,PL,1,PRS	t,i,n,o,n,w,a
i,n,w,a,&,i,n,w,r,#,m,u,r,i,k,u,n,w,r,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,n,w,a
i,n,w,a,&,i,b,z,a,#,n,d,i,r,i,k,u,b,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,n,w,a
i,n,w,a,&,i,p,k,a,#,m,a,p,k,a,$,V,PL,2,HOD	m,a,n,w,a
i,n,w,a,&,i,v,w,f,#,v,a,n,o,v,w,f,$,V,PL,3,PRS	v,a,n,o,n,w,a
i,n,w,a,&,i,n,b,a,#,m,u,n,o,n,b,a,$,V,PL,2,PRS	m,u,n,o,n,w,a
i,n,w,a,&,i,o,k,a,#,t,a,k,a,o,k,a,$,V,PL,1,PST	t,a,k,a,n,w,a
i,n,w,a,&,i,t,z,a,#,u,c,h,a,t,z,a,$,V,SG,2,FUT	u,c,h,a,n,w,a
i,n,w,a,&,i,n,w,e,#,n,d,a,k,a,n,w,e,$,V,SG,1,PST	n,d,a,k,a,n,w,a
i,n,w,a,&,i,n,i,k,#,n,d,i,c,h,a,n,i,k,$,V,SG,1,FUT	n,d,i,c,h,a,n,w,a
i,n,w,a,&,i,n,v,b,#,a,k,a,n,v,b,$,V,SG,3,PST	a,k,a,n,w,a
i,n,w,a,&,i,n,h,a,#,n,d,i,n,o,n,h,a,$,V,SG,1,PRS	n,d,i,n,o,n,w,a
i,n,w,a,&,i,a,n,a,#,w,a,k,a,a,n,a,$,V,SG,2,PST	w,a,k,a,n,w,a
b,a,t,s,i,r,a,&,b,a,t,s,i,y,a,#,b,a,t,s,i,y,a,$,COPY	b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,k,t,i,i,r,a,#,m,u,r,i,k,u,b,k,t,i,i,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,r,t,s,i,r,a,#,t,i,c,h,a,b,r,t,s,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,o,t,s,i,r,a,#,v,a,k,a,b,o,t,s,i,r,a,$,V,PL,3,PST	v,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,n,s,i,r,a,#,a,r,i,k,u,b,a,n,s,i,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,y,m,s,i,r,a,#,n,d,i,r,i,k,u,b,y,m,s,i,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,v,s,i,r,a,#,w,a,b,a,v,s,i,r,a,$,V,SG,2,HOD	w,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,p,f,r,a,#,v,a,n,o,b,a,t,p,f,r,a,$,V,PL,3,PRS	v,a,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,u,i,r,a,#,n,d,i,n,o,b,a,t,u,i,r,a,$,V,SG,1,PRS	n,d,i,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,z,t,t,h,u,a,#,u,c,h,a,b,z,t,t,h,u,a,$,V,SG,2,FUT	u,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,s,f,r,a,#,t,i,n,o,b,a,t,s,f,r,a,$,V,PL,1,PRS	t,i,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,d,i,r,a,#,m,a,b,a,t,d,i,r,a,$,V,PL,2,HOD	m,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,s,e,r,a,#,a,k,a,b,a,t,s,e,r,a,$,V,SG,3,PST	a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,v,t,s,k,r,a,#,t,a,b,v,t,s,k,r,a,$,V,PL,1,HOD	t,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,s,v,r,a,#,a,b,a,t,s,v,r,a,$,V,SG,3,HOD	a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,d,s,i,k,a,#,a,n,o,b,a,d,s,i,k,a,$,V,SG,3,PRS	a,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,r,i,r,a,#,t,a,k,a,b,a,t,r,i,r,a,$,V,PL,1,PST	t,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,g,t,s,i,r,a,#,u,r,i,k,u,b,g,t,s,i,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,s,g,n,a,#,u,n,o,b,a,t,s,g,n,a,$,V,SG,2,PRS	u,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,k,t,s,i,g,a,#,t,i,r,i,k,u,b,k,t,s,i,g,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,g,t,s,g,r,a,#,n,d,a,k,a,b,g,t,s,g,r,a,$,V,SG,1,PST	n,d,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,c,t,s,i,r,a,#,v,a,b,c,t,s,i,r,a,$,V,PL,3,HOD	v,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,s,n,r,a,#,m,a,k,a,b,a,t,s,n,r,a,$,V,PL,2,PST	m,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,y,t,s,i,r,a,#,n,d,i,c,h,a,b,y,t,s,i,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,u,i,r,a,#,n,d,a,b,a,t,u,i,r,a,$,V,SG,1,HOD	n,d,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,i,t,s,i,d,a,#,m,u,n,o,b,i,t,s,i,d,a,$,V,PL,2,PRS	m,u,n,o,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,s,i,u,a,#,w,a,k,a,b,a,t,s,i,u,a,$,V,SG,2,PST	w,a,k,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,t,i,r,a,#,m,u,c,h,a,b,a,t,t,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,a,t,m,a,#,v,a,r,i,k,u,b,a,t,a,t,m,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,t,s,v,r,a,#,v,a,c,h,a,b,a,t,s,v,r,a,$,V,PL,3,FUT	v,a,c,h,a,b,a,t,s,i,r,a
b,a,t,s,i,r,a,&,b,a,h,s,i,r,a,#,a,c,h,a,b,a,h,s,i,r,a,$,V,SG,3,FUT	a,c,h,a,b,a,t,s,i,r,a
g,o,n,a,&,w,o,n,a,#,w,o,n,a,$,COPY	g,o,n,a
g,o,n,a,&,b,o,y,k,#,n,d,i,r,i,k,u,b,o,y,k,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,g,o,n,a
g,o,n,a,&,g,o,g,a,#,a,n,o,g,o,g,a,$,V,SG,3,PRS	a,n,o,g,o,n,a
g,o,n,a,&,g,h,n,m,#,a,c,h,a,g,h,n,m,$,V,SG,3,FUT	a,c,h,a,g,o,n,a
g,o,n,a,&,h,o,n,w,#,a,h,o,n,w,$,V,SG,3,HOD	a,g,o,n,a
g,o,n,a,&,t,o,n,a,#,u,c,h,a,t,o,n,a,$,V,SG,2,FUT	u,c,h,a,g,o,n,a
g,o,n,a,&,g,o,n,p,#,m,a,g,o,n,p,$,V,PL,2,HOD	m,a,g,o,n,a
g,o,n,a,&,g,m,n,a,#,t,i,n,o,g,m,n,a,$,V,PL,1,PRS	t,i,n,o,g,o,n,a
g,o,n,a,&,g,m,g,r,#,v,a,n,o,g,m,g,r,$,V,PL,3,PRS	v,a,n,o,g,o,n,a
g,o,n,a,&,g,o,u,a,#,v,a,c,h,a,g,o,u,a,$,V,PL,3,FUT	v,a,c,h,a,g,o,n,a
g,o,n,a,&,a,g,n,b,#,v,a,k,a,a,g,n,b,$,V,PL,3,PST	v,a,k,a,g,o,n,a
g,o,n,a,&,h,o,z,a,#,v,a,r,i,k,u,h,o,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,g,o,n,a
g,o,n,a,&,g,o,z,a,#,m,a,k,a,g,o,z,a,$,V,PL,2,PST	m,a,k,a,g,o,n,a
g,o,n,a,&,g,o,n,p,#,w,a,g,o,n,p,$,V,SG,2,HOD	w,a,g,o,n,a
g,o,n,a,&,g,o,k,a,#,t,i,c,h,a,g,o,k,a,$,V,PL,1,FUT	t,i,c,h,a,g,o,n,a
g,o,n,a,&,u,o,n,m,#,a,r,i,k,u,u,o,n,m,$,V,PROG,SG,3,PRS	a,r,i,k,u,g,o,n,a
g,o,n,a,&,g,f,n,a,#,m,u,c,h,a,g,f,n,a,$,V,PL,2,FUT	m,u,c,h,a,g,o,n,a
g,o,n,a,&,g,o,n,s,#,m,u,r,i,k,u,g,o,n,s,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,g,o,n,a
g,o,n,a,&,n,o,y,a,#,m,u,n,o,n,o,y,a,$,V,PL,2,PRS	m,u,n,o,g,o,n,a
g,o,n,a,&,g,u,n,a,#,t,a,k,a,g,u,n,a,$,V,PL,1,PST	t,a,k,a,g,o,n,a
g,o,n,a,&,y,o,f,a,#,n,d,a,y,o,f,a,$,V,SG,1,HOD	n,d,a,g,o,n,a
g,o,n,a,&,g,o,n,g,#,t,i,r,i,k,u,g,o,n,g,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,g,o,n,a
