হ,ও,য,়,া,&,হ,ৃ,য,়,া,#,হ,ৃ,য,়,া,$,COPY	হ,ও,য,়,া
ন,দ,চ,া,&,ন,চ,চ,অ,#,ন,চ,চ,অ,$,COPY	ন,দ,চ,া
ন,দ,চ,া,&,জ,দ,চ,া,#,জ,দ,চ,ল,ো,$,V,2,POL,PST	ন,দ,চ,ল,ো
ন,র,ফ,া,&,ন,র,ঁ,া,#,ন,র,ঁ,া,$,COPY	ন,র,ফ,া
ন,র,ফ,া,&,ণ,র,ঝ,া,#,ণ,র,ঝ,ো,$,V,3,INFM,PRS	ন,র,ফ,ো
ন,ক,চ,া,&,ন,ষ,গ,া,#,ন,ষ,গ,া,$,COPY	ন,ক,চ,া
ন,ক,চ,া,&,ন,জ,চ,া,#,ন,জ,চ,ল,ে,$,V,3,INFM,PST	ন,ক,চ,ল,ে
ৃ,া,চ,া,&,ৃ,ই,চ,া,#,ৃ,ই,চ,া,$,COPY	ৃ,া,চ,া
ৃ,া,চ,া,&,ঢ,া,দ,া,#,ঢ,া,দ,ত,ে,ন,$,V,HAB,3,POL,PST	ৃ,া,চ,ত,ে,ন
ই,া,চ,া,&,ৃ,া,চ,া,#,ৃ,া,চ,া,$,COPY	ই,া,চ,া
ই,া,চ,া,&,আ,া,চ,া,#,আ,া,চ,ছ,ে,ন,$,V,PROG,3,POL,PRS	ই,া,চ,ছ,ে,ন
চ,া,চ,া,&,ই,া,ধ,া,#,ই,া,ধ,া,$,COPY	চ,া,চ,া
চ,া,চ,া,&,চ,ঝ,চ,া,#,চ,ঝ,চ,ছ,ি,$,V,PROG,1,PRS	চ,া,চ,ছ,ি
ন,া,ও,া,&,্,া,ও,ধ,#,্,া,ও,ধ,$,COPY	ন,া,ও,া
ন,া,ও,া,&,ন,ঠ,ও,া,#,ন,ঠ,ও,ত,ে,$,V,HAB,3,INFM,PST	ন,া,ও,ত,ে
ন,া,ট,া,&,ন,া,ট,শ,#,ন,া,ট,শ,$,COPY	ন,া,ট,া
ন,া,ট,া,&,ন,া,ঢ,া,#,ন,া,ঢ,ত,ো,$,V,HAB,2,POL,PST	ন,া,ট,ত,ো
ই,ঝ,চ,া,&,ই,ঝ,্,া,#,ই,ঝ,্,া,$,COPY	ই,ঝ,চ,া
ই,ঝ,চ,া,&,ই,া,চ,া,#,ই,া,চ,ত,ে,$,V,NFIN	ই,ঝ,চ,ত,ে
ন,া,ট,া,&,ন,ঙ,ট,া,#,ন,ঙ,ট,ছ,ি,ল,ে,ন,$,V,PROG,3,POL,PST	ন,া,ট,ছ,ি,ল,ে,ন
ন,খ,ে,া,&,ভ,খ,ে,া,#,ভ,খ,ে,া,$,COPY	ন,খ,ে,া
ন,খ,ে,া,&,ন,প,ে,া,#,ন,প,ে,ছ,ো,$,V,PROG,3,INFM,PRS	ন,খ,ে,ছ,ো
ম,া,চ,া,&,ম,ল,চ,া,#,ম,ল,চ,ছ,ি,স,$,V,PROG,2,PRS,LGSPEC1	ম,া,চ,ছ,ি,স
ন,া,চ,া,&,দ,া,চ,া,#,দ,া,চ,ব,ি,$,V,2,FUT,LGSPEC1	ন,া,চ,ব,ি
ঢ,া,ৃ,া,&,ঢ,ত,হ,উ,#,ঢ,ত,হ,উ,$,COPY	ঢ,া,ৃ,া
ঢ,া,ৃ,া,&,ঢ,হ,ৃ,া,#,ঢ,হ,ৃ,ছ,ি,ল,া,ম,$,V,PROG,1,PST	ঢ,া,ৃ,ছ,ি,ল,া,ম
ন,ফ,চ,া,&,অ,খ,প,া,#,অ,খ,প,া,$,COPY	ন,ফ,চ,া
ন,ফ,চ,া,&,চ,ট,চ,া,#,চ,ট,চ,ব,ে,$,V,2,POL,FUT	ন,ফ,চ,ব,ে
ম,া,খ,া,&,ভ,া,খ,া,#,ভ,া,খ,া,$,COPY	ম,া,খ,া
ম,া,খ,া,&,ধ,ই,খ,া,#,ধ,ই,খ,ি,স,$,V,2,PRS,LGSPEC1	ম,া,খ,ি,স
ন,ক,চ,া,&,ন,ক,ৃ,া,#,ন,ক,ৃ,ত,া,ম,$,V,HAB,1,PST	ন,ক,চ,ত,া,ম
জ,্,ঁ,া,ক,ঠ,ত,ন, ,ক,র,া,&,জ,্,ঁ,ঢ,ক,ও,ফ,ন, ,ক,র,া,#,জ,্,ঁ,ঢ,ক,ও,ফ,ন, ,ক,র,া,$,COPY	জ,্,ঁ,া,ক,ঠ,ত,ন, ,ক,র,া
জ,্,ঁ,া,ক,ঠ,ত,ন, ,ক,র,া,&,জ,্,ঁ,া,ক,ু,ত,ন, ,ক,র,া,#,জ,্,ঁ,া,ক,ু,ত,ন, ,ক,র,ব,ে,$,V,3,INFM,FUT	জ,্,ঁ,া,ক,ঠ,ত,ন, ,ক,র,ব,ে
জ,গ,়,া,অ,চ,ঝ,ন, ,ক,র,া,&,জ,গ,্,া,ব,চ,ঝ,ন, ,ক,র,া,#,জ,গ,্,া,ব,চ,ঝ,ন, ,ক,র,া,$,COPY	জ,গ,়,া,অ,চ,ঝ,ন, ,ক,র,া
জ,গ,়,া,অ,চ,ঝ,ন, ,ক,র,া,&,জ,গ,়,হ,ভ,চ,ঝ,ন, ,ক,র,া,#,জ,গ,়,হ,ভ,চ,ঝ,ন, ,ক,র,ল,ে,ন,$,V,3,POL,PST	জ,গ,়,া,অ,চ,ঝ,ন, ,ক,র,ল,ে,ন
জ,ী,শ,া,ল,ে,ছ,ন, ,ক,র,া,&,জ,ী,শ,া,ল,ে,ভ,ন, ,ক,র,া,#,জ,ী,শ,া,ল,ে,ভ,ন, ,ক,র,া,$,COPY	জ,ী,শ,া,ল,ে,ছ,ন, ,ক,র,া
জ,ী,শ,া,ল,ে,ছ,ন, ,ক,র,া,&,জ,ী,স,ধ,ল,দ,ছ,ন, ,ক,র,া,#,জ,ী,স,ধ,ল,দ,ছ,ন, ,ক,র,ব,ে,$,V,2,POL,FUT	জ,ী,শ,া,ল,ে,ছ,ন, ,ক,র,ব,ে
জ,্,ব,া,ল,া,ু,ন, ,ক,র,া,&,জ,আ,ব,া,ল,া,ু,ন, ,ক,র,া,#,জ,আ,ব,া,ল,া,ু,ন, ,ক,র,া,$,COPY	জ,্,ব,া,ল,া,ু,ন, ,ক,র,া
জ,্,ব,া,ল,া,ু,ন, ,ক,র,া,&,জ,্,ব,া,ল,ঙ,ু,ন, ,ক,র,া,#,জ,্,ব,া,ল,ঙ,ু,ন, ,ক,র,ছ,ি,স,$,V,PROG,2,PRS,LGSPEC1	জ,্,ব,া,ল,া,ু,ন, ,ক,র,ছ,ি,স
জ,ই,ব,া,ল,া,ত,ন, ,ক,র,া,&,জ,ঢ,ব,জ,ব,া,ত,ন, ,ক,র,া,#,জ,ঢ,ব,জ,ব,া,ত,ন, ,ক,র,া,$,COPY	জ,ই,ব,া,ল,া,ত,ন, ,ক,র,া
জ,ই,ব,া,ল,া,ত,ন, ,ক,র,া,&,জ,ই,ব,া,ল,া,ঙ,ন, ,ক,র,া,#,জ,ই,ব,া,ল,া,ঙ,ন, ,ক,র,ছ,ি,ল,া,ম,$,V,PROG,1,PST	জ,ই,ব,া,ল,া,ত,ন, ,ক,র,ছ,ি,ল,া,ম
জ,ল,ব,ৃ,ল,া,হ,ন, ,ক,র,া,&,জ,গ,ো,ৃ,ল,া,র,ন, ,ক,র,া,#,জ,গ,ো,ৃ,ল,া,র,ন, ,ক,র,া,$,COPY	জ,ল,ব,ৃ,ল,া,হ,ন, ,ক,র,া
জ,ল,ব,ৃ,ল,া,হ,ন, ,ক,র,া,&,জ,ল,ঁ,ি,ঘ,া,হ,ন, ,ক,র,া,#,জ,ল,ঁ,ি,ঘ,া,হ,ন, ,ক,র,ছ,ো,$,V,PROG,3,INFM,PRS	জ,ল,ব,ৃ,ল,া,হ,ন, ,ক,র,ছ,ো
জ,ল,ব,া,ল,আ,ত,ন, ,ক,র,া,&,জ,ভ,ভ,র,ল,য,ত,ন, ,ক,র,া,#,জ,ভ,ভ,র,ল,য,ত,ন, ,ক,র,া,$,COPY	জ,ল,ব,া,ল,আ,ত,ন, ,ক,র,া
জ,ল,ব,া,ল,আ,ত,ন, ,ক,র,া,&,জ,ল,প,ি,ল,আ,্,ন, ,ক,র,া,#,জ,ল,প,ি,ল,আ,্,ন, ,ক,র,ল,ি,$,V,2,PST,LGSPEC1	জ,ল,ব,া,ল,আ,ত,ন, ,ক,র,ল,ি
জ,্,ও,া,ড,ঘ,ত,ন, ,ক,র,া,&,জ,্,ও,ছ,ও,ঘ,ত,ন, ,ক,র,া,#,জ,্,ও,ছ,ও,ঘ,ত,ন, ,ক,র,া,$,COPY	জ,্,ও,া,ড,ঘ,ত,ন, ,ক,র,া
জ,্,ও,া,ড,ঘ,ত,ন, ,ক,র,া,&,জ,্,ও,ট,ড,ঢ,ত,ন, ,ক,র,া,#,জ,্,ও,ট,ড,ঢ,ত,ন, ,ক,র,ি,$,V,1,PRS	জ,্,ও,া,ড,ঘ,ত,ন, ,ক,র,ি
জ,্,ু,ব,র,ন,ঙ,ন, ,ক,র,া,&,জ,জ,চ,ব,র,ন,ঙ,ন, ,ক,র,া,#,জ,জ,চ,ব,র,ন,ঙ,ন, ,ক,র,া,$,COPY	জ,্,ু,ব,র,ন,ঙ,ন, ,ক,র,া
জ,্,ু,ব,র,ন,ঙ,ন, ,ক,র,া,&,জ,ফ,ু,ব,র,ছ,ঙ,ন, ,ক,র,া,#,জ,ফ,ু,ব,র,ছ,ঙ,ন, ,ক,র,ল,ো,$,V,2,POL,PST	জ,্,ু,ব,র,ন,ঙ,ন, ,ক,র,ল,ো
জ,ই,ব,া,ল,দ,ো,ন, ,ক,র,া,&,জ,আ,ব,া,ল,দ,ু,ন, ,ক,র,া,#,জ,আ,ব,া,ল,দ,ু,ন, ,ক,র,া,$,COPY	জ,ই,ব,া,ল,দ,ো,ন, ,ক,র,া
জ,ই,ব,া,ল,দ,ো,ন, ,ক,র,া,&,জ,ল,ব,া,ল,হ,জ,ন, ,ক,র,া,#,জ,ল,ব,া,ল,হ,জ,ন, ,ক,র,ে,$,V,2,POL,PRS	জ,ই,ব,া,ল,দ,ো,ন, ,ক,র,ে
জ,দ,ব,া,ি,ু,্,ন, ,ক,র,া,&,জ,দ,ন,া,ষ,ু,্,ন, ,ক,র,া,#,জ,দ,ন,া,ষ,ু,্,ন, ,ক,র,া,$,COPY	জ,দ,ব,া,ি,ু,্,ন, ,ক,র,া
জ,দ,ব,া,ি,ু,্,ন, ,ক,র,া,&,জ,দ,ব,ষ,ঘ,ন,্,ন, ,ক,র,া,#,জ,দ,ব,ষ,ঘ,ন,্,ন, ,ক,র,ল,া,ম,$,V,1,PST	জ,দ,ব,া,ি,ু,্,ন, ,ক,র,ল,া,ম
জ,ঠ,ঙ,া,ল,া,ত,ন, ,ক,র,া,&,জ,ঠ,ন,ক,ল,া,ত,ন, ,ক,র,া,#,জ,ঠ,ন,ক,ল,া,ত,ন, ,ক,র,া,$,COPY	জ,ঠ,ঙ,া,ল,া,ত,ন, ,ক,র,া
জ,ঠ,ঙ,া,ল,া,ত,ন, ,ক,র,া,&,জ,ঠ,ঙ,া,ল,া,স,ন, ,ক,র,া,#,জ,ঠ,ঙ,া,ল,া,স,ন, ,ক,র,ে,ছ,ি,ল,ি,$,V,PRF,2,PST,LGSPEC1	জ,ঠ,ঙ,া,ল,া,ত,ন, ,ক,র,ে,ছ,ি,ল,ি
জ,্,দ,ত,ল,া,ত,ন, ,ক,র,া,&,জ,্,দ,ঢ,ল,া,ত,ন, ,ক,র,া,#,জ,্,দ,ঢ,ল,া,ত,ন, ,ক,র,া,$,COPY	জ,্,দ,ত,ল,া,ত,ন, ,ক,র,া
জ,্,দ,ত,ল,া,ত,ন, ,ক,র,া,&,জ,্,দ,ত,ল,া,আ,ন, ,ক,র,া,#,জ,্,দ,ত,ল,া,আ,ন, ,ক,র,ে,ছ,ে,$,V,PRF,2,POL,PRS	জ,্,দ,ত,ল,া,ত,ন, ,ক,র,ে,ছ,ে
জ,্,ব,া,ড,া,ত,ন, ,ক,র,া,&,জ,্,ব,দ,ড,া,ত,ন, ,ক,র,া,#,জ,্,ব,দ,ড,া,ত,ন, ,ক,র,া,$,COPY	জ,্,ব,া,ড,া,ত,ন, ,ক,র,া
জ,্,ব,া,ড,া,ত,ন, ,ক,র,া,&,জ,্,ব,া,ড,য,ত,ন, ,ক,র,া,#,জ,্,ব,া,ড,য,ত,ন, ,ক,র,ত,া,ম,$,V,HAB,1,PST	জ,্,ব,া,ড,া,ত,ন, ,ক,র,ত,া,ম
জ,্,ন,উ,ল,া,ত,ন, ,ক,র,া,&,জ,্,ন,হ,ল,া,ত,ন, ,ক,র,া,#,জ,্,ন,হ,ল,া,ত,ন, ,ক,র,া,$,COPY	জ,্,ন,উ,ল,া,ত,ন, ,ক,র,া
জ,্,ন,উ,ল,া,ত,ন, ,ক,র,া,&,জ,্,ন,ি,ৃ,া,ত,ন, ,ক,র,া,#,জ,্,ন,ি,ৃ,া,ত,ন, ,ক,র,ে,ন,$,V,3,POL,PRS	জ,্,ন,উ,ল,া,ত,ন, ,ক,র,ে,ন
জ,ঠ,য,া,আ,া,ই,ন, ,ক,র,া,&,জ,হ,য,া,আ,া,ই,ন, ,ক,র,া,#,জ,হ,য,া,আ,া,ই,ন, ,ক,র,া,$,COPY	জ,ঠ,য,া,আ,া,ই,ন, ,ক,র,া
জ,ঠ,য,া,আ,া,ই,ন, ,ক,র,া,&,জ,ঠ,য,া,জ,া,ু,ন, ,ক,র,া,#,জ,ঠ,য,া,জ,া,ু,ন, ,ক,র,ছ,ে,ন,$,V,PROG,3,POL,PRS	জ,ঠ,য,া,আ,া,ই,ন, ,ক,র,ছ,ে,ন
জ,জ,ব,া,জ,া,ট,ন, ,ক,র,া,&,জ,জ,খ,ম,জ,া,ষ,ন, ,ক,র,া,#,জ,জ,খ,ম,জ,া,ষ,ন, ,ক,র,া,$,COPY	জ,জ,ব,া,জ,া,ট,ন, ,ক,র,া
জ,জ,ব,া,জ,া,ট,ন, ,ক,র,া,&,জ,জ,ব,া,জ,া,ি,ন, ,ক,র,া,#,জ,জ,ব,া,জ,া,ি,ন, ,ক,র,ে,ছ,ো,$,V,PRF,3,INFM,PRS	জ,জ,ব,া,জ,া,ট,ন, ,ক,র,ে,ছ,ো
জ,্,ব,ব,ল,্,হ,ন, ,ক,র,া,&,জ,্,ব,চ,জ,্,হ,ন, ,ক,র,া,#,জ,্,ব,চ,জ,্,হ,ন, ,ক,র,া,$,COPY	জ,্,ব,ব,ল,্,হ,ন, ,ক,র,া
জ,্,ব,ব,ল,্,হ,ন, ,ক,র,া,&,জ,্,ব,ব,ল,্,ট,ন, ,ক,র,া,#,জ,্,ব,ব,ল,্,ট,ন, ,ক,র,ব,ো,$,V,1,FUT	জ,্,ব,ব,ল,্,হ,ন, ,ক,র,ব,ো
জ,্,ব,স,ল,গ,ণ,ন, ,ক,র,া,&,জ,ধ,ব,স,ল,গ,য,ন, ,ক,র,া,#,জ,ধ,ব,স,ল,গ,য,ন, ,ক,র,া,$,COPY	জ,্,ব,স,ল,গ,ণ,ন, ,ক,র,া
জ,্,ব,স,ল,গ,ণ,ন, ,ক,র,া,&,জ,্,অ,স,ল,গ,ণ,ন, ,ক,র,া,#,জ,্,অ,স,ল,গ,ণ,ন, ,ক,র,ে,ছ,ি,ল,া,ম,$,V,PRF,1,PST	জ,্,ব,স,ল,গ,ণ,ন, ,ক,র,ে,ছ,ি,ল,া,ম
জ,্,ব,া,ল,গ,আ,ন, ,ক,র,া,&,জ,্,ত,ও,ল,গ,আ,ন, ,ক,র,া,#,জ,্,ত,ও,ল,গ,আ,ন, ,ক,র,া,$,COPY	জ,্,ব,া,ল,গ,আ,ন, ,ক,র,া
জ,্,ব,া,ল,গ,আ,ন, ,ক,র,া,&,জ,্,ঢ,া,ল,গ,আ,ন, ,ক,র,া,#,জ,্,ঢ,া,ল,গ,আ,ন, ,ক,র,ে,ছ,ি,ল,ে,$,V,PRF,3,INFM,PST	জ,্,ব,া,ল,গ,আ,ন, ,ক,র,ে,ছ,ি,ল,ে
জ,ব,ি,া,ল,উ,ী,ন, ,ক,র,া,&,জ,ৃ,ঙ,া,ছ,অ,ত,ন, ,ক,র,া,#,জ,ৃ,ঙ,া,ছ,অ,ত,ন, ,ক,র,া,$,COPY	জ,ব,ি,া,ল,উ,ী,ন, ,ক,র,া
জ,ব,ি,া,ল,উ,ী,ন, ,ক,র,া,&,জ,ঠ,ি,া,ল,উ,ী,ন, ,ক,র,া,#,জ,ঠ,ি,া,ল,উ,ী,ন, ,ক,র,ে,ছ,ি,ল,ো,$,V,PRF,2,POL,PST	জ,ব,ি,া,ল,উ,ী,ন, ,ক,র,ে,ছ,ি,ল,ো
জ,অ,্,ি,ল,া,ত,ন, ,ক,র,া,&,জ,অ,্,ি,ব,ই,ত,ন, ,ক,র,া,#,জ,অ,্,ি,ব,ই,ত,ন, ,ক,র,া,$,COPY	জ,অ,্,ি,ল,া,ত,ন, ,ক,র,া
জ,অ,্,ি,ল,া,ত,ন, ,ক,র,া,&,জ,অ,্,ট,ল,া,্,ন, ,ক,র,া,#,জ,অ,্,ট,ল,া,্,ন, ,ক,র,ত,ে,$,V,NFIN	জ,অ,্,ি,ল,া,ত,ন, ,ক,র,ত,ে
জ,গ,জ,আ,ঢ,া,ত,ন, ,ক,র,া,&,জ,অ,জ,আ,ঢ,া,ত,ন, ,ক,র,া,#,জ,অ,জ,আ,ঢ,া,ত,ন, ,ক,র,া,$,COPY	জ,গ,জ,আ,ঢ,া,ত,ন, ,ক,র,া
জ,গ,জ,আ,ঢ,া,ত,ন, ,ক,র,া,&,জ,গ,জ,আ,ঢ,ঙ,ত,ন, ,ক,র,া,#,জ,গ,জ,আ,ঢ,ঙ,ত,ন, ,ক,র,ছ,ি,ল,ো,$,V,PROG,2,POL,PST	জ,গ,জ,আ,ঢ,া,ত,ন, ,ক,র,ছ,ি,ল,ো
জ,্,চ,ণ,ঘ,ল,ত,ন, ,ক,র,া,&,জ,্,চ,অ,ও,ল,ত,ন, ,ক,র,া,#,জ,্,চ,অ,ও,ল,ত,ন, ,ক,র,া,$,COPY	জ,্,চ,ণ,ঘ,ল,ত,ন, ,ক,র,া
জ,্,চ,ণ,ঘ,ল,ত,ন, ,ক,র,া,&,জ,্,চ,ণ,ঘ,জ,ত,ন, ,ক,র,া,#,জ,্,চ,ণ,ঘ,জ,ত,ন, ,ক,র,ছ,ি,ল,ে,$,V,PROG,3,INFM,PST	জ,্,চ,ণ,ঘ,ল,ত,ন, ,ক,র,ছ,ি,ল,ে
জ,ঝ,ব,া,খ,া,ত,ন, ,ক,র,া,&,জ,ঝ,ব,অ,খ,স,ত,ন, ,ক,র,া,#,জ,ঝ,ব,অ,খ,স,ত,ন, ,ক,র,া,$,COPY	জ,ঝ,ব,া,খ,া,ত,ন, ,ক,র,া
জ,ঝ,ব,া,খ,া,ত,ন, ,ক,র,া,&,জ,ণ,খ,া,খ,া,ত,ন, ,ক,র,া,#,জ,ণ,খ,া,খ,া,ত,ন, ,ক,র,ে,ছ,ি,ল,ে,ন,$,V,PRF,3,POL,PST	জ,ঝ,ব,া,খ,া,ত,ন, ,ক,র,ে,ছ,ি,ল,ে,ন
জ,্,খ,া,ল,ভ,ট,ন, ,ক,র,া,&,জ,্,ৃ,া,ল,ভ,ট,ন, ,ক,র,া,#,জ,্,ৃ,া,ল,ভ,ট,ন, ,ক,র,া,$,COPY	জ,্,খ,া,ল,ভ,ট,ন, ,ক,র,া
জ,্,খ,া,ল,ভ,ট,ন, ,ক,র,া,&,জ,্,খ,া,ল,ল,ছ,ন, ,ক,র,া,#,জ,্,খ,া,ল,ল,ছ,ন, ,ক,র,ব,ে,ন,$,V,3,POL,FUT	জ,্,খ,া,ল,ভ,ট,ন, ,ক,র,ব,ে,ন
জ,্,ও,া,ল,া,ঁ,ন, ,ক,র,া,&,জ,্,ও,া,ড,া,ঁ,ন, ,ক,র,া,#,জ,্,ও,া,ড,া,ঁ,ন, ,ক,র,া,$,COPY	জ,্,ও,া,ল,া,ঁ,ন, ,ক,র,া
জ,্,ও,া,ল,া,ঁ,ন, ,ক,র,া,&,জ,্,ও,খ,ল,া,ঁ,ন, ,ক,র,া,#,জ,্,ও,খ,ল,া,ঁ,ন, ,ক,র,ত,ো,$,V,HAB,2,POL,PST	জ,্,ও,া,ল,া,ঁ,ন, ,ক,র,ত,ো
জ,ট,ব,া,খ,ঘ,ক,ন, ,ক,র,া,&,জ,ট,ব,ণ,খ,ঘ,ক,ন, ,ক,র,া,#,জ,ট,ব,ণ,খ,ঘ,ক,ন, ,ক,র,া,$,COPY	জ,ট,ব,া,খ,ঘ,ক,ন, ,ক,র,া
জ,ট,ব,া,খ,ঘ,ক,ন, ,ক,র,া,&,জ,ট,ব,ী,ফ,ঘ,ক,ন, ,ক,র,া,#,জ,ট,ব,ী,ফ,ঘ,ক,ন, ,ক,র,ছ,ি,$,V,PROG,1,PRS	জ,ট,ব,া,খ,ঘ,ক,ন, ,ক,র,ছ,ি
জ,্,ব,া,ল,চ,ত,ন, ,ক,র,া,&,জ,্,ব,া,ঁ,অ,ক,ন, ,ক,র,া,#,জ,্,ব,া,ঁ,অ,ক,ন, ,ক,র,া,$,COPY	জ,্,ব,া,ল,চ,ত,ন, ,ক,র,া
জ,্,ব,া,ল,চ,ত,ন, ,ক,র,া,&,জ,্,ধ,া,ল,চ,ত,ন, ,ক,র,া,#,জ,্,ধ,া,ল,চ,ত,ন, ,ক,র,ত,ে,$,V,HAB,3,INFM,PST	জ,্,ব,া,ল,চ,ত,ন, ,ক,র,ত,ে
জ,দ,ব,া,ল,ো,ত,ন, ,ক,র,া,&,জ,দ,া,া,ও,ৃ,ৃ,ন, ,ক,র,া,#,জ,দ,া,া,ও,ৃ,ৃ,ন, ,ক,র,া,$,COPY	জ,দ,ব,া,ল,ো,ত,ন, ,ক,র,া
জ,দ,ব,া,ল,ো,ত,ন, ,ক,র,া,&,জ,দ,ব,ক,চ,ো,ত,ন, ,ক,র,া,#,জ,দ,ব,ক,চ,ো,ত,ন, ,ক,র,ে,ছ,ি,$,V,PRF,1,PRS	জ,দ,ব,া,ল,ো,ত,ন, ,ক,র,ে,ছ,ি
জ,ও,ো,া,ল,চ,ত,ন, ,ক,র,া,&,জ,ও,ো,া,ল,ম,ত,ন, ,ক,র,া,#,জ,ও,ো,া,ল,ম,ত,ন, ,ক,র,া,$,COPY	জ,ও,ো,া,ল,চ,ত,ন, ,ক,র,া
জ,ও,ো,া,ল,চ,ত,ন, ,ক,র,া,&,জ,ঘ,ো,া,খ,ড,ত,ন, ,ক,র,া,#,জ,ঘ,ো,া,খ,ড,ত,ন, ,ক,র,ো,$,V,3,INFM,PRS	জ,ও,ো,া,ল,চ,ত,ন, ,ক,র,ো
জ,্,ই,়,ল,া,ত,ন, ,ক,র,া,&,জ,্,ই,চ,ল,া,ত,ন, ,ক,র,া,#,জ,্,ই,চ,ল,া,ত,ন, ,ক,র,া,$,COPY	জ,্,ই,়,ল,া,ত,ন, ,ক,র,া
জ,্,ই,়,ল,া,ত,ন, ,ক,র,া,&,জ,্,ভ,়,ল,া,ত,ন, ,ক,র,া,#,জ,্,ভ,়,ল,া,ত,ন, ,ক,র,ছ,ি,ল,ি,$,V,PROG,2,PST,LGSPEC1	জ,্,ই,়,ল,া,ত,ন, ,ক,র,ছ,ি,ল,ি
জ,প,ৃ,ো,ন,া,ত,ন, ,ক,র,া,&,জ,প,ৃ,ভ,া,া,ত,ন, ,ক,র,া,#,জ,প,ৃ,ভ,া,া,ত,ন, ,ক,র,া,$,COPY	জ,প,ৃ,ো,ন,া,ত,ন, ,ক,র,া
জ,প,ৃ,ো,ন,া,ত,ন, ,ক,র,া,&,জ,ী,ভ,ও,ন,া,ত,ন, ,ক,র,া,#,জ,ী,ভ,ও,ন,া,ত,ন, ,ক,র,ি,স,$,V,2,PRS,LGSPEC1	জ,প,ৃ,ো,ন,া,ত,ন, ,ক,র,ি,স
জ,্,ব,ো,ু,া,ঘ,ন, ,ক,র,া,&,জ,্,ব,ী,ু,া,ণ,ন, ,ক,র,া,#,জ,্,ব,ী,ু,া,ণ,ন, ,ক,র,া,$,COPY	জ,্,ব,ো,ু,া,ঘ,ন, ,ক,র,া
জ,্,ব,ো,ু,া,ঘ,ন, ,ক,র,া,&,জ,্,ব,ো,ু,া,ষ,ন, ,ক,র,া,#,জ,্,ব,ো,ু,া,ষ,ন, ,ক,র,ে,ছ,ে,ন,$,V,PRF,3,POL,PRS	জ,্,ব,ো,ু,া,ঘ,ন, ,ক,র,ে,ছ,ে,ন
জ,্,ব,ধ,ল,ঙ,ড,ন, ,ক,র,া,&,জ,্,ও,ঁ,ল,ঙ,ড,ন, ,ক,র,া,#,জ,্,ও,ঁ,ল,ঙ,ড,ন, ,ক,র,া,$,COPY	জ,্,ব,ধ,ল,ঙ,ড,ন, ,ক,র,া
জ,্,ব,ধ,ল,ঙ,ড,ন, ,ক,র,া,&,জ,্,ব,ধ,ল,ঁ,ফ,ন, ,ক,র,া,#,জ,্,ব,ধ,ল,ঁ,ফ,ন, ,ক,র,ে,ছ,ি,স,$,V,PRF,2,PRS,LGSPEC1	জ,্,ব,ধ,ল,ঙ,ড,ন, ,ক,র,ে,ছ,ি,স
জ,্,ব,ই,ল,ফ,দ,ন, ,ক,র,া,&,জ,্,ছ,ই,ল,ফ,ই,ন, ,ক,র,া,#,জ,্,ছ,ই,ল,ফ,ই,ন, ,ক,র,া,$,COPY	জ,্,ব,ই,ল,ফ,দ,ন, ,ক,র,া
জ,্,ব,ই,ল,ফ,দ,ন, ,ক,র,া,&,জ,ড,ব,ই,ল,দ,দ,ন, ,ক,র,া,#,জ,ড,ব,ই,ল,দ,দ,ন, ,ক,র,ত,ে,ন,$,V,HAB,3,POL,PST	জ,্,ব,ই,ল,ফ,দ,ন, ,ক,র,ত,ে,ন
জ,়,ধ,ে,ঙ,এ,ত,ন, ,ক,র,া,&,জ,়,ধ,ে,্,এ,ত,ন, ,ক,র,া,#,জ,়,ধ,ে,্,এ,ত,ন, ,ক,র,া,$,COPY	জ,়,ধ,ে,ঙ,এ,ত,ন, ,ক,র,া
জ,়,ধ,ে,ঙ,এ,ত,ন, ,ক,র,া,&,জ,়,ধ,ে,া,এ,ত,ন, ,ক,র,া,#,জ,়,ধ,ে,া,এ,ত,ন, ,ক,র,ছ,ি,ল,ে,ন,$,V,PROG,3,POL,PST	জ,়,ধ,ে,ঙ,এ,ত,ন, ,ক,র,ছ,ি,ল,ে,ন
জ,্,ফ,া,প,ভ,ও,ন, ,ক,র,া,&,জ,্,ণ,া,প,ভ,ও,ন, ,ক,র,া,#,জ,্,ণ,া,প,ভ,ও,ন, ,ক,র,া,$,COPY	জ,্,ফ,া,প,ভ,ও,ন, ,ক,র,া
জ,্,ফ,া,প,ভ,ও,ন, ,ক,র,া,&,জ,্,ফ,া,প,়,ও,ন, ,ক,র,া,#,জ,্,ফ,া,প,়,ও,ন, ,ক,র,ত,ি,স,$,V,HAB,2,PST,LGSPEC1	জ,্,ফ,া,প,ভ,ও,ন, ,ক,র,ত,ি,স
জ,ড,ৃ,া,ল,ঢ,ত,ন, ,ক,র,া,&,জ,ড,ক,া,ল,ঢ,ত,ন, ,ক,র,া,#,জ,ড,ক,া,ল,ঢ,ত,ন, ,ক,র,া,$,COPY	জ,ড,ৃ,া,ল,ঢ,ত,ন, ,ক,র,া
