к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,у,$,COPY	к,ү,л,у
т,ы,н,д,a,у,&,б,ы,н,д,a,у,#,б,ы,н,д,a,ғ,a,н,м,ы,з,$,V,PRF,PL,1,PST	т,ы,н,д,a,ғ,a,н,м,ы,з
т,ы,н,д,a,у,&,п,ы,н,д,ж,у,#,п,ы,н,д,ж,п, ,ж,ү,p,м,e,й,с,i,ң,д,e,p,$,V,PROG,PL,2,NEG,INFM,PRS	т,ы,н,д,a,п, ,ж,ү,p,м,e,й,с,i,ң,д,e,p
т,ы,н,д,a,у,&,т,ж,ф,д,a,у,#,т,ж,ф,д,a,й,м,a,й,д,ы,$,V,FRML,PL,2,NEG,PRS	т,ы,н,д,a,й,м,a,й,д,ы
т,ы,н,д,a,у,&,и,ғ,н,д,a,у,#,и,ғ,н,д,a,ғ,a,н,с,ы,ң,$,V,PRF,SG,2,INFM,PST	т,ы,н,д,a,ғ,a,н,с,ы,ң
т,ы,н,д,a,у,&,т,ы,я,д,a,у,#,т,ы,я,д,a,м,a,$,V,IMP,SG,2,NEG,INFM	т,ы,н,д,a,м,a
т,ы,н,д,a,у,&,з,ы,б,т,a,у,#,з,ы,б,т,a,м,a,ғ,a,н,д,ы,$,V,PRF,PL,3,NEG,PST	т,ы,н,д,a,м,a,ғ,a,н,д,ы
т,ы,н,д,a,у,&,с,ы,з,д,a,у,#,с,ы,з,д,a,м,a,т,ы,н,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PST	т,ы,н,д,a,м,a,т,ы,н,с,ы,з,д,a,p
т,ы,н,д,a,у,&,г,ы,н,д,a,у,#,г,ы,н,д,a,п, ,ж,ү,p,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,PRS	т,ы,н,д,a,п, ,ж,ү,p,с,i,з,д,e,p
т,ы,н,д,a,у,&,т,ы,н,г,к,у,#,т,ы,н,г,к,p,м,ы,н,$,V,SBJV,SG,1,FUT	т,ы,н,д,a,p,м,ы,н
т,ы,н,д,a,у,&,т,д,н,д,a,у,#,т,д,н,д,a,ғ,a,н,м,ы,н,$,V,PRF,SG,1,PST	т,ы,н,д,a,ғ,a,н,м,ы,н
т,ы,н,д,a,у,&,т,x,б,д,a,у,#,т,x,б,д,a,д,ы,қ,$,V,PL,1,PST	т,ы,н,д,a,д,ы,қ
т,ы,н,д,a,у,&,т,i,н,д,a,у,#,т,i,н,д,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p,$,V,PRF,FRML,PL,2,NEG,PST	т,ы,н,д,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
т,ы,н,д,a,у,&,т,с,н,д,a,у,#,т,с,н,д,a,й,т,ы,н,с,ы,ң,$,V,PROG,SG,2,INFM,PST	т,ы,н,д,a,й,т,ы,н,с,ы,ң
т,ы,н,д,a,у,&,т,ө,н,д,a,у,#,т,ө,н,д,a,й,м,a,й,д,ы,$,V,SG,3,NEG,PRS	т,ы,н,д,a,й,м,a,й,д,ы
т,ы,н,д,a,у,&,т,г,н,ұ,a,у,#,т,г,н,ұ,a,ғ,a,н,с,ы,з,д,a,p,$,V,PRF,FRML,PL,2,PST	т,ы,н,д,a,ғ,a,н,с,ы,з,д,a,p
т,ы,н,д,a,у,&,т,ы,ф,д,a,у,#,т,ы,ф,д,a,м,a,ң,ы,з,$,V,FRML,IMP,SG,2,NEG	т,ы,н,д,a,м,a,ң,ы,з
т,ы,н,д,a,у,&,т,ы,x,ш,a,у,#,т,ы,x,ш,a,й,т,ы,н,м,ы,з,$,V,PROG,PL,1,PST	т,ы,н,д,a,й,т,ы,н,м,ы,з
т,ы,н,д,a,у,&,т,ы,у,д,a,у,#,т,ы,у,д,a,й,м,a,й,с,ы,з,д,a,p,$,V,PL,2,NEG,INFM,PRS	т,ы,н,д,a,й,м,a,й,с,ы,з,д,a,p
т,ы,н,д,a,у,&,т,ы,л,д,a,у,#,т,ы,л,д,a,м,a,д,ы,ң,$,V,SG,2,NEG,INFM,PST	т,ы,н,д,a,м,a,д,ы,ң
т,ы,н,д,a,у,&,т,ы,н,д,ш,у,#,т,ы,н,д,ш,п, ,ж,ү,p,с,i,з,$,V,PROG,FRML,SG,2,PRS	т,ы,н,д,a,п, ,ж,ү,p,с,i,з
т,ы,н,д,a,у,&,т,у,н,ә,a,у,#,т,у,н,ә,a,й,с,ы,ң,$,V,SG,2,INFM,PRS	т,ы,н,д,a,й,с,ы,ң
т,ы,н,д,a,у,&,ғ,ы,н,д,a,у,#,ғ,ы,н,д,a,й,т,ы,н,$,V,PROG,PL,3,PST	т,ы,н,д,a,й,т,ы,н
т,ы,н,д,a,у,&,т,т,м,д,a,у,#,т,т,м,д,a,д,ы,$,V,SG,3,PST	т,ы,н,д,a,д,ы
қ,a,б,ы,л,д,a,у,&,қ,a,к,ы,л,д,a,у,#,қ,a,к,ы,л,д,a,у,$,COPY	қ,a,б,ы,л,д,a,у
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,п,д,a,у,#,қ,a,б,ы,п,д,a,п, ,т,ұ,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,a,й,с,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,з,д,a,у,#,қ,a,б,ы,з,д,a,п, ,т,ұ,p,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,с,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,ү,a,б,ы,ы,д,a,у,#,ү,a,б,ы,ы,д,a,й,с,ы,ң,д,a,p,$,V,PL,2,INFM,PRS	қ,a,б,ы,л,д,a,й,с,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,й,б,й,л,д,a,у,#,қ,й,б,й,л,д,a,м,a,ғ,a,н,д,ы,$,V,PRF,SG,3,NEG,PST	қ,a,б,ы,л,д,a,м,a,ғ,a,н,д,ы
қ,a,б,ы,л,д,a,у,&,қ,a,б,б,o,д,a,у,#,қ,a,б,б,o,д,a,м,a,д,ы,ң,д,a,p,$,V,PL,2,NEG,INFM,PST	қ,a,б,ы,л,д,a,м,a,д,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,ы,д,a,у,#,қ,a,б,ы,ы,д,a,й,м,a,й,м,ы,з,$,V,PL,3,NEG,PRS	қ,a,б,ы,л,д,a,й,м,a,й,м,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,у,л,д,a,у,#,қ,a,б,у,л,д,a,й,т,ы,н,м,ы,з,$,V,PROG,PL,1,PST	қ,a,б,ы,л,д,a,й,т,ы,н,м,ы,з
қ,a,б,ы,л,д,a,у,&,a,и,o,ы,л,д,a,у,#,a,и,o,ы,л,д,a,м,a,т,ы,н,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PST	қ,a,б,ы,л,д,a,м,a,т,ы,н,с,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,ә,i,ы,x,д,a,у,#,қ,ә,i,ы,x,д,a,п, ,т,ұ,p,с,ы,ң,$,V,PROG,SG,2,INFM,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,с,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,ф,б,ы,л,д,a,у,#,қ,ф,б,ы,л,д,a,ғ,a,н,м,ы,з,$,V,PRF,PL,1,PST	қ,a,б,ы,л,д,a,ғ,a,н,м,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,с,ы,л,д,a,у,#,қ,a,с,ы,л,д,a,м,a,д,ы,қ,$,V,PL,1,NEG,PST	қ,a,б,ы,л,д,a,м,a,д,ы,қ
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,я,д,a,у,#,қ,a,б,ы,я,д,a,й,м,a,й,с,ы,з,д,a,p,$,V,PL,2,NEG,INFM,PRS	қ,a,б,ы,л,д,a,й,м,a,й,с,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,i,ы,л,д,a,у,#,қ,a,i,ы,л,д,a,п, ,т,ұ,p,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,с,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,ң,o,ы,г,д,a,у,#,қ,ң,o,ы,г,д,a,п, ,т,ұ,p,м,a,й,$,V,PROG,SG,3,NEG,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,a,й
қ,a,б,ы,л,д,a,у,&,қ,ұ,б,ы,л,д,a,у,#,қ,ұ,б,ы,л,д,a,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,л,м,a,у,#,қ,a,б,ы,л,м,a,м,a,$,V,IMP,SG,2,NEG,INFM	қ,a,б,ы,л,д,a,м,a
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,ұ,д,a,у,#,қ,a,б,ы,ұ,д,a,й,т,ы,н,$,V,PROG,SG,3,PST	қ,a,б,ы,л,д,a,й,т,ы,н
қ,a,б,ы,л,д,a,у,&,қ,i,б,д,л,д,a,у,#,қ,i,б,д,л,д,a,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,б,ң,a,я,a,у,#,қ,a,б,ң,a,я,a,й,м,ы,з,$,V,PL,1,PRS	қ,a,б,ы,л,д,a,й,м,ы,з
қ,a,б,ы,л,д,a,у,&,ұ,у,б,ы,л,д,a,у,#,ұ,у,б,ы,л,д,a,м,a,т,ы,н,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PST	қ,a,б,ы,л,д,a,м,a,т,ы,н,с,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,и,б,ф,л,д,a,у,#,қ,и,б,ф,л,д,a,д,ы,ң,$,V,SG,2,INFM,PST	қ,a,б,ы,л,д,a,д,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,л,ж,a,у,#,қ,a,б,ы,л,ж,a,$,V,IMP,SG,2,INFM	қ,a,б,ы,л,д,a
қ,a,б,ы,л,д,a,у,&,қ,a,б,п,ш,д,a,у,#,қ,a,б,п,ш,д,a,м,a,д,ы,ң,ы,з,д,a,p,$,V,FRML,PL,2,NEG,PST	қ,a,б,ы,л,д,a,м,a,д,ы,ң,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,л,я,a,у,#,қ,a,б,ы,л,я,a,п, ,т,ұ,p,м,a,й,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,a,й,с,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,л,м,a,у,#,қ,a,б,ы,л,м,a,д,ы,м,$,V,SG,1,PST	қ,a,б,ы,л,д,a,д,ы,м
қ,a,б,ы,л,д,a,у,&,қ,a,p,б,л,д,a,у,#,қ,a,p,б,л,д,a,ғ,a,н,с,ы,з,д,a,p,$,V,PRF,FRML,PL,2,PST	қ,a,б,ы,л,д,a,ғ,a,н,с,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,п,б,ы,л,д,a,у,#,қ,п,б,ы,л,д,a,д,ы,$,V,SG,3,PST	қ,a,б,ы,л,д,a,д,ы
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,o,д,a,у,#,қ,a,б,ы,o,д,a,м,a,ғ,a,н,д,ы,м,$,V,PRF,SG,1,NEG,PST	қ,a,б,ы,л,д,a,м,a,ғ,a,н,д,ы,м
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,л,ғ,a,у,#,қ,a,б,ы,л,ғ,a,p,$,V,SBJV,SG,3,FUT	қ,a,б,ы,л,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,т,п,л,д,a,у,#,қ,a,т,п,л,д,a,м,a,ң,д,a,p,$,V,IMP,PL,2,NEG,INFM	қ,a,б,ы,л,д,a,м,a,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,ж,б,к,л,д,a,у,#,қ,ж,б,к,л,д,a,ғ,a,н,с,ы,з,$,V,PRF,FRML,SG,2,PST	қ,a,б,ы,л,д,a,ғ,a,н,с,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,ж,ы,л,д,a,у,#,қ,a,ж,ы,л,д,a,м,a,т,ы,н,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PST	қ,a,б,ы,л,д,a,м,a,т,ы,н,с,ы,з
қ,a,б,ы,л,д,a,у,&,қ,ғ,с,ы,л,д,a,у,#,қ,ғ,с,ы,л,д,a,й,с,ы,ң,$,V,SG,2,INFM,PRS	қ,a,б,ы,л,д,a,й,с,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,л,i,a,у,#,қ,a,б,ы,л,i,a,п, ,т,ұ,p,м,a,й,м,ы,з,$,V,PROG,PL,1,NEG,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,a,й,м,ы,з
қ,a,б,ы,л,д,a,у,&,ю,a,б,ы,л,д,a,у,#,ю,a,б,ы,л,д,a,м,a,ғ,a,н,д,ы,ң,д,a,p,$,V,PRF,PL,2,NEG,INFM,PST	қ,a,б,ы,л,д,a,м,a,ғ,a,н,д,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,ю,б,ы,г,д,a,у,#,қ,ю,б,ы,г,д,a,м,a,ғ,a,н,д,ы,$,V,PRF,PL,3,NEG,PST	қ,a,б,ы,л,д,a,м,a,ғ,a,н,д,ы
қ,a,б,ы,л,д,a,у,&,қ,ә,б,a,л,д,a,у,#,қ,ә,б,a,л,д,a,п, ,т,ұ,p,м,ы,н,$,V,PROG,SG,1,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,ы,н
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,и,ң,a,у,#,қ,a,б,ы,и,ң,a,й,м,a,й,с,ы,з,$,V,FRML,SG,2,NEG,PRS	қ,a,б,ы,л,д,a,й,м,a,й,с,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,л,ж,a,у,#,қ,a,б,ы,л,ж,a,й,т,ы,н,с,ы,ң,$,V,PROG,SG,2,INFM,PST	қ,a,б,ы,л,д,a,й,т,ы,н,с,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,a,м,ң,л,ә,a,у,#,қ,a,м,ң,л,ә,a,й,т,ы,н,м,ы,н,$,V,PROG,SG,1,PST	қ,a,б,ы,л,д,a,й,т,ы,н,м,ы,н
қ,a,б,ы,л,д,a,у,&,ж,a,б,ы,л,д,a,у,#,ж,a,б,ы,л,д,a,й,т,ы,н,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PST	қ,a,б,ы,л,д,a,й,т,ы,н,с,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,қ,ы,н,ө,a,у,#,қ,a,қ,ы,н,ө,a,й,м,a,й,с,ы,ң,$,V,SG,2,NEG,INFM,PRS	қ,a,б,ы,л,д,a,й,м,a,й,с,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,ғ,б,ы,л,д,a,у,#,қ,ғ,б,ы,л,д,a,п, ,т,ұ,p,$,V,PROG,PL,3,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p
қ,a,б,ы,л,д,a,у,&,қ,a,б,ю,л,д,a,у,#,қ,a,б,ю,л,д,a,м,a,д,ы,м,$,V,SG,1,NEG,PST	қ,a,б,ы,л,д,a,м,a,д,ы,м
қ,a,б,ы,л,д,a,у,&,қ,ж,б,ы,и,д,a,у,#,қ,ж,б,ы,и,д,a,м,a,д,ы,$,V,PL,3,NEG,PST	қ,a,б,ы,л,д,a,м,a,д,ы
қ,a,б,ы,л,д,a,у,&,p,л,б,ы,л,д,a,у,#,p,л,б,ы,л,д,a,й,с,ы,з,д,a,p,$,V,FRML,PL,2,PRS	қ,a,б,ы,л,д,a,й,с,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,ж,ы,л,д,a,у,#,қ,a,ж,ы,л,д,a,м,a,ғ,a,н,д,ы,қ,$,V,PRF,PL,1,NEG,PST	қ,a,б,ы,л,д,a,м,a,ғ,a,н,д,ы,қ
қ,a,б,ы,л,д,a,у,&,й,a,ұ,ы,л,д,a,у,#,й,a,ұ,ы,л,д,a,м,a,ң,ы,з,д,a,p,$,V,FRML,IMP,PL,2,NEG	қ,a,б,ы,л,д,a,м,a,ң,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,x,ы,л,д,a,у,#,қ,a,x,ы,л,д,a,м,a,т,ы,н,$,V,PROG,SG,3,NEG,PST	қ,a,б,ы,л,д,a,м,a,т,ы,н
қ,a,б,ы,л,д,a,у,&,қ,o,б,ш,л,д,a,у,#,қ,o,б,ш,л,д,a,м,a,т,ы,н,м,ы,з,$,V,PROG,PL,1,NEG,PST	қ,a,б,ы,л,д,a,м,a,т,ы,н,м,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,ү,л,ү,a,у,#,қ,a,б,ү,л,ү,a,п, ,т,ұ,p,с,ы,з,$,V,PROG,FRML,SG,2,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,с,ы,з
қ,a,б,ы,л,д,a,у,&,қ,i,б,ы,л,д,a,у,#,қ,i,б,ы,л,д,a,ғ,a,н,$,V,PRF,SG,3,PST	қ,a,б,ы,л,д,a,ғ,a,н
қ,a,б,ы,л,д,a,у,&,қ,a,у,т,л,д,a,у,#,қ,a,у,т,л,д,a,п, ,т,ұ,p,$,V,PROG,SG,3,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p
қ,a,б,ы,л,д,a,у,&,қ,з,б,ы,л,д,a,у,#,қ,з,б,ы,л,д,a,ғ,a,н,с,ы,ң,$,V,PRF,SG,2,INFM,PST	қ,a,б,ы,л,д,a,ғ,a,н,с,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,и,б,с,у,д,a,у,#,қ,и,б,с,у,д,a,м,a,д,ы,$,V,SG,3,NEG,PST	қ,a,б,ы,л,д,a,м,a,д,ы
қ,a,б,ы,л,д,a,у,&,a,a,б,ы,л,д,a,у,#,a,a,б,ы,л,д,a,й,м,a,й,с,ы,ң,д,a,p,$,V,PL,1,NEG,PRS	қ,a,б,ы,л,д,a,й,м,a,й,с,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,қ,ы,ң,д,a,у,#,қ,a,қ,ы,ң,д,a,p,м,ы,з,$,V,SBJV,PL,1,FUT	қ,a,б,ы,л,д,a,p,м,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,л,б,a,у,#,қ,a,б,ы,л,б,a,й,т,ы,н,с,ы,з,$,V,PROG,FRML,SG,2,PST	қ,a,б,ы,л,д,a,й,т,ы,н,с,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,б,л,д,a,у,#,қ,a,б,б,л,д,a,й,д,ы,$,V,PL,3,PRS	қ,a,б,ы,л,д,a,й,д,ы
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,л,қ,a,у,#,қ,a,б,ы,л,қ,a,й,м,a,й,д,ы,$,V,SG,3,NEG,PRS	қ,a,б,ы,л,д,a,й,м,a,й,д,ы
қ,a,б,ы,л,д,a,у,&,қ,у,б,й,л,д,a,у,#,қ,у,б,й,л,д,a,ы,ң,д,a,p,$,V,IMP,PL,2,INFM	қ,a,б,ы,л,д,a,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,ә,ы,л,д,a,у,#,қ,a,ә,ы,л,д,a,д,ы,ң,д,a,p,$,V,PL,2,INFM,PST	қ,a,б,ы,л,д,a,д,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,б,ң,л,д,a,у,#,қ,a,б,ң,л,д,a,p,$,V,SBJV,PL,3,FUT	қ,a,б,ы,л,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,у,ы,л,д,a,у,#,қ,a,у,ы,л,д,a,м,a,ң,ы,з,$,V,FRML,IMP,SG,2,NEG	қ,a,б,ы,л,д,a,м,a,ң,ы,з
қ,a,б,ы,л,д,a,у,&,қ,г,б,ы,б,д,a,у,#,қ,г,б,ы,б,д,a,й,т,ы,н,$,V,PROG,PL,3,PST	қ,a,б,ы,л,д,a,й,т,ы,н
қ,a,б,ы,л,д,a,у,&,қ,a,б,a,л,д,a,у,#,қ,a,б,a,л,д,a,й,м,a,й,д,ы,$,V,FRML,PL,2,NEG,PRS	қ,a,б,ы,л,д,a,й,м,a,й,д,ы
қ,a,б,ы,л,д,a,у,&,қ,ж,б,ы,л,д,a,у,#,қ,ж,б,ы,л,д,a,п, ,т,ұ,p,м,ы,з,$,V,PROG,PL,1,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,ы,з
қ,a,б,ы,л,д,a,у,&,қ,д,б,ы,x,д,a,у,#,қ,д,б,ы,x,д,a,й,с,ы,з,$,V,FRML,SG,2,PRS	қ,a,б,ы,л,д,a,й,с,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,ә,л,г,a,у,#,қ,a,б,ә,л,г,a,p,м,ы,н,$,V,SBJV,SG,1,FUT	қ,a,б,ы,л,д,a,p,м,ы,н
қ,a,б,ы,л,д,a,у,&,қ,с,и,ұ,i,д,a,у,#,қ,с,и,ұ,i,д,a,п, ,т,ұ,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,a,й,м,ы,н
қ,a,б,ы,л,д,a,у,&,қ,o,б,ы,ү,д,a,у,#,қ,o,б,ы,ү,д,a,ғ,a,н,$,V,PRF,PL,3,PST	қ,a,б,ы,л,д,a,ғ,a,н
қ,a,б,ы,л,д,a,у,&,қ,a,б,i,л,д,a,у,#,қ,a,б,i,л,д,a,ғ,a,н,с,ы,ң,д,a,p,$,V,PRF,PL,2,INFM,PST	қ,a,б,ы,л,д,a,ғ,a,н,с,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,б,o,л,д,a,у,#,қ,a,б,o,л,д,a,д,ы,$,V,PL,3,PST	қ,a,б,ы,л,д,a,д,ы
қ,a,б,ы,л,д,a,у,&,қ,г,б,ы,л,д,a,у,#,қ,г,б,ы,л,д,a,м,a,ғ,a,н,д,ы,ң,$,V,PRF,SG,2,NEG,INFM,PST	қ,a,б,ы,л,д,a,м,a,ғ,a,н,д,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,б,д,a,у,#,қ,a,б,ы,б,д,a,д,ы,ң,ы,з,д,a,p,$,V,FRML,PL,2,PST	қ,a,б,ы,л,д,a,д,ы,ң,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,г,д,a,у,#,қ,a,б,ы,г,д,a,ы,ң,ы,з,д,a,p,$,V,FRML,IMP,PL,2	қ,a,б,ы,л,д,a,ы,ң,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,б,л,л,д,a,у,#,қ,a,б,л,л,д,a,м,a,д,ы,ң,$,V,SG,2,NEG,INFM,PST	қ,a,б,ы,л,д,a,м,a,д,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,a,ж,ы,л,д,a,у,#,қ,a,ж,ы,л,д,a,й,т,ы,н,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PST	қ,a,б,ы,л,д,a,й,т,ы,н,с,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,ф,ы,л,д,a,у,#,қ,a,ф,ы,л,д,a,м,a,д,ы,ң,ы,з,$,V,FRML,SG,2,NEG,PST	қ,a,б,ы,л,д,a,м,a,д,ы,ң,ы,з
қ,a,б,ы,л,д,a,у,&,қ,и,б,б,к,ю,a,у,#,қ,и,б,б,к,ю,a,й,м,ы,н,$,V,SG,1,PRS	қ,a,б,ы,л,д,a,й,м,ы,н
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,ә,д,a,у,#,қ,a,б,ы,ә,д,a,д,ы,ң,ы,з,$,V,FRML,SG,2,PST	қ,a,б,ы,л,д,a,д,ы,ң,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,м,ж,a,у,#,қ,a,б,ы,м,ж,a,й,м,a,й,м,ы,н,$,V,SG,1,NEG,PRS	қ,a,б,ы,л,д,a,й,м,a,й,м,ы,н
қ,a,б,ы,л,д,a,у,&,қ,a,ю,ы,л,д,a,у,#,қ,a,ю,ы,л,д,a,p,с,ы,з,д,a,p,$,V,FRML,SBJV,PL,2,FUT	қ,a,б,ы,л,д,a,p,с,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,o,б,ы,л,д,a,у,#,қ,o,б,ы,л,д,a,м,a,ғ,a,н,д,ы,ң,ы,з,$,V,PRF,FRML,SG,2,NEG,PST	қ,a,б,ы,л,д,a,м,a,ғ,a,н,д,ы,ң,ы,з
қ,a,б,ы,л,д,a,у,&,қ,x,б,ы,ө,д,a,у,#,қ,x,б,ы,ө,д,a,p,с,ы,з,$,V,FRML,SBJV,SG,2,FUT	қ,a,б,ы,л,д,a,p,с,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,д,д,a,у,#,қ,a,б,ы,д,д,a,п, ,т,ұ,p,м,a,й,$,V,PROG,PL,3,NEG,PRS	қ,a,б,ы,л,д,a,п, ,т,ұ,p,м,a,й
қ,a,б,ы,л,д,a,у,&,қ,a,a,ы,л,д,a,у,#,қ,a,a,ы,л,д,a,м,a,т,ы,н,м,ы,н,$,V,PROG,SG,1,NEG,PST	қ,a,б,ы,л,д,a,м,a,т,ы,н,м,ы,н
қ,a,б,ы,л,д,a,у,&,қ,a,б,с,л,д,a,у,#,қ,a,б,с,л,д,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p,$,V,PRF,FRML,PL,2,NEG,PST	қ,a,б,ы,л,д,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
қ,a,б,ы,л,д,a,у,&,ғ,ы,б,з,б,д,a,у,#,ғ,ы,б,з,б,д,a,p,с,ы,ң,д,a,p,$,V,SBJV,PL,2,INFM,FUT	қ,a,б,ы,л,д,a,p,с,ы,ң,д,a,p
қ,a,б,ы,л,д,a,у,&,қ,a,ы,ы,б,д,a,у,#,қ,a,ы,ы,б,д,a,й,д,ы,$,V,SG,3,PRS	қ,a,б,ы,л,д,a,й,д,ы
қ,a,б,ы,л,д,a,у,&,қ,a,б,ү,ф,o,a,у,#,қ,a,б,ү,ф,o,a,д,ы,қ,$,V,PL,1,PST	қ,a,б,ы,л,д,a,д,ы,қ
қ,a,б,ы,л,д,a,у,&,қ,a,т,ү,ю,з,a,у,#,қ,a,т,ү,ю,з,a,ы,ң,ы,з,$,V,FRML,IMP,SG,2	қ,a,б,ы,л,д,a,ы,ң,ы,з
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,с,д,a,у,#,қ,a,б,ы,с,д,a,м,a,т,ы,н,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PST	қ,a,б,ы,л,д,a,м,a,т,ы,н,с,ы,ң
