l,i,a,&,s,i,a,#,s,i,a,$,COPY	l,i,a
s,i,m,a,m,a,&,s,i,m,a,p,a,#,n,i,n,g,a,l,i,s,i,m,a,p,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,s,i,m,a,m,a
s,i,m,a,m,a,&,s,z,m,a,m,a,#,n,i,n,g,e,s,z,m,a,m,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,s,i,m,a,m,a
s,i,m,a,m,a,&,s,i,m,a,b,a,#,w,a,m,e,s,i,m,a,b,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,s,i,m,a,m,a
s,i,m,a,m,a,&,s,i,j,a,m,a,#,k,u,s,i,j,a,m,a,$,V,FIN	k,u,s,i,m,a,m,a
s,i,m,a,m,a,&,s,i,m,e,m,a,#,u,t,a,s,i,m,e,m,a,$,V,FIN,IND,SG,2,FUT	u,t,a,s,i,m,a,m,a
s,i,m,a,m,a,&,s,i,m,a,g,a,#,u,a,s,i,m,a,g,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,s,i,m,a,m,a
s,i,m,a,m,a,&,s,w,m,m,e,a,#,w,a,n,a,s,w,m,m,e,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,s,i,m,a,m,a
s,i,m,a,m,a,&,s,g,m,a,m,a,#,u,n,a,s,g,m,a,m,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,s,i,m,a,m,a
s,i,m,a,m,a,&,s,i,m,a,t,a,#,w,a,a,s,i,m,a,t,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,s,i,m,a,m,a
s,i,m,a,m,a,&,s,i,f,a,m,a,#,t,u,t,a,s,i,f,a,m,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,s,i,m,a,m,a
s,i,m,a,m,a,&,s,i,m,m,m,a,#,t,u,h,u,s,i,m,m,m,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,s,i,m,a,m,a
s,i,m,a,m,a,&,s,i,m,a,g,a,#,t,u,l,i,s,i,m,a,g,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,s,i,m,a,m,a
t,a,z,a,m,a,&,t,c,l,a,m,a,#,t,c,l,a,m,a,$,COPY	t,a,z,a,m,a
t,a,z,a,m,a,&,t,s,z,a,a,a,#,t,u,m,e,t,s,z,a,a,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,i,a,m,a,#,t,u,n,g,a,l,i,t,a,i,a,m,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,l,m,a,#,u,t,a,t,a,z,l,m,a,$,V,FIN,IND,SG,2,FUT	u,t,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,n,a,m,a,#,m,h,u,t,a,n,a,m,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,t,a,z,a,m,a
t,a,z,a,m,a,&,t,k,z,a,m,a,#,m,m,e,t,k,z,a,m,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,t,z,a,m,a,#,w,a,n,a,t,t,z,a,m,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,d,z,y,m,a,#,t,u,h,u,t,d,z,y,m,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,a,l,a,#,m,n,g,e,t,a,z,a,l,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,a,i,a,#,k,u,t,a,z,a,i,a,$,V,FIN	k,u,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,m,a,m,a,#,a,m,e,t,a,m,a,m,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,u,z,a,m,a,#,n,i,l,i,t,u,z,a,m,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,c,m,a,#,n,i,n,g,a,l,i,t,a,z,c,m,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,c,m,a,#,a,t,a,t,a,z,c,m,a,$,V,FIN,IND,SG,3,FUT	a,t,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,t,z,a,m,a,#,u,a,t,t,z,a,m,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,c,z,g,c,a,#,a,l,i,t,c,z,g,c,a,$,V,FIN,IND,SG,3,PST	a,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,i,k,m,a,#,n,i,a,t,a,i,k,m,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,h,z,a,m,a,#,w,a,l,i,t,h,z,a,m,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,s,p,a,m,a,#,a,h,u,t,s,p,a,m,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,t,a,z,a,m,a
t,a,z,a,m,a,&,t,d,g,a,m,a,#,n,i,h,u,t,d,g,a,m,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,z,c,a,#,n,i,t,a,t,a,z,z,c,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,y,m,a,#,m,t,a,t,a,z,y,m,a,$,V,FIN,IND,PL,2,FUT	m,t,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,r,z,l,m,a,#,t,u,t,a,t,r,z,l,m,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,a,p,a,#,a,a,t,a,z,a,p,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,e,a,i,a,#,n,i,m,e,t,a,e,a,i,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,u,r,a,m,a,#,t,u,a,t,u,r,a,m,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,u,s,a,m,a,#,m,l,i,t,u,s,a,m,a,$,V,FIN,IND,PL,2,PST	m,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,j,a,m,a,#,n,i,n,g,e,t,a,j,a,m,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,f,a,m,a,#,w,a,n,g,e,t,a,f,a,m,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,p,l,a,#,a,n,g,a,l,i,t,a,z,p,l,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,y,a,m,a,#,w,a,h,u,t,a,y,a,m,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,a,y,a,#,u,n,g,e,t,a,z,a,y,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,p,m,a,#,u,h,u,t,a,z,p,m,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,y,a,m,a,#,u,l,i,t,a,y,a,m,a,$,V,FIN,IND,SG,2,PST	u,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,m,z,i,m,a,#,t,u,n,g,e,t,m,z,i,m,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,d,z,a,m,a,#,a,n,g,e,t,d,z,a,m,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,t,z,a,m,a,#,m,a,t,t,z,a,m,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,j,z,k,m,a,#,u,m,e,t,j,z,k,m,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,a,i,a,#,w,a,m,e,t,a,z,a,i,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,t,a,z,a,m,a
t,a,z,a,m,a,&,t,n,z,a,m,a,#,a,n,a,t,n,z,a,m,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,z,a,r,a,#,u,n,g,a,l,i,t,a,z,a,r,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,m,z,a,m,a,#,w,a,t,a,t,m,z,a,m,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,i,z,a,m,a,#,m,n,a,t,i,z,a,m,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,s,f,a,p,a,#,w,a,a,t,s,f,a,p,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,k,o,m,a,#,t,u,n,a,t,a,k,o,m,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,l,a,m,a,#,t,u,l,i,t,a,l,a,m,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,r,z,k,m,a,#,n,i,n,a,t,r,z,k,m,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,w,z,a,b,a,#,u,n,a,t,w,z,a,b,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,w,a,m,a,#,m,n,g,a,l,i,t,a,w,a,m,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,t,a,z,a,m,a
t,a,z,a,m,a,&,t,a,d,a,h,a,#,w,a,n,g,a,l,i,t,a,d,a,h,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,t,a,z,a,m,a
f,a,n,y,a,&,s,t,n,c,a,#,s,t,n,c,a,$,COPY	f,a,n,y,a
f,a,n,y,a,&,f,a,n,y,r,#,a,n,a,f,a,n,y,r,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,f,a,n,y,a
f,a,n,y,a,&,f,a,c,y,a,#,a,t,a,f,a,c,y,a,$,V,FIN,IND,SG,3,FUT	a,t,a,f,a,n,y,a
f,a,n,y,a,&,f,a,n,y,d,#,m,m,e,f,a,n,y,d,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,f,a,n,y,a
f,a,n,y,a,&,f,a,n,r,a,#,w,a,t,a,f,a,n,r,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,f,a,n,y,a
f,a,n,y,a,&,f,a,i,r,a,#,m,n,g,e,f,a,i,r,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,f,a,n,y,a
f,a,n,y,a,&,p,a,n,y,a,#,n,i,n,g,a,l,i,p,a,n,y,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,f,a,n,y,a
f,a,n,y,a,&,b,a,n,y,a,#,w,a,h,u,b,a,n,y,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,f,a,n,y,a
f,a,n,y,a,&,d,g,n,y,a,#,a,l,i,d,g,n,y,a,$,V,FIN,IND,SG,3,PST	a,l,i,f,a,n,y,a
f,a,n,y,a,&,u,a,n,y,a,#,t,u,t,a,u,a,n,y,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,f,a,n,y,a
f,a,n,y,a,&,f,m,n,e,a,#,w,a,m,e,f,m,n,e,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,f,a,n,y,a
f,a,n,y,a,&,n,a,j,c,a,#,n,i,m,e,n,a,j,c,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,f,a,n,y,a
f,a,n,y,a,&,m,a,n,p,a,#,m,n,g,a,l,i,m,a,n,p,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,f,a,n,y,a
f,a,n,y,a,&,f,a,n,z,a,#,t,u,n,a,f,a,n,z,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,f,a,n,y,a
f,a,n,y,a,&,f,a,z,y,a,#,u,t,a,f,a,z,y,a,$,V,FIN,IND,SG,2,FUT	u,t,a,f,a,n,y,a
f,a,n,y,a,&,f,a,y,y,f,#,a,a,f,a,y,y,f,$,V,INDF,FIN,IND,SG,3,PRS	a,a,f,a,n,y,a
f,a,n,y,a,&,f,a,n,y,f,#,w,a,n,g,e,f,a,n,y,f,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,f,a,n,y,a
f,a,n,y,a,&,f,a,n,s,a,#,t,u,n,g,e,f,a,n,s,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,f,a,n,y,a
f,a,n,y,a,&,e,t,n,j,a,#,n,i,n,a,e,t,n,j,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,f,a,n,y,a
f,a,n,y,a,&,f,f,d,m,a,#,n,i,a,f,f,d,m,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,f,a,n,y,a
f,a,n,y,a,&,f,a,n,i,a,#,t,u,n,g,a,l,i,f,a,n,i,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,f,a,n,y,a
f,a,n,y,a,&,f,m,n,n,a,#,a,m,e,f,m,n,n,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,f,a,n,y,a
f,a,n,y,a,&,u,t,n,y,a,#,n,i,n,g,e,u,t,n,y,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,f,a,n,y,a
f,a,n,y,a,&,f,a,i,l,a,#,w,a,a,f,a,i,l,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,f,a,n,y,a
f,a,n,y,a,&,f,w,n,m,a,#,u,n,g,e,f,w,n,m,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,f,a,n,y,a
f,a,n,y,a,&,f,r,n,y,a,#,m,h,u,f,r,n,y,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,f,a,n,y,a
f,a,n,y,a,&,f,o,w,s,m,#,u,n,a,f,o,w,s,m,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,f,a,n,y,a
f,a,n,y,a,&,o,k,n,g,a,#,m,a,o,k,n,g,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,f,a,n,y,a
f,a,n,y,a,&,f,a,n,y,h,#,t,u,l,i,f,a,n,y,h,$,V,FIN,IND,PL,1,PST	t,u,l,i,f,a,n,y,a
f,a,n,y,a,&,f,g,w,t,s,#,a,n,g,e,f,g,w,t,s,$,V,FIN,COND,SG,3,PRS	a,n,g,e,f,a,n,y,a
f,a,n,y,a,&,c,a,n,g,a,#,u,h,u,c,a,n,g,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,f,a,n,y,a
f,a,n,y,a,&,u,a,n,y,o,#,m,n,a,u,a,n,y,o,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,f,a,n,y,a
f,a,n,y,a,&,l,a,n,y,b,#,u,n,g,a,l,i,l,a,n,y,b,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,f,a,n,y,a
f,a,n,y,a,&,f,i,a,y,a,#,t,u,a,f,i,a,y,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,f,a,n,y,a
f,a,n,y,a,&,f,a,f,y,a,#,t,u,m,e,f,a,f,y,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,f,a,n,y,a
f,a,n,y,a,&,f,h,n,y,k,#,u,m,e,f,h,n,y,k,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,f,a,n,y,a
f,a,n,y,a,&,s,a,n,y,j,#,t,u,h,u,s,a,n,y,j,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,f,a,n,y,a
f,a,n,y,a,&,f,a,k,y,u,#,w,a,l,i,f,a,k,y,u,$,V,FIN,IND,PL,3,PST	w,a,l,i,f,a,n,y,a
f,a,n,y,a,&,f,a,r,y,a,#,w,a,n,g,a,l,i,f,a,r,y,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,f,a,n,y,a
f,a,n,y,a,&,d,p,n,p,a,#,a,n,g,a,l,i,d,p,n,p,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,f,a,n,y,a
f,a,n,y,a,&,s,h,n,y,a,#,w,a,n,a,s,h,n,y,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,f,a,n,y,a
f,a,n,y,a,&,f,k,n,y,a,#,k,u,f,k,n,y,a,$,V,FIN	k,u,f,a,n,y,a
f,a,n,y,a,&,f,a,n,y,k,#,u,a,f,a,n,y,k,$,V,INDF,FIN,IND,SG,2,PRS	u,a,f,a,n,y,a
f,a,n,y,a,&,f,a,g,s,g,#,u,l,i,f,a,g,s,g,$,V,FIN,IND,SG,2,PST	u,l,i,f,a,n,y,a
f,a,n,y,a,&,b,a,d,y,f,#,n,i,l,i,b,a,d,y,f,$,V,FIN,IND,SG,1,PST	n,i,l,i,f,a,n,y,a
f,a,n,y,a,&,f,s,n,y,a,#,m,t,a,f,s,n,y,a,$,V,FIN,IND,PL,2,FUT	m,t,a,f,a,n,y,a
f,a,n,y,a,&,f,j,n,f,a,#,n,i,t,a,f,j,n,f,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,f,a,n,y,a
f,a,n,y,a,&,s,a,n,b,u,#,n,i,h,u,s,a,n,b,u,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,f,a,n,y,a
f,a,n,y,a,&,a,a,n,y,d,#,a,h,u,a,a,n,y,d,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,f,a,n,y,a
f,a,n,y,a,&,f,w,n,j,y,#,m,l,i,f,w,n,j,y,$,V,FIN,IND,PL,2,PST	m,l,i,f,a,n,y,a
k,o,h,o,a,&,r,o,h,o,r,#,r,o,h,o,r,$,COPY	k,o,h,o,a
k,o,h,o,a,&,k,o,b,o,a,#,t,u,l,i,k,o,b,o,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,k,o,h,o,a
k,o,h,o,a,&,k,l,h,o,a,#,w,a,n,g,a,l,i,k,l,h,o,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,k,o,h,o,a
k,o,h,o,a,&,k,j,h,o,a,#,m,m,e,k,j,h,o,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,k,o,h,o,a
k,o,h,o,a,&,k,f,h,o,a,#,t,u,n,g,e,k,f,h,o,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,k,o,h,o,a
k,o,h,o,a,&,k,j,h,o,a,#,a,m,e,k,j,h,o,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,k,o,h,o,a
k,o,h,o,a,&,k,o,h,l,a,#,m,n,g,a,l,i,k,o,h,l,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,k,o,h,o,a
k,o,h,o,a,&,k,d,h,o,a,#,n,i,n,g,a,l,i,k,d,h,o,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,k,o,h,o,a
k,o,h,o,a,&,k,o,h,o,f,#,w,a,t,a,k,o,h,o,f,$,V,FIN,IND,PL,3,FUT	w,a,t,a,k,o,h,o,a
k,o,h,o,a,&,k,o,a,z,a,#,m,n,a,k,o,a,z,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,k,o,h,o,a
k,o,h,o,a,&,m,o,h,w,u,#,m,n,g,e,m,o,h,w,u,$,V,FIN,COND,PL,2,PRS	m,n,g,e,k,o,h,o,a
k,o,h,o,a,&,k,o,z,o,a,#,n,i,a,k,o,z,o,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,k,o,h,o,a
k,o,h,o,a,&,k,o,h,o,z,#,n,i,h,u,k,o,h,o,z,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,k,o,h,o,a
k,o,h,o,a,&,l,o,h,i,m,#,t,u,m,e,l,o,h,i,m,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,k,o,h,o,a
k,o,h,o,a,&,d,t,h,c,a,#,t,u,n,g,a,l,i,d,t,h,c,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,k,o,h,o,a
k,o,h,o,a,&,w,o,h,g,a,#,u,n,a,w,o,h,g,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,k,o,h,o,a
k,o,h,o,a,&,t,o,h,o,a,#,t,u,h,u,t,o,h,o,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,k,o,h,o,a
k,o,h,o,a,&,k,o,w,o,a,#,u,m,e,k,o,w,o,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,k,o,h,o,a
k,o,h,o,a,&,i,o,h,o,a,#,m,l,i,i,o,h,o,a,$,V,FIN,IND,PL,2,PST	m,l,i,k,o,h,o,a
k,o,h,o,a,&,k,o,g,o,a,#,u,n,g,e,k,o,g,o,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,k,o,h,o,a
k,o,h,o,a,&,k,o,h,o,n,#,a,h,u,k,o,h,o,n,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,k,o,h,o,a
k,o,h,o,a,&,k,o,h,t,a,#,w,a,h,u,k,o,h,t,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,k,o,h,o,a
k,o,h,o,a,&,k,f,h,o,a,#,w,a,n,g,e,k,f,h,o,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,k,o,h,o,a
k,o,h,o,a,&,w,a,y,k,a,#,t,u,t,a,w,a,y,k,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,k,o,h,o,a
k,o,h,o,a,&,e,o,h,o,j,#,m,h,u,e,o,h,o,j,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,k,o,h,o,a
k,o,h,o,a,&,k,o,h,o,y,#,u,t,a,k,o,h,o,y,$,V,FIN,IND,SG,2,FUT	u,t,a,k,o,h,o,a
k,o,h,o,a,&,k,r,n,o,a,#,u,a,k,r,n,o,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,k,o,h,o,a
k,o,h,o,a,&,a,o,h,o,a,#,w,a,m,e,a,o,h,o,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,k,o,h,o,a
k,o,h,o,a,&,n,o,y,o,a,#,n,i,n,g,e,n,o,y,o,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,k,o,h,o,a
k,o,h,o,a,&,z,j,j,e,a,#,a,n,g,a,l,i,z,j,j,e,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,k,o,h,o,a
k,o,h,o,a,&,g,o,h,o,a,#,w,a,n,a,g,o,h,o,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,k,o,h,o,a
k,o,h,o,a,&,e,o,h,o,a,#,u,l,i,e,o,h,o,a,$,V,FIN,IND,SG,2,PST	u,l,i,k,o,h,o,a
k,o,h,o,a,&,w,o,h,e,j,#,u,h,u,w,o,h,e,j,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,k,o,h,o,a
k,o,h,o,a,&,k,o,i,o,a,#,a,a,k,o,i,o,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,k,o,h,o,a
k,o,h,o,a,&,g,o,j,o,f,#,m,t,a,g,o,j,o,f,$,V,FIN,IND,PL,2,FUT	m,t,a,k,o,h,o,a
k,o,h,o,a,&,k,o,h,o,z,#,a,n,g,e,k,o,h,o,z,$,V,FIN,COND,SG,3,PRS	a,n,g,e,k,o,h,o,a
k,o,h,o,a,&,g,i,h,o,a,#,t,u,n,a,g,i,h,o,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,k,o,h,o,a
k,o,h,o,a,&,k,o,h,f,a,#,t,u,a,k,o,h,f,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,k,o,h,o,a
k,o,h,o,a,&,y,o,b,o,a,#,a,l,i,y,o,b,o,a,$,V,FIN,IND,SG,3,PST	a,l,i,k,o,h,o,a
k,o,h,o,a,&,k,o,h,w,a,#,n,i,m,e,k,o,h,w,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,k,o,h,o,a
k,o,h,o,a,&,k,o,h,o,w,#,u,n,g,a,l,i,k,o,h,o,w,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,k,o,h,o,a
k,o,h,o,a,&,k,o,e,g,a,#,a,t,a,k,o,e,g,a,$,V,FIN,IND,SG,3,FUT	a,t,a,k,o,h,o,a
k,o,h,o,a,&,k,o,w,o,k,#,k,u,k,o,w,o,k,$,V,FIN	k,u,k,o,h,o,a
k,o,h,o,a,&,k,o,u,o,a,#,m,a,k,o,u,o,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,k,o,h,o,a
k,o,h,o,a,&,k,o,p,o,z,#,a,n,a,k,o,p,o,z,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,k,o,h,o,a
k,o,h,o,a,&,k,o,h,o,j,#,w,a,a,k,o,h,o,j,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,k,o,h,o,a
k,o,h,o,a,&,k,o,g,o,a,#,n,i,t,a,k,o,g,o,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,k,o,h,o,a
k,o,h,o,a,&,t,z,h,o,a,#,n,i,n,a,t,z,h,o,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,k,o,h,o,a
k,o,h,o,a,&,k,o,h,o,z,#,n,i,l,i,k,o,h,o,z,$,V,FIN,IND,SG,1,PST	n,i,l,i,k,o,h,o,a
k,o,h,o,a,&,k,o,h,u,a,#,w,a,l,i,k,o,h,u,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,k,o,h,o,a
r,u,k,a,&,a,i,k,a,#,a,i,k,a,$,COPY	r,u,k,a
r,u,k,a,&,z,u,k,a,#,n,i,n,a,z,u,k,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,r,u,k,a
r,u,k,a,&,r,u,k,b,#,t,u,h,u,r,u,k,b,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,r,u,k,a
r,u,k,a,&,r,u,n,a,#,n,i,n,g,e,r,u,n,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,r,u,k,a
r,u,k,a,&,r,s,k,a,#,n,i,m,e,r,s,k,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,r,u,k,a
r,u,k,a,&,r,f,k,d,#,n,i,l,i,r,f,k,d,$,V,FIN,IND,SG,1,PST	n,i,l,i,r,u,k,a
r,u,k,a,&,w,u,k,a,#,n,i,n,g,a,l,i,w,u,k,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,r,u,k,a
