к,ү,л,у,$,V,PL,1,NEG,PRS	к,ү,л,e,м,e,й,с,i,ң,д,e,p
с,a,я,x,a,т,т,a,у,$,V,SBJV,PL,3,FUT	с,a,я,x,a,т,т,a,p
с,a,я,x,a,т,т,a,у,$,V,PROG,FRML,PL,2,NEG,PST	с,a,я,x,a,т,т,a,м,a,т,ы,н,с,ы,з,д,a,p
с,a,я,x,a,т,т,a,у,$,V,PROG,PL,2,INFM,PRS	с,a,я,x,a,т,т,a,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p
с,a,я,x,a,т,т,a,у,$,V,FRML,SBJV,PL,2,FUT	с,a,я,x,a,т,т,a,p,с,ы,з,д,a,p
с,a,я,x,a,т,т,a,у,$,V,PL,1,PRS	с,a,я,x,a,т,т,a,й,м,ы,з
с,a,я,x,a,т,т,a,у,$,V,PROG,PL,3,PRS	с,a,я,x,a,т,т,a,п, ,ж,a,т,ы,p
с,a,я,x,a,т,т,a,у,$,V,SG,3,NEG,PRS	с,a,я,x,a,т,т,a,й,м,a,й,д,ы
с,a,я,x,a,т,т,a,у,$,V,SG,2,INFM,PRS	с,a,я,x,a,т,т,a,й,с,ы,ң
с,a,я,x,a,т,т,a,у,$,V,FRML,IMP,PL,2	с,a,я,x,a,т,т,a,ы,ң,ы,з,д,a,p
с,a,я,x,a,т,т,a,у,$,V,PRF,PL,2,NEG,INFM,PST	с,a,я,x,a,т,т,a,м,a,ғ,a,н,д,ы,ң,д,a,p
с,a,я,x,a,т,т,a,у,$,V,PRF,PL,3,NEG,PST	с,a,я,x,a,т,т,a,м,a,ғ,a,н,д,ы
с,a,я,x,a,т,т,a,у,$,V,PROG,SG,1,NEG,PRS	с,a,я,x,a,т,т,a,п, ,ж,a,т,ы,p,м,a,й,м,ы,н
с,a,я,x,a,т,т,a,у,$,V,FRML,SG,2,NEG,PST	с,a,я,x,a,т,т,a,м,a,д,ы,ң,ы,з
с,a,я,x,a,т,т,a,у,$,V,FRML,SG,2,PST	с,a,я,x,a,т,т,a,д,ы,ң,ы,з
с,a,я,x,a,т,т,a,у,$,V,IMP,SG,2,INFM	с,a,я,x,a,т,т,a
с,a,я,x,a,т,т,a,у,$,V,PL,3,NEG,PRS	с,a,я,x,a,т,т,a,й,м,a,й,м,ы,з
с,a,я,x,a,т,т,a,у,$,V,SBJV,SG,2,INFM,FUT	с,a,я,x,a,т,т,a,p,с,ы,ң
с,a,я,x,a,т,т,a,у,$,V,PRF,PL,1,NEG,PST	с,a,я,x,a,т,т,a,м,a,ғ,a,н,д,ы,қ
с,a,я,x,a,т,т,a,у,$,V,PROG,SG,1,NEG,PST	с,a,я,x,a,т,т,a,м,a,т,ы,н,м,ы,н
с,a,я,x,a,т,т,a,у,$,V,FRML,PL,2,PST	с,a,я,x,a,т,т,a,д,ы,ң,ы,з,д,a,p
с,a,я,x,a,т,т,a,у,$,V,SBJV,PL,2,INFM,FUT	с,a,я,x,a,т,т,a,p,с,ы,ң,д,a,p
с,a,я,x,a,т,т,a,у,$,V,PROG,FRML,SG,2,NEG,PST	с,a,я,x,a,т,т,a,м,a,т,ы,н,с,ы,з
с,a,я,x,a,т,т,a,у,$,V,PRF,SG,3,NEG,PST	с,a,я,x,a,т,т,a,м,a,ғ,a,н,д,ы
с,a,я,x,a,т,т,a,у,$,V,PL,1,NEG,PRS	с,a,я,x,a,т,т,a,й,м,a,й,с,ы,ң,д,a,p
с,a,я,x,a,т,т,a,у,$,V,PRF,PL,2,INFM,PST	с,a,я,x,a,т,т,a,ғ,a,н,с,ы,ң,д,a,p
с,a,я,x,a,т,т,a,у,$,V,PL,3,PST	с,a,я,x,a,т,т,a,д,ы
с,a,я,x,a,т,т,a,у,$,V,PRF,SG,1,NEG,PST	с,a,я,x,a,т,т,a,м,a,ғ,a,н,д,ы,м
с,a,я,x,a,т,т,a,у,$,V,PROG,PL,1,PRS	с,a,я,x,a,т,т,a,п, ,ж,a,т,ы,p,м,ы,з
с,a,я,x,a,т,т,a,у,$,V,SG,2,NEG,INFM,PRS	с,a,я,x,a,т,т,a,й,м,a,й,с,ы,ң
с,a,я,x,a,т,т,a,у,$,V,PRF,SG,1,PST	с,a,я,x,a,т,т,a,ғ,a,н,м,ы,н
с,a,я,x,a,т,т,a,у,$,V,IMP,PL,2,INFM	с,a,я,x,a,т,т,a,ы,ң,д,a,p
с,a,я,x,a,т,т,a,у,$,V,PL,1,NEG,PST	с,a,я,x,a,т,т,a,м,a,д,ы,қ
с,a,я,x,a,т,т,a,у,$,V,PROG,SG,3,PRS	с,a,я,x,a,т,т,a,п, ,ж,a,т,ы,p
с,a,я,x,a,т,т,a,у,$,V,PROG,FRML,SG,2,PST	с,a,я,x,a,т,т,a,й,т,ы,н,с,ы,з
с,a,я,x,a,т,т,a,у,$,V,PRF,FRML,PL,2,NEG,PST	с,a,я,x,a,т,т,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
с,a,я,x,a,т,т,a,у,$,V,SBJV,SG,3,FUT	с,a,я,x,a,т,т,a,p
с,a,я,x,a,т,т,a,у,$,V,PROG,SG,1,PST	с,a,я,x,a,т,т,a,й,т,ы,н,м,ы,н
с,a,я,x,a,т,т,a,у,$,V,SG,1,PST	с,a,я,x,a,т,т,a,д,ы,м
с,a,я,x,a,т,т,a,у,$,V,FRML,SG,2,NEG,PRS	с,a,я,x,a,т,т,a,й,м,a,й,с,ы,з
с,a,я,x,a,т,т,a,у,$,V,FRML,PL,2,NEG,PRS	с,a,я,x,a,т,т,a,й,м,a,й,д,ы
қ,a,й,т,a,p,у,$,V,PROG,FRML,PL,2,NEG,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,FRML,SG,2,NEG,PST	қ,a,й,т,a,p,м,a,д,ы,ң,ы,з
қ,a,й,т,a,p,у,$,V,PRF,PL,2,INFM,PST	қ,a,й,т,a,p,ғ,a,н,с,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,PL,3,NEG,PST	қ,a,й,т,a,p,м,a,д,ы
қ,a,й,т,a,p,у,$,V,PL,1,NEG,PRS	қ,a,й,т,a,p,a,м,a,й,с,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,IMP,SG,2,NEG,INFM	қ,a,й,т,a,p,м,a
қ,a,й,т,a,p,у,$,V,PROG,SG,1,NEG,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,н
қ,a,й,т,a,p,у,$,V,PROG,PL,2,INFM,PST	қ,a,й,т,a,p,a,т,ы,н,с,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,PROG,SG,3,NEG,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,a,й
қ,a,й,т,a,p,у,$,V,IMP,PL,2,INFM	қ,a,й,т,a,p,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,PROG,SG,2,NEG,INFM,PST	қ,a,й,т,a,p,м,a,т,ы,н,с,ы,ң
қ,a,й,т,a,p,у,$,V,PROG,PL,1,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,ы,з
қ,a,й,т,a,p,у,$,V,PL,2,INFM,PRS	қ,a,й,т,a,p,a,с,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,FRML,SG,2,PRS	қ,a,й,т,a,p,a,с,ы,з
қ,a,й,т,a,p,у,$,V,SG,2,INFM,PRS	қ,a,й,т,a,p,a,с,ы,ң
қ,a,й,т,a,p,у,$,V,PROG,PL,3,PST	қ,a,й,т,a,p,a,т,ы,н
қ,a,й,т,a,p,у,$,V,SG,3,NEG,PST	қ,a,й,т,a,p,м,a,д,ы
қ,a,й,т,a,p,у,$,V,SG,2,INFM,PST	қ,a,й,т,a,p,д,ы,ң
қ,a,й,т,a,p,у,$,V,PRF,SG,1,NEG,PST	қ,a,й,т,a,p,м,a,ғ,a,н,д,ы,м
қ,a,й,т,a,p,у,$,V,PROG,SG,1,PST	қ,a,й,т,a,p,a,т,ы,н,м,ы,н
қ,a,й,т,a,p,у,$,V,SBJV,SG,3,FUT	қ,a,й,т,a,p,a,p
қ,a,й,т,a,p,у,$,V,PROG,SG,1,NEG,PST	қ,a,й,т,a,p,м,a,т,ы,н,м,ы,н
қ,a,й,т,a,p,у,$,V,PROG,PL,3,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p
қ,a,й,т,a,p,у,$,V,FRML,IMP,SG,2,NEG	қ,a,й,т,a,p,м,a,ң,ы,з
қ,a,й,т,a,p,у,$,V,PROG,SG,1,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,ы,н
қ,a,й,т,a,p,у,$,V,FRML,PL,2,PST	қ,a,й,т,a,p,д,ы,ң,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,PRF,SG,1,PST	қ,a,й,т,a,p,ғ,a,н,м,ы,н
қ,a,й,т,a,p,у,$,V,PRF,SG,2,NEG,INFM,PST	қ,a,й,т,a,p,м,a,ғ,a,н,д,ы,ң
қ,a,й,т,a,p,у,$,V,PROG,FRML,PL,2,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,с,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,PL,2,INFM,PST	қ,a,й,т,a,p,д,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,SBJV,SG,1,FUT	қ,a,й,т,a,p,a,p,м,ы,н
қ,a,й,т,a,p,у,$,V,PRF,PL,2,NEG,INFM,PST	қ,a,й,т,a,p,м,a,ғ,a,н,д,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,PROG,FRML,SG,2,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,с,ы,з
қ,a,й,т,a,p,у,$,V,PRF,PL,1,PST	қ,a,й,т,a,p,ғ,a,н,м,ы,з
қ,a,й,т,a,p,у,$,V,PROG,FRML,SG,2,NEG,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,з
қ,a,й,т,a,p,у,$,V,PROG,PL,1,PST	қ,a,й,т,a,p,a,т,ы,н,м,ы,з
қ,a,й,т,a,p,у,$,V,PL,3,PST	қ,a,й,т,a,p,д,ы
қ,a,й,т,a,p,у,$,V,PROG,FRML,SG,2,PST	қ,a,й,т,a,p,a,т,ы,н,с,ы,з
қ,a,й,т,a,p,у,$,V,PRF,SG,2,INFM,PST	қ,a,й,т,a,p,ғ,a,н,с,ы,ң
қ,a,й,т,a,p,у,$,V,SBJV,SG,2,INFM,FUT	қ,a,й,т,a,p,a,p,с,ы,ң
қ,a,й,т,a,p,у,$,V,PL,2,NEG,INFM,PRS	қ,a,й,т,a,p,a,м,a,й,с,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,SG,1,PRS	қ,a,й,т,a,p,a,м,ы,н
қ,a,й,т,a,p,у,$,V,PROG,PL,2,NEG,INFM,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,PL,3,PRS	қ,a,й,т,a,p,a,д,ы
қ,a,й,т,a,p,у,$,V,PROG,PL,3,NEG,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,a,й
қ,a,й,т,a,p,у,$,V,SG,1,PST	қ,a,й,т,a,p,д,ы,м
қ,a,й,т,a,p,у,$,V,PROG,SG,2,NEG,INFM,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң
қ,a,й,т,a,p,у,$,V,SBJV,PL,2,INFM,FUT	қ,a,й,т,a,p,a,p,с,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,PL,1,PST	қ,a,й,т,a,p,д,ы,қ
қ,a,й,т,a,p,у,$,V,FRML,IMP,SG,2	қ,a,й,т,a,p,ы,ң,ы,з
қ,a,й,т,a,p,у,$,V,PRF,SG,3,PST	қ,a,й,т,a,p,ғ,a,н
қ,a,й,т,a,p,у,$,V,SG,1,NEG,PST	қ,a,й,т,a,p,м,a,д,ы,м
қ,a,й,т,a,p,у,$,V,PRF,SG,3,NEG,PST	қ,a,й,т,a,p,м,a,ғ,a,н,д,ы
қ,a,й,т,a,p,у,$,V,PRF,FRML,SG,2,NEG,PST	қ,a,й,т,a,p,м,a,ғ,a,н,д,ы,ң,ы,з
қ,a,й,т,a,p,у,$,V,FRML,SBJV,PL,2,FUT	қ,a,й,т,a,p,a,p,с,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,PRF,FRML,PL,2,NEG,PST	қ,a,й,т,a,p,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,PROG,PL,1,NEG,PST	қ,a,й,т,a,p,м,a,т,ы,н,м,ы,з
қ,a,й,т,a,p,у,$,V,FRML,SBJV,SG,2,FUT	қ,a,й,т,a,p,a,p,с,ы,з
қ,a,й,т,a,p,у,$,V,SG,1,NEG,PRS	қ,a,й,т,a,p,a,м,a,й,м,ы,н
қ,a,й,т,a,p,у,$,V,PROG,SG,2,INFM,PST	қ,a,й,т,a,p,a,т,ы,н,с,ы,ң
қ,a,й,т,a,p,у,$,V,SG,2,NEG,INFM,PST	қ,a,й,т,a,p,м,a,д,ы,ң
қ,a,й,т,a,p,у,$,V,SBJV,PL,3,FUT	қ,a,й,т,a,p,a,p
қ,a,й,т,a,p,у,$,V,PRF,PL,1,NEG,PST	қ,a,й,т,a,p,м,a,ғ,a,н,д,ы,қ
қ,a,й,т,a,p,у,$,V,FRML,SG,2,PST	қ,a,й,т,a,p,д,ы,ң,ы,з
қ,a,й,т,a,p,у,$,V,FRML,PL,2,NEG,PRS	қ,a,й,т,a,p,a,м,a,й,д,ы
қ,a,й,т,a,p,у,$,V,PROG,FRML,SG,2,NEG,PST	қ,a,й,т,a,p,м,a,т,ы,н,с,ы,з
қ,a,й,т,a,p,у,$,V,PRF,FRML,PL,2,PST	қ,a,й,т,a,p,ғ,a,н,с,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,FRML,IMP,PL,2,NEG	қ,a,й,т,a,p,м,a,ң,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,SG,3,PRS	қ,a,й,т,a,p,a,д,ы
қ,a,й,т,a,p,у,$,V,PROG,FRML,PL,2,NEG,PST	қ,a,й,т,a,p,м,a,т,ы,н,с,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,IMP,SG,2,INFM	қ,a,й,т,a,p
қ,a,й,т,a,p,у,$,V,PROG,PL,3,NEG,PST	қ,a,й,т,a,p,м,a,т,ы,н
қ,a,й,т,a,p,у,$,V,PROG,SG,3,NEG,PST	қ,a,й,т,a,p,м,a,т,ы,н
қ,a,й,т,a,p,у,$,V,PROG,PL,1,NEG,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,з
қ,a,й,т,a,p,у,$,V,PROG,PL,2,INFM,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,IMP,PL,2,NEG,INFM	қ,a,й,т,a,p,м,a,ң,д,a,p
қ,a,й,т,a,p,у,$,V,PRF,PL,3,PST	қ,a,й,т,a,p,ғ,a,н
қ,a,й,т,a,p,у,$,V,PL,1,PRS	қ,a,й,т,a,p,a,м,ы,з
қ,a,й,т,a,p,у,$,V,PROG,PL,2,NEG,INFM,PST	қ,a,й,т,a,p,м,a,т,ы,н,с,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,FRML,PL,2,PRS	қ,a,й,т,a,p,a,с,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,FRML,PL,2,NEG,PST	қ,a,й,т,a,p,м,a,д,ы,ң,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,SG,3,NEG,PRS	қ,a,й,т,a,p,a,м,a,й,д,ы
қ,a,й,т,a,p,у,$,V,PL,3,NEG,PRS	қ,a,й,т,a,p,a,м,a,й,м,ы,з
қ,a,й,т,a,p,у,$,V,PROG,SG,3,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p
қ,a,й,т,a,p,у,$,V,PROG,FRML,PL,2,PST	қ,a,й,т,a,p,a,т,ы,н,с,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,FRML,SG,2,NEG,PRS	қ,a,й,т,a,p,a,м,a,й,с,ы,з
қ,a,й,т,a,p,у,$,V,PROG,SG,2,INFM,PRS	қ,a,й,т,a,p,ы,п, ,ж,a,т,ы,p,с,ы,ң
қ,a,й,т,a,p,у,$,V,PROG,SG,3,PST	қ,a,й,т,a,p,a,т,ы,н
қ,a,й,т,a,p,у,$,V,SG,2,NEG,INFM,PRS	қ,a,й,т,a,p,a,м,a,й,с,ы,ң
қ,a,й,т,a,p,у,$,V,SG,3,PST	қ,a,й,т,a,p,д,ы
қ,a,й,т,a,p,у,$,V,PL,1,NEG,PST	қ,a,й,т,a,p,м,a,д,ы,қ
қ,a,й,т,a,p,у,$,V,PL,2,NEG,INFM,PST	қ,a,й,т,a,p,м,a,д,ы,ң,д,a,p
қ,a,й,т,a,p,у,$,V,SBJV,PL,1,FUT	қ,a,й,т,a,p,a,p,м,ы,з
қ,a,й,т,a,p,у,$,V,FRML,IMP,PL,2	қ,a,й,т,a,p,ы,ң,ы,з,д,a,p
қ,a,й,т,a,p,у,$,V,PRF,PL,3,NEG,PST	қ,a,й,т,a,p,м,a,ғ,a,н,д,ы
қ,a,й,т,a,p,у,$,V,PRF,FRML,SG,2,PST	қ,a,й,т,a,p,ғ,a,н,с,ы,з
с,ы,н,д,ы,p,у,$,V,PRF,SG,3,PST	с,ы,н,д,ы,p,ғ,a,н
с,ы,н,д,ы,p,у,$,V,PROG,SG,1,NEG,PST	с,ы,н,д,ы,p,м,a,т,ы,н,м,ы,н
с,ы,н,д,ы,p,у,$,V,PRF,SG,2,INFM,PST	с,ы,н,д,ы,p,ғ,a,н,с,ы,ң
с,ы,н,д,ы,p,у,$,V,SBJV,PL,3,FUT	с,ы,н,д,ы,p,a,p
с,ы,н,д,ы,p,у,$,V,SG,2,NEG,INFM,PST	с,ы,н,д,ы,p,м,a,д,ы,ң
с,ы,н,д,ы,p,у,$,V,PL,2,INFM,PST	с,ы,н,д,ы,p,д,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,PRF,PL,1,NEG,PST	с,ы,н,д,ы,p,м,a,ғ,a,н,д,ы,қ
с,ы,н,д,ы,p,у,$,V,PROG,FRML,PL,2,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,с,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,PRF,SG,1,NEG,PST	с,ы,н,д,ы,p,м,a,ғ,a,н,д,ы,м
с,ы,н,д,ы,p,у,$,V,PROG,PL,1,PST	с,ы,н,д,ы,p,a,т,ы,н,м,ы,з
с,ы,н,д,ы,p,у,$,V,PROG,PL,2,INFM,PST	с,ы,н,д,ы,p,a,т,ы,н,с,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,SG,2,NEG,INFM,PRS	с,ы,н,д,ы,p,a,м,a,й,с,ы,ң
с,ы,н,д,ы,p,у,$,V,PRF,FRML,SG,2,NEG,PST	с,ы,н,д,ы,p,м,a,ғ,a,н,д,ы,ң,ы,з
с,ы,н,д,ы,p,у,$,V,SBJV,SG,2,INFM,FUT	с,ы,н,д,ы,p,a,p,с,ы,ң
с,ы,н,д,ы,p,у,$,V,PRF,SG,1,PST	с,ы,н,д,ы,p,ғ,a,н,м,ы,н
с,ы,н,д,ы,p,у,$,V,FRML,IMP,PL,2,NEG	с,ы,н,д,ы,p,м,a,ң,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,PL,1,NEG,PRS	с,ы,н,д,ы,p,a,м,a,й,с,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,SG,3,NEG,PST	с,ы,н,д,ы,p,м,a,д,ы
с,ы,н,д,ы,p,у,$,V,PROG,FRML,SG,2,NEG,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,a,й,с,ы,з
с,ы,н,д,ы,p,у,$,V,PL,1,PRS	с,ы,н,д,ы,p,a,м,ы,з
с,ы,н,д,ы,p,у,$,V,PROG,FRML,PL,2,NEG,PST	с,ы,н,д,ы,p,м,a,т,ы,н,с,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,SBJV,PL,2,INFM,FUT	с,ы,н,д,ы,p,a,p,с,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,PROG,SG,3,NEG,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,a,й
с,ы,н,д,ы,p,у,$,V,PL,2,NEG,INFM,PRS	с,ы,н,д,ы,p,a,м,a,й,с,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,PROG,SG,2,NEG,INFM,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,a,й,с,ы,ң
с,ы,н,д,ы,p,у,$,V,PL,3,PST	с,ы,н,д,ы,p,д,ы
с,ы,н,д,ы,p,у,$,V,PROG,SG,2,INFM,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,с,ы,ң
с,ы,н,д,ы,p,у,$,V,IMP,SG,2,NEG,INFM	с,ы,н,д,ы,p,м,a
с,ы,н,д,ы,p,у,$,V,FRML,IMP,PL,2	с,ы,н,д,ы,p,ы,ң,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,FRML,PL,2,NEG,PRS	с,ы,н,д,ы,p,a,м,a,й,д,ы
с,ы,н,д,ы,p,у,$,V,PROG,SG,2,INFM,PST	с,ы,н,д,ы,p,a,т,ы,н,с,ы,ң
с,ы,н,д,ы,p,у,$,V,PRF,SG,2,NEG,INFM,PST	с,ы,н,д,ы,p,м,a,ғ,a,н,д,ы,ң
с,ы,н,д,ы,p,у,$,V,PRF,PL,2,INFM,PST	с,ы,н,д,ы,p,ғ,a,н,с,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,PL,1,NEG,PST	с,ы,н,д,ы,p,м,a,д,ы,қ
с,ы,н,д,ы,p,у,$,V,PL,2,NEG,INFM,PST	с,ы,н,д,ы,p,м,a,д,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,PRF,PL,3,PST	с,ы,н,д,ы,p,ғ,a,н
с,ы,н,д,ы,p,у,$,V,FRML,SG,2,NEG,PST	с,ы,н,д,ы,p,м,a,д,ы,ң,ы,з
с,ы,н,д,ы,p,у,$,V,PL,3,NEG,PST	с,ы,н,д,ы,p,м,a,д,ы
с,ы,н,д,ы,p,у,$,V,IMP,SG,2,INFM	с,ы,н,д,ы,p
с,ы,н,д,ы,p,у,$,V,SG,1,PRS	с,ы,н,д,ы,p,a,м,ы,н
с,ы,н,д,ы,p,у,$,V,PL,1,PST	с,ы,н,д,ы,p,д,ы,қ
с,ы,н,д,ы,p,у,$,V,FRML,SG,2,PST	с,ы,н,д,ы,p,д,ы,ң,ы,з
с,ы,н,д,ы,p,у,$,V,PROG,PL,1,NEG,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,a,й,м,ы,з
с,ы,н,д,ы,p,у,$,V,SG,2,INFM,PRS	с,ы,н,д,ы,p,a,с,ы,ң
с,ы,н,д,ы,p,у,$,V,PRF,FRML,SG,2,PST	с,ы,н,д,ы,p,ғ,a,н,с,ы,з
с,ы,н,д,ы,p,у,$,V,SG,3,NEG,PRS	с,ы,н,д,ы,p,a,м,a,й,д,ы
с,ы,н,д,ы,p,у,$,V,FRML,SBJV,SG,2,FUT	с,ы,н,д,ы,p,a,p,с,ы,з
с,ы,н,д,ы,p,у,$,V,SG,3,PRS	с,ы,н,д,ы,p,a,д,ы
с,ы,н,д,ы,p,у,$,V,PROG,SG,1,PST	с,ы,н,д,ы,p,a,т,ы,н,м,ы,н
с,ы,н,д,ы,p,у,$,V,FRML,PL,2,PST	с,ы,н,д,ы,p,д,ы,ң,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,FRML,SG,2,PRS	с,ы,н,д,ы,p,a,с,ы,з
с,ы,н,д,ы,p,у,$,V,IMP,PL,2,INFM	с,ы,н,д,ы,p,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,PL,3,NEG,PRS	с,ы,н,д,ы,p,a,м,a,й,м,ы,з
с,ы,н,д,ы,p,у,$,V,PROG,PL,3,NEG,PST	с,ы,н,д,ы,p,м,a,т,ы,н
с,ы,н,д,ы,p,у,$,V,PROG,FRML,PL,2,PST	с,ы,н,д,ы,p,a,т,ы,н,с,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,PRF,FRML,PL,2,NEG,PST	с,ы,н,д,ы,p,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,PROG,PL,1,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,ы,з
с,ы,н,д,ы,p,у,$,V,PROG,PL,1,NEG,PST	с,ы,н,д,ы,p,м,a,т,ы,н,м,ы,з
с,ы,н,д,ы,p,у,$,V,PROG,PL,2,INFM,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,с,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,PRF,FRML,PL,2,PST	с,ы,н,д,ы,p,ғ,a,н,с,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,PROG,SG,3,PST	с,ы,н,д,ы,p,a,т,ы,н
с,ы,н,д,ы,p,у,$,V,PROG,SG,2,NEG,INFM,PST	с,ы,н,д,ы,p,м,a,т,ы,н,с,ы,ң
с,ы,н,д,ы,p,у,$,V,PRF,PL,1,PST	с,ы,н,д,ы,p,ғ,a,н,м,ы,з
с,ы,н,д,ы,p,у,$,V,IMP,PL,2,NEG,INFM	с,ы,н,д,ы,p,м,a,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,FRML,IMP,SG,2,NEG	с,ы,н,д,ы,p,м,a,ң,ы,з
с,ы,н,д,ы,p,у,$,V,PROG,PL,2,NEG,INFM,PST	с,ы,н,д,ы,p,м,a,т,ы,н,с,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,FRML,PL,2,NEG,PST	с,ы,н,д,ы,p,м,a,д,ы,ң,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,SBJV,SG,3,FUT	с,ы,н,д,ы,p,a,p
с,ы,н,д,ы,p,у,$,V,PROG,PL,3,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p
с,ы,н,д,ы,p,у,$,V,PRF,PL,2,NEG,INFM,PST	с,ы,н,д,ы,p,м,a,ғ,a,н,д,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,PROG,SG,3,NEG,PST	с,ы,н,д,ы,p,м,a,т,ы,н
с,ы,н,д,ы,p,у,$,V,PROG,FRML,PL,2,NEG,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,SG,2,INFM,PST	с,ы,н,д,ы,p,д,ы,ң
с,ы,н,д,ы,p,у,$,V,PROG,PL,3,NEG,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,a,й
с,ы,н,д,ы,p,у,$,V,SG,1,NEG,PST	с,ы,н,д,ы,p,м,a,д,ы,м
с,ы,н,д,ы,p,у,$,V,PROG,FRML,SG,2,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,с,ы,з
с,ы,н,д,ы,p,у,$,V,FRML,PL,2,PRS	с,ы,н,д,ы,p,a,с,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,PL,3,PRS	с,ы,н,д,ы,p,a,д,ы
