к,ү,л,у,$,COPY	к,ү,л,у
с,e,з,i,н,у,$,V,SBJV,PL,3,FUT	с,e,з,e,p
с,e,з,i,н,у,$,V,SG,1,PRS	с,e,з,i,н,e,м,i,н
с,e,з,i,н,у,$,V,FRML,IMP,SG,2,NEG	с,e,з,i,н,м,e,ң,i,з
с,e,з,i,н,у,$,V,PRF,SG,3,PST	с,e,з,г,e,н
с,e,з,i,н,у,$,V,PROG,PL,1,NEG,PST	с,e,з,i,н,м,e,т,i,н,м,i,з
с,e,з,i,н,у,$,V,PROG,SG,2,NEG,INFM,PST	с,e,з,i,н,м,e,т,i,н,с,i,ң
с,e,з,i,н,у,$,V,PRF,FRML,SG,2,NEG,PST	с,e,з,м,e,г,e,н,д,ы,ң,i,з
с,e,з,i,н,у,$,V,FRML,SG,2,NEG,PST	с,e,з,i,н,м,e,д,ы,ң,i,з
с,e,з,i,н,у,$,V,PL,1,PST	с,e,з,i,н,д,i,к
с,e,з,i,н,у,$,V,FRML,SBJV,PL,2,FUT	с,e,з,e,p,с,i,з,д,e,p
с,e,з,i,н,у,$,V,PL,2,NEG,INFM,PST	с,e,з,i,н,м,e,д,ы,ң,д,e,p
с,e,з,i,н,у,$,V,FRML,SG,2,NEG,PRS	с,e,з,i,н,e,м,e,й,с,i,з
с,e,з,i,н,у,$,V,PRF,PL,1,NEG,PST	с,e,з,м,e,г,e,н,д,i,к
с,e,з,i,н,у,$,V,PROG,FRML,PL,2,NEG,PST	с,e,з,i,н,м,e,т,i,н,с,i,з,д,e,p
с,e,з,i,н,у,$,V,FRML,PL,2,NEG,PRS	с,e,з,i,н,e,м,e,й,д,i
с,e,з,i,н,у,$,V,PROG,PL,1,NEG,PRS	с,e,з,i,н,i,п, ,т,ұ,p,м,a,й,м,ы,з
с,e,з,i,н,у,$,V,FRML,IMP,PL,2,NEG	с,e,з,i,н,м,e,ң,i,з,д,e,p
с,e,з,i,н,у,$,V,SG,3,PRS	с,e,з,i,н,e,д,i
с,e,з,i,н,у,$,V,SG,3,NEG,PRS	с,e,з,i,н,e,м,e,й,д,i
с,e,з,i,н,у,$,V,PROG,FRML,SG,2,NEG,PRS	с,e,з,i,н,i,п, ,т,ұ,p,м,a,й,с,ы,з
с,e,з,i,н,у,$,V,PRF,FRML,SG,2,PST	с,e,з,г,e,н,с,i,з
с,e,з,i,н,у,$,V,PL,1,PRS	с,e,з,i,н,e,м,i,з
с,e,з,i,н,у,$,V,FRML,PL,2,PST	с,e,з,i,н,д,i,ң,i,з,д,e,p
с,e,з,i,н,у,$,V,PROG,SG,1,PST	с,e,з,i,н,e,т,i,н,м,i,н
с,e,з,i,н,у,$,V,PROG,PL,2,INFM,PRS	с,e,з,i,н,i,п, ,т,ұ,p,с,ы,ң,д,a,p
с,e,з,i,н,у,$,V,SG,1,PST	с,e,з,i,н,д,i,м
с,e,з,i,н,у,$,V,PL,3,NEG,PST	с,e,з,i,н,м,e,д,i
с,e,з,i,н,у,$,V,PROG,PL,1,PST	с,e,з,i,н,e,т,i,н,м,i,з
с,e,з,i,н,у,$,V,PL,2,INFM,PST	с,e,з,i,н,д,i,ң,д,e,p
с,e,з,i,н,у,$,V,PROG,FRML,PL,2,PRS	с,e,з,i,н,i,п, ,т,ұ,p,с,ы,з,д,a,p
с,e,з,i,н,у,$,V,PRF,SG,2,NEG,INFM,PST	с,e,з,м,e,г,e,н,д,ы,ң
с,e,з,i,н,у,$,V,PL,2,INFM,PRS	с,e,з,i,н,e,с,i,ң,д,e,p
с,e,з,i,н,у,$,V,SBJV,SG,2,INFM,FUT	с,e,з,e,p,с,i,ң
с,e,з,i,н,у,$,V,SG,1,NEG,PRS	с,e,з,i,н,e,м,e,й,м,i,н
с,e,з,i,н,у,$,V,SBJV,PL,1,FUT	с,e,з,e,p,м,i,з
с,e,з,i,н,у,$,V,PRF,SG,2,INFM,PST	с,e,з,г,e,н,с,i,ң
с,e,з,i,н,у,$,V,PROG,SG,1,NEG,PST	с,e,з,i,н,м,e,т,i,н,м,i,н
с,e,з,i,н,у,$,V,PROG,FRML,PL,2,NEG,PRS	с,e,з,i,н,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
с,e,з,i,н,у,$,V,PROG,PL,2,INFM,PST	с,e,з,i,н,e,т,i,н,с,i,ң,д,e,p
с,e,з,i,н,у,$,V,PROG,FRML,SG,2,PRS	с,e,з,i,н,i,п, ,т,ұ,p,с,ы,з
с,e,з,i,н,у,$,V,PRF,SG,3,NEG,PST	с,e,з,м,e,г,e,н,д,i
с,e,з,i,н,у,$,V,PROG,PL,2,NEG,INFM,PRS	с,e,з,i,н,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
с,e,з,i,н,у,$,V,PROG,PL,3,PST	с,e,з,i,н,e,т,i,н
с,e,з,i,н,у,$,V,IMP,PL,2,NEG,INFM	с,e,з,i,н,м,e,ң,д,e,p
с,e,з,i,н,у,$,V,PROG,SG,3,PRS	с,e,з,i,н,i,п, ,т,ұ,p
с,e,з,i,н,у,$,V,SBJV,SG,3,FUT	с,e,з,e,p
с,e,з,i,н,у,$,V,PL,2,NEG,INFM,PRS	с,e,з,i,н,e,м,e,й,с,i,з,д,e,p
с,e,з,i,н,у,$,V,PL,3,PST	с,e,з,i,н,д,i
с,e,з,i,н,у,$,V,PRF,PL,2,NEG,INFM,PST	с,e,з,м,e,г,e,н,д,ы,ң,д,e,p
с,e,з,i,н,у,$,V,PROG,PL,3,NEG,PST	с,e,з,i,н,м,e,т,i,н
с,e,з,i,н,у,$,V,SG,2,INFM,PST	с,e,з,i,н,д,i,ң
с,e,з,i,н,у,$,V,PROG,SG,1,PRS	с,e,з,i,н,i,п, ,т,ұ,p,м,ы,н
с,e,з,i,н,у,$,V,PROG,SG,2,INFM,PST	с,e,з,i,н,e,т,i,н,с,i,ң
с,e,з,i,н,у,$,V,PROG,FRML,SG,2,PST	с,e,з,i,н,e,т,i,н,с,i,з
с,e,з,i,н,у,$,V,PRF,PL,3,PST	с,e,з,г,e,н
с,e,з,i,н,у,$,V,PRF,SG,1,PST	с,e,з,г,e,н,м,i,н
с,e,з,i,н,у,$,V,PROG,SG,2,INFM,PRS	с,e,з,i,н,i,п, ,т,ұ,p,с,ы,ң
с,e,з,i,н,у,$,V,IMP,SG,2,INFM	с,e,з,i,н
с,e,з,i,н,у,$,V,PL,1,NEG,PST	с,e,з,i,н,м,e,д,i,к
с,e,з,i,н,у,$,V,SBJV,PL,2,INFM,FUT	с,e,з,e,p,с,i,ң,д,e,p
с,e,з,i,н,у,$,V,PROG,FRML,PL,2,PST	с,e,з,i,н,e,т,i,н,с,i,з,д,e,p
с,e,з,i,н,у,$,V,PRF,PL,2,INFM,PST	с,e,з,г,e,н,с,i,ң,д,e,p
с,e,з,i,н,у,$,V,FRML,IMP,PL,2	с,e,з,i,н,i,ң,i,з,д,e,p
с,e,з,i,н,у,$,V,FRML,IMP,SG,2	с,e,з,i,н,i,ң,i,з
с,e,з,i,н,у,$,V,IMP,SG,2,NEG,INFM	с,e,з,i,н,м,e
с,e,з,i,н,у,$,V,PROG,SG,3,NEG,PRS	с,e,з,i,н,i,п, ,т,ұ,p,м,a,й
с,e,з,i,н,у,$,V,PROG,PL,2,NEG,INFM,PST	с,e,з,i,н,м,e,т,i,н,с,i,ң,д,e,p
с,e,з,i,н,у,$,V,SG,2,NEG,INFM,PRS	с,e,з,i,н,e,м,e,й,с,i,ң
с,e,з,i,н,у,$,V,SG,2,NEG,INFM,PST	с,e,з,i,н,м,e,д,ы,ң
с,e,з,i,н,у,$,V,PROG,FRML,SG,2,NEG,PST	с,e,з,i,н,м,e,т,i,н,с,i,з
с,e,з,i,н,у,$,V,FRML,SG,2,PRS	с,e,з,i,н,e,с,i,з
с,e,з,i,н,у,$,V,PROG,SG,3,NEG,PST	с,e,з,i,н,м,e,т,i,н
с,e,з,i,н,у,$,V,IMP,PL,2,INFM	с,e,з,i,н,i,ң,д,e,p
с,e,з,i,н,у,$,V,FRML,SG,2,PST	с,e,з,i,н,д,i,ң,i,з
с,e,з,i,н,у,$,V,SG,2,INFM,PRS	с,e,з,i,н,e,с,i,ң
с,e,з,i,н,у,$,V,SBJV,SG,1,FUT	с,e,з,e,p,м,i,н
с,e,з,i,н,у,$,V,PRF,PL,3,NEG,PST	с,e,з,м,e,г,e,н,д,i
с,e,з,i,н,у,$,V,PL,3,PRS	с,e,з,i,н,e,д,i
с,e,з,i,н,у,$,V,PL,3,NEG,PRS	с,e,з,i,н,e,м,e,й,м,i,з
с,e,з,i,н,у,$,V,PROG,PL,3,NEG,PRS	с,e,з,i,н,i,п, ,т,ұ,p,м,a,й
с,e,з,i,н,у,$,V,SG,1,NEG,PST	с,e,з,i,н,м,e,д,i,м
с,e,з,i,н,у,$,V,SG,3,NEG,PST	с,e,з,i,н,м,e,д,i
с,e,з,i,н,у,$,V,FRML,PL,2,PRS	с,e,з,i,н,e,с,i,з,д,e,p
с,e,з,i,н,у,$,V,PROG,PL,3,PRS	с,e,з,i,н,i,п, ,т,ұ,p
с,e,з,i,н,у,$,V,FRML,SBJV,SG,2,FUT	с,e,з,e,p,с,i,з
с,e,з,i,н,у,$,V,PRF,FRML,PL,2,NEG,PST	с,e,з,м,e,г,e,н,д,ы,ң,i,з,д,e,p
с,e,з,i,н,у,$,V,FRML,PL,2,NEG,PST	с,e,з,i,н,м,e,д,ы,ң,i,з,д,e,p
с,e,з,i,н,у,$,V,PRF,PL,1,PST	с,e,з,г,e,н,м,i,з
с,e,з,i,н,у,$,V,SG,3,PST	с,e,з,i,н,д,i
с,e,з,i,н,у,$,V,PROG,SG,1,NEG,PRS	с,e,з,i,н,i,п, ,т,ұ,p,м,a,й,м,ы,н
с,e,з,i,н,у,$,V,PROG,SG,3,PST	с,e,з,i,н,e,т,i,н
e,с,к,e,p,т,у,$,COPY	e,с,к,e,p,т,у
e,с,к,e,p,т,у,$,V,PRF,PL,2,NEG,INFM,PST	e,с,к,e,p,т,п,e,г,e,н,д,ы,ң,д,e,p
e,с,к,e,p,т,у,$,V,PL,3,NEG,PST	e,с,к,e,p,т,п,e,д,i
e,с,к,e,p,т,у,$,V,FRML,SG,2,NEG,PST	e,с,к,e,p,т,п,e,д,ы,ң,i,з
e,с,к,e,p,т,у,$,V,PRF,SG,3,NEG,PST	e,с,к,e,p,т,п,e,г,e,н,д,i
e,с,к,e,p,т,у,$,V,SG,2,INFM,PST	e,с,к,e,p,т,т,i,ң
e,с,к,e,p,т,у,$,V,FRML,SBJV,PL,2,FUT	e,с,к,e,p,т,e,p,с,i,з,д,e,p
e,с,к,e,p,т,у,$,V,PROG,PL,2,INFM,PST	e,с,к,e,p,т,e,т,i,н,с,i,ң,д,e,p
e,с,к,e,p,т,у,$,V,PROG,PL,2,INFM,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p
e,с,к,e,p,т,у,$,V,FRML,PL,2,NEG,PST	e,с,к,e,p,т,п,e,д,ы,ң,i,з,д,e,p
e,с,к,e,p,т,у,$,V,FRML,SG,2,PRS	e,с,к,e,p,т,e,с,i,з
e,с,к,e,p,т,у,$,V,PL,3,PST	e,с,к,e,p,т,т,i
e,с,к,e,p,т,у,$,V,SBJV,SG,3,FUT	e,с,к,e,p,т,e,p
e,с,к,e,p,т,у,$,V,PRF,PL,1,NEG,PST	e,с,к,e,p,т,п,e,г,e,н,д,i,к
e,с,к,e,p,т,у,$,V,PL,1,NEG,PST	e,с,к,e,p,т,п,e,д,i,к
e,с,к,e,p,т,у,$,V,IMP,PL,2,NEG,INFM	e,с,к,e,p,т,п,e,ң,д,e,p
e,с,к,e,p,т,у,$,V,PROG,PL,3,PST	e,с,к,e,p,т,e,т,i,н
e,с,к,e,p,т,у,$,V,FRML,PL,2,PRS	e,с,к,e,p,т,e,с,i,з,д,e,p
e,с,к,e,p,т,у,$,V,PROG,SG,2,NEG,INFM,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң
e,с,к,e,p,т,у,$,V,PROG,PL,1,NEG,PST	e,с,к,e,p,т,п,e,т,i,н,м,i,з
e,с,к,e,p,т,у,$,V,SG,2,NEG,INFM,PRS	e,с,к,e,p,т,e,м,e,й,с,i,ң
e,с,к,e,p,т,у,$,V,PRF,PL,3,NEG,PST	e,с,к,e,p,т,п,e,г,e,н,д,i
e,с,к,e,p,т,у,$,V,PROG,SG,1,NEG,PST	e,с,к,e,p,т,п,e,т,i,н,м,i,н
e,с,к,e,p,т,у,$,V,SG,3,PRS	e,с,к,e,p,т,e,д,i
e,с,к,e,p,т,у,$,V,PRF,SG,3,PST	e,с,к,e,p,т,к,e,н
e,с,к,e,p,т,у,$,V,PROG,PL,1,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,ы,з
e,с,к,e,p,т,у,$,V,PL,2,NEG,INFM,PST	e,с,к,e,p,т,п,e,д,ы,ң,д,e,p
e,с,к,e,p,т,у,$,V,SBJV,SG,2,INFM,FUT	e,с,к,e,p,т,e,p,с,i,ң
e,с,к,e,p,т,у,$,V,PROG,SG,1,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,ы,н
e,с,к,e,p,т,у,$,V,PROG,PL,3,NEG,PST	e,с,к,e,p,т,п,e,т,i,н
e,с,к,e,p,т,у,$,V,PL,3,PRS	e,с,к,e,p,т,e,д,i
e,с,к,e,p,т,у,$,V,PROG,SG,2,NEG,INFM,PST	e,с,к,e,p,т,п,e,т,i,н,с,i,ң
e,с,к,e,p,т,у,$,V,SBJV,PL,3,FUT	e,с,к,e,p,т,e,p
e,с,к,e,p,т,у,$,V,SG,2,NEG,INFM,PST	e,с,к,e,p,т,п,e,д,ы,ң
e,с,к,e,p,т,у,$,V,PROG,SG,3,PST	e,с,к,e,p,т,e,т,i,н
e,с,к,e,p,т,у,$,V,PROG,PL,1,NEG,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,a,й,м,ы,з
e,с,к,e,p,т,у,$,V,PRF,PL,2,INFM,PST	e,с,к,e,p,т,к,e,н,с,i,ң,д,e,p
e,с,к,e,p,т,у,$,V,PRF,SG,1,PST	e,с,к,e,p,т,к,e,н,м,i,н
e,с,к,e,p,т,у,$,V,PL,1,NEG,PRS	e,с,к,e,p,т,e,м,e,й,с,i,ң,д,e,p
e,с,к,e,p,т,у,$,V,PL,1,PRS	e,с,к,e,p,т,e,м,i,з
e,с,к,e,p,т,у,$,V,PROG,FRML,SG,2,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,с,ы,з
e,с,к,e,p,т,у,$,V,FRML,PL,2,PST	e,с,к,e,p,т,т,i,ң,i,з,д,e,p
e,с,к,e,p,т,у,$,V,PROG,SG,1,PST	e,с,к,e,p,т,e,т,i,н,м,i,н
e,с,к,e,p,т,у,$,V,SBJV,PL,1,FUT	e,с,к,e,p,т,e,p,м,i,з
e,с,к,e,p,т,у,$,V,PL,3,NEG,PRS	e,с,к,e,p,т,e,м,e,й,м,i,з
e,с,к,e,p,т,у,$,V,SG,1,PST	e,с,к,e,p,т,т,i,м
e,с,к,e,p,т,у,$,V,SG,3,NEG,PRS	e,с,к,e,p,т,e,м,e,й,д,i
e,с,к,e,p,т,у,$,V,PROG,SG,1,NEG,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,a,й,м,ы,н
e,с,к,e,p,т,у,$,V,PL,1,PST	e,с,к,e,p,т,т,i,к
e,с,к,e,p,т,у,$,V,PRF,SG,2,NEG,INFM,PST	e,с,к,e,p,т,п,e,г,e,н,д,ы,ң
e,с,к,e,p,т,у,$,V,PROG,FRML,PL,2,NEG,PST	e,с,к,e,p,т,п,e,т,i,н,с,i,з,д,e,p
e,с,к,e,p,т,у,$,V,PROG,PL,3,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p
e,с,к,e,p,т,у,$,V,PROG,FRML,PL,2,PST	e,с,к,e,p,т,e,т,i,н,с,i,з,д,e,p
e,с,к,e,p,т,у,$,V,PRF,FRML,SG,2,NEG,PST	e,с,к,e,p,т,п,e,г,e,н,д,ы,ң,i,з
e,с,к,e,p,т,у,$,V,PROG,PL,2,NEG,INFM,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,д,a,p
e,с,к,e,p,т,у,$,V,PRF,SG,1,NEG,PST	e,с,к,e,p,т,п,e,г,e,н,д,i,м
e,с,к,e,p,т,у,$,V,PROG,PL,3,NEG,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,a,й
e,с,к,e,p,т,у,$,V,PRF,FRML,PL,2,NEG,PST	e,с,к,e,p,т,п,e,г,e,н,д,ы,ң,i,з,д,e,p
e,с,к,e,p,т,у,$,V,PROG,PL,1,PST	e,с,к,e,p,т,e,т,i,н,м,i,з
e,с,к,e,p,т,у,$,V,SG,1,PRS	e,с,к,e,p,т,e,м,i,н
e,с,к,e,p,т,у,$,V,FRML,SBJV,SG,2,FUT	e,с,к,e,p,т,e,p,с,i,з
e,с,к,e,p,т,у,$,V,SBJV,PL,2,INFM,FUT	e,с,к,e,p,т,e,p,с,i,ң,д,e,p
e,с,к,e,p,т,у,$,V,PROG,SG,3,NEG,PST	e,с,к,e,p,т,п,e,т,i,н
e,с,к,e,p,т,у,$,V,PROG,SG,2,INFM,PST	e,с,к,e,p,т,e,т,i,н,с,i,ң
e,с,к,e,p,т,у,$,V,PROG,FRML,SG,2,NEG,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,a,й,с,ы,з
e,с,к,e,p,т,у,$,V,FRML,SG,2,PST	e,с,к,e,p,т,т,i,ң,i,з
e,с,к,e,p,т,у,$,V,PRF,PL,1,PST	e,с,к,e,p,т,к,e,н,м,i,з
e,с,к,e,p,т,у,$,V,PRF,FRML,PL,2,PST	e,с,к,e,p,т,к,e,н,с,i,з,д,e,p
e,с,к,e,p,т,у,$,V,IMP,SG,2,INFM	e,с,к,e,p,т
e,с,к,e,p,т,у,$,V,FRML,IMP,SG,2,NEG	e,с,к,e,p,т,п,e,ң,i,з
e,с,к,e,p,т,у,$,V,PRF,FRML,SG,2,PST	e,с,к,e,p,т,к,e,н,с,i,з
e,с,к,e,p,т,у,$,V,PRF,SG,2,INFM,PST	e,с,к,e,p,т,к,e,н,с,i,ң
e,с,к,e,p,т,у,$,V,FRML,IMP,PL,2,NEG	e,с,к,e,p,т,п,e,ң,i,з,д,e,p
e,с,к,e,p,т,у,$,V,PROG,FRML,PL,2,NEG,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,a,й,с,ы,з,д,a,p
e,с,к,e,p,т,у,$,V,PROG,SG,2,INFM,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,с,ы,ң
e,с,к,e,p,т,у,$,V,IMP,PL,2,INFM	e,с,к,e,p,т,i,ң,д,e,p
e,с,к,e,p,т,у,$,V,FRML,PL,2,NEG,PRS	e,с,к,e,p,т,e,м,e,й,д,i
e,с,к,e,p,т,у,$,V,PL,2,NEG,INFM,PRS	e,с,к,e,p,т,e,м,e,й,с,i,з,д,e,p
e,с,к,e,p,т,у,$,V,SBJV,SG,1,FUT	e,с,к,e,p,т,e,p,м,i,н
e,с,к,e,p,т,у,$,V,PL,2,INFM,PRS	e,с,к,e,p,т,e,с,i,ң,д,e,p
e,с,к,e,p,т,у,$,V,PROG,FRML,SG,2,PST	e,с,к,e,p,т,e,т,i,н,с,i,з
e,с,к,e,p,т,у,$,V,PROG,FRML,SG,2,NEG,PST	e,с,к,e,p,т,п,e,т,i,н,с,i,з
e,с,к,e,p,т,у,$,V,SG,1,NEG,PST	e,с,к,e,p,т,п,e,д,i,м
e,с,к,e,p,т,у,$,V,PRF,PL,3,PST	e,с,к,e,p,т,к,e,н
e,с,к,e,p,т,у,$,V,PROG,FRML,PL,2,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,с,ы,з,д,a,p
e,с,к,e,p,т,у,$,V,PROG,PL,2,NEG,INFM,PST	e,с,к,e,p,т,п,e,т,i,н,с,i,ң,д,e,p
e,с,к,e,p,т,у,$,V,PL,2,INFM,PST	e,с,к,e,p,т,т,i,ң,д,e,p
e,с,к,e,p,т,у,$,V,FRML,IMP,SG,2	e,с,к,e,p,т,i,ң,i,з
e,с,к,e,p,т,у,$,V,SG,1,NEG,PRS	e,с,к,e,p,т,e,м,e,й,м,i,н
e,с,к,e,p,т,у,$,V,PROG,SG,3,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p
e,с,к,e,p,т,у,$,V,SG,3,PST	e,с,к,e,p,т,т,i
e,с,к,e,p,т,у,$,V,SG,3,NEG,PST	e,с,к,e,p,т,п,e,д,i
e,с,к,e,p,т,у,$,V,FRML,SG,2,NEG,PRS	e,с,к,e,p,т,e,м,e,й,с,i,з
e,с,к,e,p,т,у,$,V,PROG,SG,3,NEG,PRS	e,с,к,e,p,т,i,п, ,ж,a,т,ы,p,м,a,й
e,с,к,e,p,т,у,$,V,IMP,SG,2,NEG,INFM	e,с,к,e,p,т,п,e
e,с,к,e,p,т,у,$,V,SG,2,INFM,PRS	e,с,к,e,p,т,e,с,i,ң
e,с,к,e,p,т,у,$,V,FRML,IMP,PL,2	e,с,к,e,p,т,i,ң,i,з,д,e,p
a,й,ғ,a,й,л,a,у,$,COPY	a,й,ғ,a,й,л,a,у
a,й,ғ,a,й,л,a,у,$,V,SBJV,SG,1,FUT	a,й,ғ,a,й,л,a,p,м,ы,н
a,й,ғ,a,й,л,a,у,$,V,PROG,FRML,SG,2,NEG,PST	a,й,ғ,a,й,л,a,м,a,т,ы,н,с,ы,з
a,й,ғ,a,й,л,a,у,$,V,SG,2,NEG,INFM,PRS	a,й,ғ,a,й,л,a,й,м,a,й,с,ы,ң
a,й,ғ,a,й,л,a,у,$,V,PRF,SG,2,NEG,INFM,PST	a,й,ғ,a,й,л,a,м,a,ғ,a,н,д,ы,ң
a,й,ғ,a,й,л,a,у,$,V,FRML,PL,2,PRS	a,й,ғ,a,й,л,a,й,с,ы,з,д,a,p
a,й,ғ,a,й,л,a,у,$,V,IMP,SG,2,INFM	a,й,ғ,a,й,л,a
a,й,ғ,a,й,л,a,у,$,V,FRML,IMP,PL,2	a,й,ғ,a,й,л,a,ы,ң,ы,з,д,a,p
a,й,ғ,a,й,л,a,у,$,V,IMP,PL,2,NEG,INFM	a,й,ғ,a,й,л,a,м,a,ң,д,a,p
a,й,ғ,a,й,л,a,у,$,V,PL,3,NEG,PRS	a,й,ғ,a,й,л,a,й,м,a,й,м,ы,з
a,й,ғ,a,й,л,a,у,$,V,PROG,PL,3,NEG,PRS	a,й,ғ,a,й,л,a,п, ,т,ұ,p,м,a,й
a,й,ғ,a,й,л,a,у,$,V,IMP,PL,2,INFM	a,й,ғ,a,й,л,a,ы,ң,д,a,p
a,й,ғ,a,й,л,a,у,$,V,FRML,SG,2,PRS	a,й,ғ,a,й,л,a,й,с,ы,з
a,й,ғ,a,й,л,a,у,$,V,PRF,PL,3,NEG,PST	a,й,ғ,a,й,л,a,м,a,ғ,a,н,д,ы
a,й,ғ,a,й,л,a,у,$,V,PROG,SG,3,NEG,PRS	a,й,ғ,a,й,л,a,п, ,т,ұ,p,м,a,й
a,й,ғ,a,й,л,a,у,$,V,PROG,PL,1,PRS	a,й,ғ,a,й,л,a,п, ,т,ұ,p,м,ы,з
a,й,ғ,a,й,л,a,у,$,V,PROG,SG,2,NEG,INFM,PST	a,й,ғ,a,й,л,a,м,a,т,ы,н,с,ы,ң
a,й,ғ,a,й,л,a,у,$,V,PRF,SG,1,NEG,PST	a,й,ғ,a,й,л,a,м,a,ғ,a,н,д,ы,м
a,й,ғ,a,й,л,a,у,$,V,PROG,PL,1,PST	a,й,ғ,a,й,л,a,й,т,ы,н,м,ы,з
a,й,ғ,a,й,л,a,у,$,V,SG,1,PRS	a,й,ғ,a,й,л,a,й,м,ы,н
a,й,ғ,a,й,л,a,у,$,V,SBJV,PL,2,INFM,FUT	a,й,ғ,a,й,л,a,p,с,ы,ң,д,a,p
a,й,ғ,a,й,л,a,у,$,V,PRF,FRML,PL,2,NEG,PST	a,й,ғ,a,й,л,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
a,й,ғ,a,й,л,a,у,$,V,FRML,SBJV,SG,2,FUT	a,й,ғ,a,й,л,a,p,с,ы,з
a,й,ғ,a,й,л,a,у,$,V,PRF,SG,2,INFM,PST	a,й,ғ,a,й,л,a,ғ,a,н,с,ы,ң
a,й,ғ,a,й,л,a,у,$,V,SG,1,NEG,PST	a,й,ғ,a,й,л,a,м,a,д,ы,м
a,й,ғ,a,й,л,a,у,$,V,PL,1,PST	a,й,ғ,a,й,л,a,д,ы,қ
a,й,ғ,a,й,л,a,у,$,V,PROG,PL,1,NEG,PRS	a,й,ғ,a,й,л,a,п, ,т,ұ,p,м,a,й,м,ы,з
a,й,ғ,a,й,л,a,у,$,V,PRF,SG,3,NEG,PST	a,й,ғ,a,й,л,a,м,a,ғ,a,н,д,ы
a,й,ғ,a,й,л,a,у,$,V,PROG,PL,3,PRS	a,й,ғ,a,й,л,a,п, ,т,ұ,p
a,й,ғ,a,й,л,a,у,$,V,SG,2,INFM,PST	a,й,ғ,a,й,л,a,д,ы,ң
a,й,ғ,a,й,л,a,у,$,V,PROG,PL,3,NEG,PST	a,й,ғ,a,й,л,a,м,a,т,ы,н
a,й,ғ,a,й,л,a,у,$,V,SBJV,PL,1,FUT	a,й,ғ,a,й,л,a,p,м,ы,з
a,й,ғ,a,й,л,a,у,$,V,PL,2,INFM,PRS	a,й,ғ,a,й,л,a,й,с,ы,ң,д,a,p
a,й,ғ,a,й,л,a,у,$,V,FRML,SG,2,NEG,PST	a,й,ғ,a,й,л,a,м,a,д,ы,ң,ы,з
a,й,ғ,a,й,л,a,у,$,V,PROG,SG,1,PRS	a,й,ғ,a,й,л,a,п, ,т,ұ,p,м,ы,н
a,й,ғ,a,й,л,a,у,$,V,PROG,SG,2,NEG,INFM,PRS	a,й,ғ,a,й,л,a,п, ,т,ұ,p,м,a,й,с,ы,ң
a,й,ғ,a,й,л,a,у,$,V,PRF,PL,1,PST	a,й,ғ,a,й,л,a,ғ,a,н,м,ы,з
a,й,ғ,a,й,л,a,у,$,V,SG,3,PST	a,й,ғ,a,й,л,a,д,ы
a,й,ғ,a,й,л,a,у,$,V,PROG,SG,3,PST	a,й,ғ,a,й,л,a,й,т,ы,н
a,й,ғ,a,й,л,a,у,$,V,PROG,FRML,PL,2,PST	a,й,ғ,a,й,л,a,й,т,ы,н,с,ы,з,д,a,p
a,й,ғ,a,й,л,a,у,$,V,PROG,SG,2,INFM,PRS	a,й,ғ,a,й,л,a,п, ,т,ұ,p,с,ы,ң
a,й,ғ,a,й,л,a,у,$,V,FRML,SG,2,PST	a,й,ғ,a,й,л,a,д,ы,ң,ы,з
a,й,ғ,a,й,л,a,у,$,V,FRML,SG,2,NEG,PRS	a,й,ғ,a,й,л,a,й,м,a,й,с,ы,з
a,й,ғ,a,й,л,a,у,$,V,PRF,SG,3,PST	a,й,ғ,a,й,л,a,ғ,a,н
a,й,ғ,a,й,л,a,у,$,V,FRML,IMP,SG,2	a,й,ғ,a,й,л,a,ы,ң,ы,з
a,й,ғ,a,й,л,a,у,$,V,PL,2,INFM,PST	a,й,ғ,a,й,л,a,д,ы,ң,д,a,p
a,й,ғ,a,й,л,a,у,$,V,SG,3,PRS	a,й,ғ,a,й,л,a,й,д,ы
a,й,ғ,a,й,л,a,у,$,V,SG,2,INFM,PRS	a,й,ғ,a,й,л,a,й,с,ы,ң
