q,a,b,e,ż,$,V,IPFV,FIN,PL,2,PST	t,a,q,b,ż,u
r,a,$,V,FIN,IMP,PL,1	a,r,a,w
r,a,$,V,FIN,IMP,SG,2	a,r,a
r,a,$,V,PRF,FIN,SG,2,PST	r,a,j,t
r,a,$,V,IPFV,FIN,MASC,SG,3,PST	j,a,r,a
r,a,$,V,IPFV,FIN,SG,2,PST	t,a,r,a
r,a,$,V,PRF,FIN,MASC,SG,3,PST	r,a
r,a,$,V,PRF,FIN,PL,1,PST	r,a,j,n,a
r,a,$,V,PRF,FIN,SG,1,PST	r,a,j,t
r,a,$,V,PRF,FIN,PL,2,PST	r,a,j,t,u
r,a,$,V,IPFV,FIN,PL,1,PST	n,a,r,a,w
r,a,$,V,PRF,FIN,PL,3,PST	r,a,w
r,a,$,V,PRF,FIN,FEM,SG,3,PST	r,a,t
r,a,$,V,IPFV,FIN,PL,2,PST	t,a,r,a,w
f,e,h,e,m,$,V,PRF,FIN,SG,1,PST	f,h,i,m,t
f,e,h,e,m,$,V,FIN,IMP,SG,2	i,f,h,e,m
f,e,h,e,m,$,V,FIN,IMP,PL,1	i,f,h,m,u
f,e,h,e,m,$,V,PRF,FIN,PL,2,PST	f,h,i,m,t,u
f,e,h,e,m,$,V,PRF,FIN,FEM,SG,3,PST	f,e,h,m,e,t
f,e,h,e,m,$,V,IPFV,FIN,PL,3,PST	j,i,f,h,m,u
f,e,h,e,m,$,V,PRF,FIN,PL,1,PST	f,h,i,m,n,a
f,e,h,e,m,$,V,PRF,FIN,MASC,SG,3,PST	f,e,h,e,m
f,e,h,e,m,$,V,IPFV,FIN,SG,2,PST	t,i,f,h,e,m
f,e,h,e,m,$,V,IPFV,FIN,SG,1,PST	n,i,f,h,e,m
f,e,h,e,m,$,V,PRF,FIN,SG,2,PST	f,h,i,m,t
f,e,h,e,m,$,V,IPFV,FIN,FEM,SG,3,PST	t,i,f,h,e,m
f,e,h,e,m,$,V,IPFV,FIN,MASC,SG,3,PST	j,i,f,h,e,m
f,e,h,e,m,$,V,IPFV,FIN,PL,1,PST	n,i,f,h,m,u
f,e,h,e,m,$,V,IPFV,FIN,PL,2,PST	t,i,f,h,m,u
f,e,h,e,m,$,V,PRF,FIN,PL,3,PST	f,e,h,m,u
q,a,l,$,V,IPFV,FIN,PL,2,PST	t,g,ħ,i,d,u
q,a,l,$,V,FIN,IMP,PL,1	g,ħ,i,d,u
q,a,l,$,V,IPFV,FIN,PL,3,PST	j,g,ħ,i,d,u
q,a,l,$,V,IPFV,FIN,SG,2,PST	t,g,ħ,i,d
q,a,l,$,V,IPFV,FIN,MASC,SG,3,PST	j,g,ħ,i,d
q,a,l,$,V,IPFV,FIN,PL,1,PST	n,g,ħ,i,d,u
q,a,l,$,V,PRF,FIN,PL,1,PST	g,ħ,e,d,n,a
q,a,l,$,V,PRF,FIN,FEM,SG,3,PST	q,a,l,e,t
q,a,l,$,V,PRF,FIN,PL,3,PST	q,a,l,u
q,a,l,$,V,PRF,FIN,SG,2,PST	g,ħ,e,d,t
q,a,l,$,V,IPFV,FIN,FEM,SG,3,PST	t,g,ħ,i,d
q,a,l,$,V,PRF,FIN,PL,2,PST	g,ħ,e,d,t,u
q,a,l,$,V,PRF,FIN,SG,1,PST	g,ħ,e,d,t
q,a,l,$,V,FIN,IMP,SG,2	g,ħ,i,d
q,a,l,$,V,IPFV,FIN,SG,1,PST	n,g,ħ,i,d
q,a,l,$,V,PRF,FIN,MASC,SG,3,PST	q,a,l
