হ,ও,য,়,া,$,V,PROG,3,INFM,PRS	হ,চ,্,ছ,ো
আ,চ,র,ণ, ,ক,র,া,$,V,HAB,2,POL,PST	আ,চ,র,ণ, ,ক,র,ত,ো
আ,চ,র,ণ, ,ক,র,া,$,V,2,POL,PST	আ,চ,র,ণ, ,ক,র,ল,ো
আ,চ,র,ণ, ,ক,র,া,$,V,PROG,3,INFM,PST	আ,চ,র,ণ, ,ক,র,ছ,ি,ল,ে
আ,চ,র,ণ, ,ক,র,া,$,V,PROG,1,PRS	আ,চ,র,ণ, ,ক,র,ছ,ি
আ,চ,র,ণ, ,ক,র,া,$,V,NFIN	আ,চ,র,ণ, ,ক,র,ত,ে
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,2,POL,PST	আ,চ,র,ণ, ,ক,র,ে,ছ,ি,ল,ো
আ,চ,র,ণ, ,ক,র,া,$,V,1,FUT	আ,চ,র,ণ, ,ক,র,ব,ো
আ,চ,র,ণ, ,ক,র,া,$,V,3,POL,PST	আ,চ,র,ণ, ,ক,র,ল,ে,ন
আ,চ,র,ণ, ,ক,র,া,$,V,2,FUT,LGSPEC1	আ,চ,র,ণ, ,ক,র,ব,ি
আ,চ,র,ণ, ,ক,র,া,$,V,3,INFM,FUT	আ,চ,র,ণ, ,ক,র,ব,ে
আ,চ,র,ণ, ,ক,র,া,$,V,HAB,3,INFM,PST	আ,চ,র,ণ, ,ক,র,ত,ে
আ,চ,র,ণ, ,ক,র,া,$,V,HAB,1,PST	আ,চ,র,ণ, ,ক,র,ত,া,ম
আ,চ,র,ণ, ,ক,র,া,$,V,2,POL,FUT	আ,চ,র,ণ, ,ক,র,ব,ে
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,3,POL,PST	আ,চ,র,ণ, ,ক,র,ে,ছ,ি,ল,ে,ন
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,3,INFM,PRS	আ,চ,র,ণ, ,ক,র,ে,ছ,ো
আ,চ,র,ণ, ,ক,র,া,$,V,PROG,3,POL,PRS	আ,চ,র,ণ, ,ক,র,ছ,ে,ন
আ,চ,র,ণ, ,ক,র,া,$,V,PROG,3,POL,PST	আ,চ,র,ণ, ,ক,র,ছ,ি,ল,ে,ন
আ,চ,র,ণ, ,ক,র,া,$,V,HAB,3,POL,PST	আ,চ,র,ণ, ,ক,র,ত,ে,ন
আ,চ,র,ণ, ,ক,র,া,$,V,1,PRS	আ,চ,র,ণ, ,ক,র,ি
আ,চ,র,ণ, ,ক,র,া,$,V,1,PST	আ,চ,র,ণ, ,ক,র,ল,া,ম
আ,চ,র,ণ, ,ক,র,া,$,V,3,POL,FUT	আ,চ,র,ণ, ,ক,র,ব,ে,ন
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,3,POL,PRS	আ,চ,র,ণ, ,ক,র,ে,ছ,ে,ন
আ,চ,র,ণ, ,ক,র,া,$,V,PROG,2,PRS,LGSPEC1	আ,চ,র,ণ, ,ক,র,ছ,ি,স
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,1,PRS	আ,চ,র,ণ, ,ক,র,ে,ছ,ি
আ,চ,র,ণ, ,ক,র,া,$,V,3,INFM,PRS	আ,চ,র,ণ, ,ক,র,ো
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,2,PST,LGSPEC1	আ,চ,র,ণ, ,ক,র,ে,ছ,ি,ল,ি
আ,চ,র,ণ, ,ক,র,া,$,V,2,PST,LGSPEC1	আ,চ,র,ণ, ,ক,র,ল,ি
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,1,PST	আ,চ,র,ণ, ,ক,র,ে,ছ,ি,ল,া,ম
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,2,PRS,LGSPEC1	আ,চ,র,ণ, ,ক,র,ে,ছ,ি,স
আ,চ,র,ণ, ,ক,র,া,$,V,HAB,2,PST,LGSPEC1	আ,চ,র,ণ, ,ক,র,ত,ি,স
আ,চ,র,ণ, ,ক,র,া,$,V,3,POL,PRS	আ,চ,র,ণ, ,ক,র,ে,ন
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,3,INFM,PST	আ,চ,র,ণ, ,ক,র,ে,ছ,ি,ল,ে
আ,চ,র,ণ, ,ক,র,া,$,V,PROG,3,INFM,PRS	আ,চ,র,ণ, ,ক,র,ছ,ো
আ,চ,র,ণ, ,ক,র,া,$,V,PRF,2,POL,PRS	আ,চ,র,ণ, ,ক,র,ে,ছ,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,2,FUT,LGSPEC1	ম,া,ল, ,ফ,ে,ল,ব,ি
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,3,INFM,PST	ম,া,ল, ,ফ,ে,ল,ে,ছ,ি,ল,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,2,POL,PRS	ম,া,ল, ,ফ,ে,ল,ে,ছ,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,3,INFM,FUT	ম,া,ল, ,ফ,ে,ল,ব,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,2,POL,PST	ম,া,ল, ,ফ,ে,ল,্,ল,ো
ম,া,ল, ,ফ,ে,ল,া,$,V,2,POL,FUT	ম,া,ল, ,ফ,ে,ল,ব,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,2,PST,LGSPEC1	ম,া,ল, ,ফ,ে,ল,ে,ছ,ি,ল,ি
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,2,POL,PRS	ম,া,ল, ,ফ,ে,ল,ছ,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,1,FUT	ম,া,ল, ,ফ,ে,ল,ব,ো
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,1,PST	ম,া,ল, ,ফ,ে,ল,ে,ছ,ি,ল,া,ম
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,2,POL,PST	ম,া,ল, ,ফ,ে,ল,ছ,ি,ল,ো
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,2,PRS,LGSPEC1	ম,া,ল, ,ফ,ে,ল,ে,ছ,ি,স
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,3,POL,PST	ম,া,ল, ,ফ,ে,ল,ে,ছ,ি,ল,ে,ন
ম,া,ল, ,ফ,ে,ল,া,$,V,HAB,2,PST,LGSPEC1	ম,া,ল, ,ফ,ে,ল,ত,ি,স
ম,া,ল, ,ফ,ে,ল,া,$,V,2,PST,LGSPEC1	ম,া,ল, ,ফ,ে,ল,্,ল,ি
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,3,INFM,PRS	ম,া,ল, ,ফ,ে,ল,ছ,ো
ম,া,ল, ,ফ,ে,ল,া,$,V,HAB,3,POL,PST	ম,া,ল, ,ফ,ে,ল,ত,ে,ন
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,3,INFM,PRS	ম,া,ল, ,ফ,ে,ল,ে,ছ,ো
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,1,PST	ম,া,ল, ,ফ,ে,ল,ছ,ি,ল,া,ম
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,3,POL,PRS	ম,া,ল, ,ফ,ে,ল,ছ,ে,ন
ম,া,ল, ,ফ,ে,ল,া,$,V,2,POL,PRS	ম,া,ল, ,ফ,ে,ল,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,2,PRS,LGSPEC1	ম,া,ল, ,ফ,ে,ল,ি,স
ম,া,ল, ,ফ,ে,ল,া,$,V,3,INFM,PST	ম,া,ল, ,ফ,ে,ল,্,ল,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,1,PST	ম,া,ল, ,ফ,ে,ল,্,ল,া,ম
ম,া,ল, ,ফ,ে,ল,া,$,V,HAB,1,PST	ম,া,ল, ,ফ,ে,ল,ত,া,ম
ম,া,ল, ,ফ,ে,ল,া,$,V,NFIN	ম,া,ল, ,ফ,ে,ল,ত,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,3,POL,FUT	ম,া,ল, ,ফ,ে,ল,ব,ে,ন
ম,া,ল, ,ফ,ে,ল,া,$,V,1,PRS	ম,া,ল, ,ফ,ে,ল,ি
ম,া,ল, ,ফ,ে,ল,া,$,V,HAB,2,POL,PST	ম,া,ল, ,ফ,ে,ল,ত,ো
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,2,POL,PST	ম,া,ল, ,ফ,ে,ল,ে,ছ,ি,ল,ো
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,3,POL,PST	ম,া,ল, ,ফ,ে,ল,ছ,ি,ল,ে,ন
ম,া,ল, ,ফ,ে,ল,া,$,V,3,INFM,PRS	ম,া,ল, ,ফ,ে,ল,ো
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,2,PST,LGSPEC1	ম,া,ল, ,ফ,ে,ল,ছ,ি,ল,ি
ম,া,ল, ,ফ,ে,ল,া,$,V,HAB,3,INFM,PST	ম,া,ল, ,ফ,ে,ল,ত,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,2,PRS,LGSPEC1	ম,া,ল, ,ফ,ে,ল,ছ,ি,স
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,1,PRS	ম,া,ল, ,ফ,ে,ল,ছ,ি
ম,া,ল, ,ফ,ে,ল,া,$,V,3,POL,PRS	ম,া,ল, ,ফ,ে,ল,ে,ন
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,1,PRS	ম,া,ল, ,ফ,ে,ল,ে,ছ,ি
ম,া,ল, ,ফ,ে,ল,া,$,V,3,POL,PST	ম,া,ল, ,ফ,ে,ল,্,ল,ে,ন
ম,া,ল, ,ফ,ে,ল,া,$,V,PROG,3,INFM,PST	ম,া,ল, ,ফ,ে,ল,ছ,ি,ল,ে
ম,া,ল, ,ফ,ে,ল,া,$,V,PRF,3,POL,PRS	ম,া,ল, ,ফ,ে,ল,ে,ছ,ে,ন
ব,ন,্,ধ,ু,$,N,ACC,DEF,SG	ব,ন,্,ধ,ু,ট,া,ক,ে
ব,ন,্,ধ,ু,$,N,GEN,DEF,SG	ব,ন,্,ধ,ু,ট,া,র
ব,ন,্,ধ,ু,$,N,ACC,NDEF	ব,ন,্,ধ,ু
ব,ন,্,ধ,ু,$,N,NOM,NDEF	ব,ন,্,ধ,ু
ব,ন,্,ধ,ু,$,N,GEN,NDEF	ব,ন,্,ধ,ু,র
ব,ন,্,ধ,ু,$,N,ACC,DEF,PL	ব,ন,্,ধ,ু,দ,ে,র,ক,ে
ব,ন,্,ধ,ু,$,N,NOM,DEF,PL	ব,ন,্,ধ,ু,র,া
ব,ন,্,ধ,ু,$,N,GEN,DEF,PL	ব,ন,্,ধ,ু,দ,ে,র
ব,ন,্,ধ,ু,$,N,NOM,DEF,SG	ব,ন,্,ধ,ু,ট,া
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,2,PRS,LGSPEC1	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ি,স
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,2,PST,LGSPEC1	ব,ি,শ,ে,ষ, ,ক,র,ছ,ি,ল,ি
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,3,INFM,PST	ব,ি,শ,ে,ষ, ,ক,র,ল,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,3,POL,PRS	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ে,ন
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,1,PST	ব,ি,শ,ে,ষ, ,ক,র,ল,া,ম
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,3,POL,PST	ব,ি,শ,ে,ষ, ,ক,র,ছ,ি,ল,ে,ন
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,1,PRS	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ি
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,1,PST	ব,ি,শ,ে,ষ, ,ক,র,ছ,ি,ল,া,ম
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,2,POL,PRS	ব,ি,শ,ে,ষ, ,ক,র,ছ,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,HAB,1,PST	ব,ি,শ,ে,ষ, ,ক,র,ত,া,ম
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,1,PST	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ি,ল,া,ম
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,HAB,3,POL,PST	ব,ি,শ,ে,ষ, ,ক,র,ত,ে,ন
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,3,INFM,PRS	ব,ি,শ,ে,ষ, ,ক,র,ো
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,2,PRS,LGSPEC1	ব,ি,শ,ে,ষ, ,ক,র,ছ,ি,স
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,3,POL,PST	ব,ি,শ,ে,ষ, ,ক,র,ল,ে,ন
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,2,FUT,LGSPEC1	ব,ি,শ,ে,ষ, ,ক,র,ব,ি
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,3,POL,PRS	ব,ি,শ,ে,ষ, ,ক,র,ছ,ে,ন
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,3,POL,PST	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ি,ল,ে,ন
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,2,POL,PRS	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,3,INFM,PST	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ি,ল,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,HAB,2,POL,PST	ব,ি,শ,ে,ষ, ,ক,র,ত,ো
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,HAB,2,PST,LGSPEC1	ব,ি,শ,ে,ষ, ,ক,র,ত,ি,স
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,HAB,3,INFM,PST	ব,ি,শ,ে,ষ, ,ক,র,ত,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,2,POL,PST	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ি,ল,ো
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,2,POL,PRS	ব,ি,শ,ে,ষ, ,ক,র,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,3,POL,FUT	ব,ি,শ,ে,ষ, ,ক,র,ব,ে,ন
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,NFIN	ব,ি,শ,ে,ষ, ,ক,র,ত,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,2,PST,LGSPEC1	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ি,ল,ি
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,2,POL,FUT	ব,ি,শ,ে,ষ, ,ক,র,ব,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,1,FUT	ব,ি,শ,ে,ষ, ,ক,র,ব,ো
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,2,POL,PST	ব,ি,শ,ে,ষ, ,ক,র,ল,ো
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,2,PRS,LGSPEC1	ব,ি,শ,ে,ষ, ,ক,র,ি,স
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,1,PRS	ব,ি,শ,ে,ষ, ,ক,র,ি
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,3,INFM,FUT	ব,ি,শ,ে,ষ, ,ক,র,ব,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,3,POL,PRS	ব,ি,শ,ে,ষ, ,ক,র,ে,ন
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PRF,3,INFM,PRS	ব,ি,শ,ে,ষ, ,ক,র,ে,ছ,ো
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,2,PST,LGSPEC1	ব,ি,শ,ে,ষ, ,ক,র,ল,ি
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,3,INFM,PRS	ব,ি,শ,ে,ষ, ,ক,র,ছ,ো
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,2,POL,PST	ব,ি,শ,ে,ষ, ,ক,র,ছ,ি,ল,ো
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,3,INFM,PST	ব,ি,শ,ে,ষ, ,ক,র,ছ,ি,ল,ে
ব,ি,শ,ে,ষ, ,ক,র,া,$,V,PROG,1,PRS	ব,ি,শ,ে,ষ, ,ক,র,ছ,ি
গ,া,ও,য,়,া,$,V,PRF,2,PST,LGSPEC1	গ,ে,য,়,ে,ছ,ি,ল,ি
গ,া,ও,য,়,া,$,V,PROG,2,POL,PRS	গ,া,চ,্,ছ,ে
গ,া,ও,য,়,া,$,V,1,FUT	গ,া,ব,ো
গ,া,ও,য,়,া,$,V,PROG,3,INFM,PST	গ,া,চ,্,ছ,ি,ল,ে
গ,া,ও,য,়,া,$,V,3,POL,PRS	গ,া,ন
গ,া,ও,য,়,া,$,V,3,POL,PST	গ,ে,ল,ে,ন
গ,া,ও,য,়,া,$,V,PRF,2,POL,PST	গ,ে,য,়,ে,ছ,ি,ল,ো
গ,া,ও,য,়,া,$,V,HAB,2,POL,PST	গ,ে,ত,ো
গ,া,ও,য,়,া,$,V,HAB,2,PST,LGSPEC1	গ,ে,ত,ি,স
গ,া,ও,য,়,া,$,V,3,INFM,FUT	গ,া,ব,ে
গ,া,ও,য,়,া,$,V,PRF,3,POL,PST	গ,ে,য,়,ে,ছ,ি,ল,ে,ন
গ,া,ও,য,়,া,$,V,PROG,2,POL,PST	গ,া,চ,্,ছ,ি,ল,ো
গ,া,ও,য,়,া,$,V,PRF,3,INFM,PRS	গ,ে,য,়,ে,ছ,ো
গ,া,ও,য,়,া,$,V,NFIN	গ,ে,ত,ে
গ,া,ও,য,়,া,$,V,PRF,2,POL,PRS	গ,ে,য,়,ে,ছ,ে
গ,া,ও,য,়,া,$,V,2,POL,FUT	গ,া,ব,ে
গ,া,ও,য,়,া,$,V,2,FUT,LGSPEC1	গ,া,ব,ি
গ,া,ও,য,়,া,$,V,PROG,3,POL,PRS	গ,া,চ,্,ছ,ে,ন
গ,া,ও,য,়,া,$,V,PROG,2,PRS,LGSPEC1	গ,া,চ,্,ছ,ি,স
গ,া,ও,য,়,া,$,V,PRF,2,PRS,LGSPEC1	গ,ে,য,়,ে,ছ,ি,স
গ,া,ও,য,়,া,$,V,HAB,1,PST	গ,ে,ত,া,ম
গ,া,ও,য,়,া,$,V,1,PRS	গ,া,ই
গ,া,ও,য,়,া,$,V,2,POL,PST	গ,ে,ল,ো
গ,া,ও,য,়,া,$,V,PROG,3,POL,PST	গ,া,চ,্,ছ,ি,ল,ে,ন
গ,া,ও,য,়,া,$,V,PROG,1,PRS	গ,া,চ,্,ছ,ি
গ,া,ও,য,়,া,$,V,PRF,3,POL,PRS	গ,ে,য,়,ে,ছ,ে,ন
গ,া,ও,য,়,া,$,V,HAB,3,INFM,PST	গ,ে,ত,ে
গ,া,ও,য,়,া,$,V,PROG,2,PST,LGSPEC1	গ,া,চ,্,ছ,ি,ল,ি
গ,া,ও,য,়,া,$,V,PROG,1,PST	গ,া,চ,্,ছ,ি,ল,া,ম
গ,া,ও,য,়,া,$,V,3,INFM,PST	গ,ে,ল,ে
গ,া,ও,য,়,া,$,V,HAB,3,POL,PST	গ,ে,ত,ে,ন
গ,া,ও,য,়,া,$,V,2,PST,LGSPEC1	গ,ে,ল,ি
গ,া,ও,য,়,া,$,V,PRF,1,PRS	গ,ে,য,়,ে,ছ,ি
গ,া,ও,য,়,া,$,V,3,POL,FUT	গ,া,ব,ে,ন
গ,া,ও,য,়,া,$,V,3,INFM,PRS	গ,া,ও
গ,া,ও,য,়,া,$,V,PRF,3,INFM,PST	গ,ে,য,়,ে,ছ,ি,ল,ে
গ,া,ও,য,়,া,$,V,PRF,1,PST	গ,ে,য,়,ে,ছ,ি,ল,া,ম
গ,া,ও,য,়,া,$,V,1,PST	গ,ে,ল,া,ম
গ,া,ও,য,়,া,$,V,2,POL,PRS	গ,া,য,়
গ,া,ও,য,়,া,$,V,PROG,3,INFM,PRS	গ,া,চ,্,ছ,ো
গ,া,ও,য,়,া,$,V,2,PRS,LGSPEC1	গ,া,স
ম,ন,ে, ,র,া,খ,া,$,V,3,POL,PST	ম,ন,ে, ,র,া,খ,ল,ে,ন
ম,ন,ে, ,র,া,খ,া,$,V,2,PRS,LGSPEC1	ম,ন,ে, ,র,া,খ,ি,স
ম,ন,ে, ,র,া,খ,া,$,V,PROG,2,POL,PRS	ম,ন,ে, ,র,া,খ,ছ,ে
ম,ন,ে, ,র,া,খ,া,$,V,2,PST,LGSPEC1	ম,ন,ে, ,র,া,খ,ল,ি
ম,ন,ে, ,র,া,খ,া,$,V,PROG,1,PST	ম,ন,ে, ,র,া,খ,ছ,ি,ল,া,ম
ম,ন,ে, ,র,া,খ,া,$,V,2,POL,PST	ম,ন,ে, ,র,া,খ,ল,ো
ম,ন,ে, ,র,া,খ,া,$,V,PROG,3,POL,PRS	ম,ন,ে, ,র,া,খ,ছ,ে,ন
ম,ন,ে, ,র,া,খ,া,$,V,3,POL,PRS	ম,ন,ে, ,র,া,খ,ে,ন
ম,ন,ে, ,র,া,খ,া,$,V,NFIN	ম,ন,ে, ,র,া,খ,ত,ে
ম,ন,ে, ,র,া,খ,া,$,V,2,FUT,LGSPEC1	ম,ন,ে, ,র,া,খ,ব,ি
ম,ন,ে, ,র,া,খ,া,$,V,PROG,1,PRS	ম,ন,ে, ,র,া,খ,ছ,ি
ম,ন,ে, ,র,া,খ,া,$,V,PROG,2,PRS,LGSPEC1	ম,ন,ে, ,র,া,খ,ছ,ি,স
ম,ন,ে, ,র,া,খ,া,$,V,PROG,3,INFM,PST	ম,ন,ে, ,র,া,খ,ছ,ি,ল,ে
ম,ন,ে, ,র,া,খ,া,$,V,1,FUT	ম,ন,ে, ,র,া,খ,ব,ো
ম,ন,ে, ,র,া,খ,া,$,V,HAB,3,POL,PST	ম,ন,ে, ,র,া,খ,ত,ে,ন
ম,ন,ে, ,র,া,খ,া,$,V,PROG,2,POL,PST	ম,ন,ে, ,র,া,খ,ছ,ি,ল,ো
ম,ন,ে, ,র,া,খ,া,$,V,3,INFM,PST	ম,ন,ে, ,র,া,খ,ল,ে
ম,ন,ে, ,র,া,খ,া,$,V,HAB,2,POL,PST	ম,ন,ে, ,র,া,খ,ত,ো
ম,ন,ে, ,র,া,খ,া,$,V,PROG,2,PST,LGSPEC1	ম,ন,ে, ,র,া,খ,ছ,ি,ল,ি
ম,ন,ে, ,র,া,খ,া,$,V,PRF,1,PRS	ম,ন,ে, ,র,ে,খ,ে,ছ,ি
ম,ন,ে, ,র,া,খ,া,$,V,PRF,3,INFM,PRS	ম,ন,ে, ,র,ে,খ,ে,ছ,ো
ম,ন,ে, ,র,া,খ,া,$,V,HAB,1,PST	ম,ন,ে, ,র,া,খ,ত,া,ম
ম,ন,ে, ,র,া,খ,া,$,V,PRF,3,INFM,PST	ম,ন,ে, ,র,ে,খ,ে,ছ,ি,ল,ে
ম,ন,ে, ,র,া,খ,া,$,V,3,INFM,PRS	ম,ন,ে, ,র,া,খ,ো
ম,ন,ে, ,র,া,খ,া,$,V,PRF,3,POL,PST	ম,ন,ে, ,র,ে,খ,ে,ছ,ি,ল,ে,ন
ম,ন,ে, ,র,া,খ,া,$,V,PROG,3,POL,PST	ম,ন,ে, ,র,া,খ,ছ,ি,ল,ে,ন
ম,ন,ে, ,র,া,খ,া,$,V,PRF,3,POL,PRS	ম,ন,ে, ,র,ে,খ,ে,ছ,ে,ন
ম,ন,ে, ,র,া,খ,া,$,V,2,POL,PRS	ম,ন,ে, ,র,া,খ,ে
ম,ন,ে, ,র,া,খ,া,$,V,HAB,2,PST,LGSPEC1	ম,ন,ে, ,র,া,খ,ত,ি,স
ম,ন,ে, ,র,া,খ,া,$,V,2,POL,FUT	ম,ন,ে, ,র,া,খ,ব,ে
ম,ন,ে, ,র,া,খ,া,$,V,PRF,1,PST	ম,ন,ে, ,র,ে,খ,ে,ছ,ি,ল,া,ম
ম,ন,ে, ,র,া,খ,া,$,V,PRF,2,POL,PST	ম,ন,ে, ,র,ে,খ,ে,ছ,ি,ল,ো
ম,ন,ে, ,র,া,খ,া,$,V,PRF,2,POL,PRS	ম,ন,ে, ,র,ে,খ,ে,ছ,ে
ম,ন,ে, ,র,া,খ,া,$,V,3,INFM,FUT	ম,ন,ে, ,র,া,খ,ব,ে
ম,ন,ে, ,র,া,খ,া,$,V,HAB,3,INFM,PST	ম,ন,ে, ,র,া,খ,ত,ে
ম,ন,ে, ,র,া,খ,া,$,V,1,PST	ম,ন,ে, ,র,া,খ,ল,া,ম
ম,ন,ে, ,র,া,খ,া,$,V,3,POL,FUT	ম,ন,ে, ,র,া,খ,ব,ে,ন
ম,ন,ে, ,র,া,খ,া,$,V,PROG,3,INFM,PRS	ম,ন,ে, ,র,া,খ,ছ,ো
ম,ন,ে, ,র,া,খ,া,$,V,PRF,2,PST,LGSPEC1	ম,ন,ে, ,র,ে,খ,ে,ছ,ি,ল,ি
ম,ন,ে, ,র,া,খ,া,$,V,PRF,2,PRS,LGSPEC1	ম,ন,ে, ,র,ে,খ,ে,ছ,ি,স
ম,ন,ে, ,র,া,খ,া,$,V,1,PRS	ম,ন,ে, ,র,া,খ,ি
ল,ে,খ,া,$,V,3,INFM,PST	ল,ি,খ,ল,ে
ল,ে,খ,া,$,V,1,PRS	ল,ি,খ,ি
ল,ে,খ,া,$,V,PROG,2,POL,PST	ল,ি,খ,ছ,ি,ল,ো
ল,ে,খ,া,$,V,PROG,2,POL,PRS	ল,ি,খ,ছ,ে
ল,ে,খ,া,$,V,3,INFM,FUT	ল,ি,খ,ব,ে
ল,ে,খ,া,$,V,PROG,1,PST	ল,ি,খ,ছ,ি,ল,া,ম
ল,ে,খ,া,$,V,3,POL,FUT	ল,ি,খ,ব,ে,ন
ল,ে,খ,া,$,V,PRF,3,INFM,PST	ল,ি,খ,ে,ছ,ি,ল,ে
ল,ে,খ,া,$,V,HAB,2,POL,PST	ল,ি,খ,ত,ো
ল,ে,খ,া,$,V,PRF,2,PRS,LGSPEC1	ল,ি,খ,ে,ছ,ি,স
ল,ে,খ,া,$,V,2,POL,PRS	ল,ে,খ,ে
ল,ে,খ,া,$,V,NFIN	ল,ি,খ,ত,ে
ল,ে,খ,া,$,V,PROG,3,POL,PRS	ল,ি,খ,ছ,ে,ন
ল,ে,খ,া,$,V,PRF,1,PRS	ল,ি,খ,ে,ছ,ি
ল,ে,খ,া,$,V,1,FUT	ল,ি,খ,ব,ো
ল,ে,খ,া,$,V,PROG,3,POL,PST	ল,ি,খ,ছ,ি,ল,ে,ন
ল,ে,খ,া,$,V,3,INFM,PRS	ল,ে,খ,ো
ল,ে,খ,া,$,V,PRF,2,POL,PST	ল,ি,খ,ে,ছ,ি,ল,ো
ল,ে,খ,া,$,V,PRF,3,INFM,PRS	ল,ি,খ,ে,ছ,ো
ল,ে,খ,া,$,V,2,PST,LGSPEC1	ল,ি,খ,ল,ি
ল,ে,খ,া,$,V,HAB,3,INFM,PST	ল,ি,খ,ত,ে
ল,ে,খ,া,$,V,2,POL,PST	ল,ি,খ,ল,ো
ল,ে,খ,া,$,V,PRF,1,PST	ল,ি,খ,ে,ছ,ি,ল,া,ম
ল,ে,খ,া,$,V,HAB,2,PST,LGSPEC1	ল,ি,খ,ত,ি,স
