l,i,a,$,COPY	l,i,a
z,a,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,z,a,a
z,a,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,z,a,a
z,a,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,z,a,a
z,a,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,z,a,a
z,a,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,z,a,a
z,a,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,z,a,a
z,a,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,z,a,a
z,a,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,z,a,a
z,a,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,z,a,a
z,a,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,z,a,a
z,a,a,$,V,FIN,IND,PL,2,FUT	m,t,a,z,a,a
z,a,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,z,a,a
z,a,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,z,a,a
z,a,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,z,a,a
z,a,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,z,a,a
z,a,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,z,a,a
z,a,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,z,a,a
z,a,a,$,V,FIN,IND,SG,2,PST	u,l,i,z,a,a
z,a,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,z,a,a
z,a,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,z,a,a
z,a,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,z,a,a
z,a,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,z,a,a
z,a,a,$,V,FIN,IND,SG,3,FUT	a,t,a,z,a,a
z,a,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,z,a,a
o,m,b,a,$,COPY	o,m,b,a
o,m,b,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,o,m,b,a
o,m,b,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,o,m,b,a
o,m,b,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,o,m,b,a
o,m,b,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,o,m,b,a
o,m,b,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,o,m,b,a
o,m,b,a,$,V,FIN,IND,PL,2,PST	m,l,i,o,m,b,a
o,m,b,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,o,m,b,a
o,m,b,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,o,m,b,a
o,m,b,a,$,V,FIN	k,u,o,m,b,a
o,m,b,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,o,m,b,a
o,m,b,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,o,m,b,a
o,m,b,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,o,m,b,a
o,m,b,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,o,m,b,a
o,m,b,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,o,m,b,a
o,m,b,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,o,m,b,a
o,m,b,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,o,m,b,a
o,m,b,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,o,m,b,a
o,m,b,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,o,m,b,a
o,m,b,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,o,m,b,a
o,m,b,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,o,m,b,a
o,m,b,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,o,m,b,a
o,m,b,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,o,m,b,a
o,m,b,a,$,V,FIN,IND,SG,2,FUT	u,t,a,o,m,b,a
o,m,b,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,o,m,b,a
o,m,b,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,o,m,b,a
o,m,b,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,o,m,b,a
o,m,b,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,o,m,b,a
o,m,b,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,o,m,b,a
o,m,b,a,$,V,FIN,IND,SG,2,PST	u,l,i,o,m,b,a
o,m,b,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,o,m,b,a
o,m,b,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,o,m,b,a
o,m,b,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,o,m,b,a
o,m,b,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,o,m,b,a
o,m,b,a,$,V,FIN,IND,PL,2,FUT	m,t,a,o,m,b,a
o,m,b,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,o,m,b,a
o,m,b,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,o,m,b,a
o,m,b,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,o,m,b,a
o,m,b,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,o,m,b,a
o,m,b,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,o,m,b,a
o,m,b,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,o,m,b,a
o,m,b,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,o,m,b,a
o,m,b,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,o,m,b,a
o,m,b,a,$,V,FIN,IND,SG,3,FUT	a,t,a,o,m,b,a
o,m,b,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,o,m,b,a
o,m,b,a,$,V,FIN,IND,SG,3,PST	a,l,i,o,m,b,a
o,m,b,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,o,m,b,a
o,m,b,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,o,m,b,a
o,m,b,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,o,m,b,a
o,m,b,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,o,m,b,a
l,a,m,b,a,$,COPY	l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,SG,2,PST	u,l,i,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,PL,2,PST	m,l,i,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,l,a,m,b,a
l,a,m,b,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,l,a,m,b,a
l,a,m,b,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,SG,2,FUT	u,t,a,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,SG,3,PST	a,l,i,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,l,a,m,b,a
l,a,m,b,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,l,a,m,b,a
l,a,m,b,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,l,a,m,b,a
l,a,m,b,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,l,a,m,b,a
l,a,m,b,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,PL,2,FUT	m,t,a,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,l,a,m,b,a
l,a,m,b,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,l,a,m,b,a
l,a,m,b,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,l,a,m,b,a
l,a,m,b,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,l,a,m,b,a
l,a,m,b,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,l,a,m,b,a
l,a,m,b,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,l,a,m,b,a
l,a,m,b,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,l,a,m,b,a
l,a,m,b,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,l,a,m,b,a
l,a,m,b,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,l,a,m,b,a
l,a,m,b,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,l,a,m,b,a
l,a,m,b,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,SG,3,FUT	a,t,a,l,a,m,b,a
l,a,m,b,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,l,a,m,b,a
l,a,m,b,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,l,a,m,b,a
l,a,m,b,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,l,a,m,b,a
l,a,m,b,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,l,a,m,b,a
l,a,m,b,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,l,a,m,b,a
l,a,m,b,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,l,a,m,b,a
l,a,m,b,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,l,a,m,b,a
l,a,m,b,a,$,V,FIN	k,u,l,a,m,b,a
l,a,m,b,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,l,a,m,b,a
l,a,m,b,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,l,a,m,b,a
l,a,m,b,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,l,a,m,b,a
c,h,u,k,u,a,$,COPY	c,h,u,k,u,a
c,h,u,k,u,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,SG,3,FUT	a,t,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,SG,2,FUT	u,t,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,c,h,u,k,u,a
c,h,u,k,u,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,SG,2,PST	u,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN	k,u,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,c,h,u,k,u,a
c,h,u,k,u,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,PL,2,FUT	m,t,a,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,SG,3,PST	a,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,c,h,u,k,u,a
c,h,u,k,u,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,c,h,u,k,u,a
c,h,u,k,u,a,$,V,FIN,IND,PL,2,PST	m,l,i,c,h,u,k,u,a
n,u,s,a,$,COPY	n,u,s,a
n,u,s,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,n,u,s,a
n,u,s,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,n,u,s,a
n,u,s,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,n,u,s,a
n,u,s,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,n,u,s,a
n,u,s,a,$,V,FIN,IND,PL,2,PST	m,l,i,n,u,s,a
n,u,s,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,n,u,s,a
n,u,s,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,n,u,s,a
n,u,s,a,$,V,FIN,IND,SG,3,PST	a,l,i,n,u,s,a
n,u,s,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,n,u,s,a
n,u,s,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,n,u,s,a
n,u,s,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,n,u,s,a
n,u,s,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,n,u,s,a
n,u,s,a,$,V,FIN,IND,SG,2,FUT	u,t,a,n,u,s,a
n,u,s,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,n,u,s,a
n,u,s,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,n,u,s,a
n,u,s,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,n,u,s,a
n,u,s,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,n,u,s,a
n,u,s,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,n,u,s,a
n,u,s,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,n,u,s,a
n,u,s,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,n,u,s,a
n,u,s,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,n,u,s,a
n,u,s,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,n,u,s,a
n,u,s,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,n,u,s,a
n,u,s,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,n,u,s,a
n,u,s,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,n,u,s,a
n,u,s,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,n,u,s,a
n,u,s,a,$,V,FIN,IND,SG,2,PST	u,l,i,n,u,s,a
n,u,s,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,n,u,s,a
n,u,s,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,n,u,s,a
n,u,s,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,n,u,s,a
n,u,s,a,$,V,FIN,IND,PL,2,FUT	m,t,a,n,u,s,a
n,u,s,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,n,u,s,a
n,u,s,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,n,u,s,a
n,u,s,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,n,u,s,a
n,u,s,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,n,u,s,a
n,u,s,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,n,u,s,a
n,u,s,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,n,u,s,a
n,u,s,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,n,u,s,a
n,u,s,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,n,u,s,a
n,u,s,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,n,u,s,a
n,u,s,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,n,u,s,a
n,u,s,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,n,u,s,a
n,u,s,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,n,u,s,a
n,u,s,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,n,u,s,a
n,u,s,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,n,u,s,a
n,u,s,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,n,u,s,a
n,u,s,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,n,u,s,a
n,u,s,a,$,V,FIN	k,u,n,u,s,a
n,u,s,a,$,V,FIN,IND,SG,3,FUT	a,t,a,n,u,s,a
i,n,u,a,$,COPY	i,n,u,a
i,n,u,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,i,n,u,a
i,n,u,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,i,n,u,a
i,n,u,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,i,n,u,a
i,n,u,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,i,n,u,a
i,n,u,a,$,V,FIN,IND,PL,2,PST	m,l,i,i,n,u,a
i,n,u,a,$,V,FIN,IND,SG,3,PST	a,l,i,i,n,u,a
i,n,u,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,i,n,u,a
i,n,u,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,i,n,u,a
i,n,u,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,i,n,u,a
i,n,u,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,i,n,u,a
i,n,u,a,$,V,FIN,IND,SG,2,PST	u,l,i,i,n,u,a
i,n,u,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,i,n,u,a
i,n,u,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,i,n,u,a
i,n,u,a,$,V,FIN,IND,SG,3,FUT	a,t,a,i,n,u,a
i,n,u,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,i,n,u,a
i,n,u,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,i,n,u,a
i,n,u,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,i,n,u,a
i,n,u,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,i,n,u,a
i,n,u,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,i,n,u,a
i,n,u,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,i,n,u,a
i,n,u,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,i,n,u,a
i,n,u,a,$,V,FIN,IND,PL,2,FUT	m,t,a,i,n,u,a
i,n,u,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,i,n,u,a
i,n,u,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,i,n,u,a
i,n,u,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,i,n,u,a
i,n,u,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,i,n,u,a
i,n,u,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,i,n,u,a
i,n,u,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,i,n,u,a
i,n,u,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,i,n,u,a
i,n,u,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,i,n,u,a
i,n,u,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,i,n,u,a
i,n,u,a,$,V,FIN,IND,SG,2,FUT	u,t,a,i,n,u,a
i,n,u,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,i,n,u,a
i,n,u,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,i,n,u,a
i,n,u,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,i,n,u,a
i,n,u,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,i,n,u,a
i,n,u,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,i,n,u,a
i,n,u,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,i,n,u,a
i,n,u,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,i,n,u,a
i,n,u,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,i,n,u,a
i,n,u,a,$,V,FIN	k,u,i,n,u,a
i,n,u,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,i,n,u,a
i,n,u,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,i,n,u,a
i,n,u,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,i,n,u,a
i,n,u,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,i,n,u,a
i,n,u,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,i,n,u,a
i,n,u,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,i,n,u,a
i,n,u,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,i,n,u,a
i,n,u,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,i,n,u,a
c,h,u,k,i,a,$,COPY	c,h,u,k,i,a
c,h,u,k,i,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,c,h,u,k,i,a
c,h,u,k,i,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,IND,SG,2,FUT	u,t,a,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,c,h,u,k,i,a
c,h,u,k,i,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,IND,SG,3,PST	a,l,i,c,h,u,k,i,a
c,h,u,k,i,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,c,h,u,k,i,a
c,h,u,k,i,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,IND,SG,2,PST	u,l,i,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,c,h,u,k,i,a
c,h,u,k,i,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,c,h,u,k,i,a
c,h,u,k,i,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,c,h,u,k,i,a
c,h,u,k,i,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,c,h,u,k,i,a
c,h,u,k,i,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,c,h,u,k,i,a
c,h,u,k,i,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,c,h,u,k,i,a
