হ,ও,য,়,া,$,COPY	হ,ও,য,়,া
ফ,ু,ল,$,N,NOM,NDEF	ফ,ু,ল
ফ,ু,ল,$,N,GEN,DEF,SG	ফ,ু,ল,ট,া,র
ফ,ু,ল,$,N,GEN,NDEF	ফ,ু,ল,ে,র
ফ,ু,ল,$,N,ACC,DEF,SG	ফ,ু,ল,ট,া
ফ,ু,ল,$,N,NOM,DEF,PL	ফ,ু,ল,গ,ু,ল,া
ফ,ু,ল,$,N,LOC,NDEF	ফ,ু,ল,ে
ফ,ু,ল,$,N,LOC,DEF,SG	ফ,ু,ল,ট,া,ত,ে
ফ,ু,ল,$,N,ACC,NDEF	ফ,ু,ল
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,COPY	ই,চ,্,ছ,া, ,হ,ও,য,়,া
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,HAB,2,PST,LGSPEC1	ই,চ,্,ছ,া, ,হ,ত,ি,স
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,1,PRS	ই,চ,্,ছ,া, ,হ,ই
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,3,POL,PRS	ই,চ,্,ছ,া, ,হ,ন
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,3,INFM,PRS	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ো
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,3,INFM,PRS	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ো
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,3,POL,PRS	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ে,ন
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,3,POL,PST	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ি,ল,ে,ন
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,2,PRS,LGSPEC1	ই,চ,্,ছ,া, ,হ,স
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,2,PST,LGSPEC1	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ি,ল,ি
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,3,INFM,PST	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ি,ল,ে
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,2,POL,PRS	ই,চ,্,ছ,া, ,হ,য,়
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,2,POL,FUT	ই,চ,্,ছ,া, ,হ,ব,ে
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,NFIN	ই,চ,্,ছ,া, ,হ,ত,ে
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,2,POL,PRS	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ে
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,3,INFM,PRS	ই,চ,্,ছ,া, ,হ,ও
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,HAB,3,POL,PST	ই,চ,্,ছ,া, ,হ,ত,ে,ন
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,3,POL,PST	ই,চ,্,ছ,া, ,হ,ল,ে,ন
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,HAB,3,INFM,PST	ই,চ,্,ছ,া, ,হ,ত,ে
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,2,PRS,LGSPEC1	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ি,স
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,2,POL,PST	ই,চ,্,ছ,া, ,হ,ল,ো
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,HAB,2,POL,PST	ই,চ,্,ছ,া, ,হ,ত,ো
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,3,POL,FUT	ই,চ,্,ছ,া, ,হ,ব,ে,ন
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,2,POL,PST	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ি,ল,ো
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,2,PST,LGSPEC1	ই,চ,্,ছ,া, ,হ,ল,ি
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,HAB,1,PST	ই,চ,্,ছ,া, ,হ,ত,া,ম
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,1,PST	ই,চ,্,ছ,া, ,হ,ল,া,ম
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,2,PST,LGSPEC1	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ি,ল,ি
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,3,POL,PRS	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ে,ন
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,3,INFM,PST	ই,চ,্,ছ,া, ,হ,ল,ে
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,1,PST	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ি,ল,া,ম
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,3,INFM,FUT	ই,চ,্,ছ,া, ,হ,ব,ে
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,1,PST	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ি,ল,া,ম
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,3,POL,PST	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ি,ল,ে,ন
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,2,POL,PRS	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ে
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,3,INFM,PST	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ি,ল,ে
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,1,PRS	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ি
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,2,PRS,LGSPEC1	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ি,স
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,2,FUT,LGSPEC1	ই,চ,্,ছ,া, ,হ,ব,ি
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PRF,2,POL,PST	ই,চ,্,ছ,া, ,হ,য,়,ে,ছ,ি,ল,ো
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,PROG,1,PRS	ই,চ,্,ছ,া, ,হ,চ,্,ছ,ি
ই,চ,্,ছ,া, ,হ,ও,য,়,া,$,V,1,FUT	ই,চ,্,ছ,া, ,হ,ব,ো
ও,ঠ,া,$,COPY	ও,ঠ,া
ও,ঠ,া,$,V,2,POL,PRS	ও,ঠ,ে
ও,ঠ,া,$,V,PRF,2,POL,PRS	উ,ঠ,ে,ছ,ে
ও,ঠ,া,$,V,PROG,3,INFM,PRS	উ,ঠ,ছ,ো
ও,ঠ,া,$,V,PROG,2,POL,PST	উ,ঠ,ছ,ি,ল,ো
ও,ঠ,া,$,V,PROG,1,PST	উ,ঠ,ছ,ি,ল,া,ম
ও,ঠ,া,$,V,3,POL,FUT	উ,ঠ,ব,ে,ন
ও,ঠ,া,$,V,HAB,2,POL,PST	উ,ঠ,ত,ো
ও,ঠ,া,$,V,PRF,2,POL,PST	উ,ঠ,ে,ছ,ি,ল,ো
ও,ঠ,া,$,V,HAB,3,INFM,PST	উ,ঠ,ত,ে
ও,ঠ,া,$,V,2,PRS,LGSPEC1	উ,ঠ,ি,স
ও,ঠ,া,$,V,HAB,2,PST,LGSPEC1	উ,ঠ,ত,ি,স
ও,ঠ,া,$,V,PRF,3,INFM,PST	উ,ঠ,ে,ছ,ি,ল,ে
ও,ঠ,া,$,V,PRF,3,POL,PST	উ,ঠ,ে,ছ,ি,ল,ে,ন
ও,ঠ,া,$,V,PROG,2,PRS,LGSPEC1	উ,ঠ,ছ,ি,স
ও,ঠ,া,$,V,PRF,1,PRS	উ,ঠ,ে,ছ,ি
ও,ঠ,া,$,V,PRF,2,PRS,LGSPEC1	উ,ঠ,ে,ছ,ি,স
ও,ঠ,া,$,V,1,PST	উ,ঠ,ল,া,ম
ও,ঠ,া,$,V,2,FUT,LGSPEC1	উ,ঠ,ব,ি
ও,ঠ,া,$,V,2,PST,LGSPEC1	উ,ঠ,ল,ি
ও,ঠ,া,$,V,HAB,3,POL,PST	উ,ঠ,ত,ে,ন
ও,ঠ,া,$,V,3,POL,PST	উ,ঠ,ল,ে,ন
ও,ঠ,া,$,V,PROG,2,POL,PRS	উ,ঠ,ছ,ে
ও,ঠ,া,$,V,PRF,3,INFM,PRS	উ,ঠ,ে,ছ,ো
ও,ঠ,া,$,V,3,POL,PRS	ও,ঠ,ে,ন
ও,ঠ,া,$,V,NFIN	উ,ঠ,ত,ে
ও,ঠ,া,$,V,PROG,2,PST,LGSPEC1	উ,ঠ,ছ,ি,ল,ি
ও,ঠ,া,$,V,3,INFM,FUT	উ,ঠ,ব,ে
ও,ঠ,া,$,V,1,FUT	উ,ঠ,ব,ো
ও,ঠ,া,$,V,PRF,1,PST	উ,ঠ,ে,ছ,ি,ল,া,ম
ও,ঠ,া,$,V,PROG,3,POL,PST	উ,ঠ,ছ,ি,ল,ে,ন
ও,ঠ,া,$,V,HAB,1,PST	উ,ঠ,ত,া,ম
ও,ঠ,া,$,V,PROG,3,POL,PRS	উ,ঠ,ছ,ে,ন
ও,ঠ,া,$,V,3,INFM,PST	উ,ঠ,ল,ে
ও,ঠ,া,$,V,PRF,2,PST,LGSPEC1	উ,ঠ,ে,ছ,ি,ল,ি
ও,ঠ,া,$,V,PRF,3,POL,PRS	উ,ঠ,ে,ছ,ে,ন
ও,ঠ,া,$,V,PROG,1,PRS	উ,ঠ,ছ,ি
ও,ঠ,া,$,V,1,PRS	উ,ঠ,ি
ও,ঠ,া,$,V,2,POL,FUT	উ,ঠ,ব,ে
ও,ঠ,া,$,V,PROG,3,INFM,PST	উ,ঠ,ছ,ি,ল,ে
ও,ঠ,া,$,V,2,POL,PST	উ,ঠ,ল,ো
ও,ঠ,া,$,V,3,INFM,PRS	ও,ঠ,ো
ক,া,ট,া,$,COPY	ক,া,ট,া
ক,া,ট,া,$,V,2,PRS,LGSPEC1	ক,া,ট,ি,স
ক,া,ট,া,$,V,HAB,2,POL,PST	ক,া,ট,ত,ো
ক,া,ট,া,$,V,PROG,1,PST	ক,া,ট,ছ,ি,ল,া,ম
ক,া,ট,া,$,V,HAB,3,INFM,PST	ক,া,ট,ত,ে
ক,া,ট,া,$,V,PRF,2,PRS,LGSPEC1	ক,ে,ট,ে,ছ,ি,স
ক,া,ট,া,$,V,NFIN	ক,া,ট,ত,ে
ক,া,ট,া,$,V,2,POL,PST	ক,া,ট,ল,ো
ক,া,ট,া,$,V,PROG,1,PRS	ক,া,ট,ছ,ি
ক,া,ট,া,$,V,PROG,2,POL,PRS	ক,া,ট,ছ,ে
ক,া,ট,া,$,V,PRF,3,POL,PRS	ক,ে,ট,ে,ছ,ে,ন
ক,া,ট,া,$,V,2,PST,LGSPEC1	ক,া,ট,ল,ি
ক,া,ট,া,$,V,PROG,2,PST,LGSPEC1	ক,া,ট,ছ,ি,ল,ি
ক,া,ট,া,$,V,PRF,2,POL,PRS	ক,ে,ট,ে,ছ,ে
ক,া,ট,া,$,V,HAB,3,POL,PST	ক,া,ট,ত,ে,ন
ক,া,ট,া,$,V,3,POL,PRS	ক,া,ট,ে,ন
ক,া,ট,া,$,V,2,POL,FUT	ক,া,ট,ব,ে
ক,া,ট,া,$,V,PRF,3,INFM,PST	ক,ে,ট,ে,ছ,ি,ল,ে
ক,া,ট,া,$,V,PRF,3,INFM,PRS	ক,ে,ট,ে,ছ,ো
ক,া,ট,া,$,V,PROG,3,POL,PRS	ক,া,ট,ছ,ে,ন
ক,া,ট,া,$,V,PROG,2,PRS,LGSPEC1	ক,া,ট,ছ,ি,স
ক,া,ট,া,$,V,3,POL,PST	ক,া,ট,ল,ে,ন
ক,া,ট,া,$,V,PRF,2,PST,LGSPEC1	ক,ে,ট,ে,ছ,ি,ল,ি
ক,া,ট,া,$,V,2,POL,PRS	ক,া,ট,ে
ক,া,ট,া,$,V,PRF,2,POL,PST	ক,ে,ট,ে,ছ,ি,ল,ো
ক,া,ট,া,$,V,1,PRS	ক,া,ট,ি
ক,া,ট,া,$,V,1,PST	ক,া,ট,ল,া,ম
ক,া,ট,া,$,V,3,POL,FUT	ক,া,ট,ব,ে,ন
ক,া,ট,া,$,V,PRF,1,PRS	ক,ে,ট,ে,ছ,ি
ক,া,ট,া,$,V,HAB,2,PST,LGSPEC1	ক,া,ট,ত,ি,স
ক,া,ট,া,$,V,3,INFM,PST	ক,া,ট,ল,ে
ক,া,ট,া,$,V,HAB,1,PST	ক,া,ট,ত,া,ম
ক,া,ট,া,$,V,PROG,3,POL,PST	ক,া,ট,ছ,ি,ল,ে,ন
ক,া,ট,া,$,V,PROG,2,POL,PST	ক,া,ট,ছ,ি,ল,ো
ক,া,ট,া,$,V,2,FUT,LGSPEC1	ক,া,ট,ব,ি
ক,া,ট,া,$,V,PROG,3,INFM,PRS	ক,া,ট,ছ,ো
ক,া,ট,া,$,V,3,INFM,FUT	ক,া,ট,ব,ে
ক,া,ট,া,$,V,3,INFM,PRS	ক,া,ট,ো
ক,া,ট,া,$,V,PRF,1,PST	ক,ে,ট,ে,ছ,ি,ল,া,ম
ক,া,ট,া,$,V,PRF,3,POL,PST	ক,ে,ট,ে,ছ,ি,ল,ে,ন
ক,া,ট,া,$,V,PROG,3,INFM,PST	ক,া,ট,ছ,ি,ল,ে
ক,া,ট,া,$,V,1,FUT	ক,া,ট,ব,ো
ক,ে,ন,া,$,COPY	ক,ে,ন,া
ক,ে,ন,া,$,V,HAB,3,INFM,PST	ক,ি,ন,ত,ে
ক,ে,ন,া,$,V,PROG,1,PST	ক,ি,ন,ছ,ি,ল,া,ম
ক,ে,ন,া,$,V,PRF,3,INFM,PST	ক,ি,ন,ে,ছ,ি,ল,ে
ক,ে,ন,া,$,V,NFIN	ক,ি,ন,ত,ে
ক,ে,ন,া,$,V,PROG,3,INFM,PRS	ক,ি,ন,ছ,ো
ক,ে,ন,া,$,V,3,POL,PRS	ক,ে,ন,ে,ন
ক,ে,ন,া,$,V,3,POL,FUT	ক,ি,ন,ব,ে,ন
ক,ে,ন,া,$,V,PRF,3,POL,PRS	ক,ি,ন,ে,ছ,ে,ন
ক,ে,ন,া,$,V,PROG,3,INFM,PST	ক,ি,ন,ছ,ি,ল,ে
ক,ে,ন,া,$,V,PROG,2,POL,PST	ক,ি,ন,ছ,ি,ল,ো
ক,ে,ন,া,$,V,PRF,2,PRS,LGSPEC1	ক,ি,ন,ে,ছ,ি,স
ক,ে,ন,া,$,V,2,POL,PST	ক,ি,ন,ল,ো
ক,ে,ন,া,$,V,3,INFM,PRS	ক,ে,ন,ো
ক,ে,ন,া,$,V,2,POL,PRS	ক,ে,ন,ে
ক,ে,ন,া,$,V,PROG,2,PST,LGSPEC1	ক,ি,ন,ছ,ি,ল,ি
ক,ে,ন,া,$,V,3,INFM,FUT	ক,ি,ন,ব,ে
ক,ে,ন,া,$,V,1,PST	ক,ি,ন,ল,া,ম
ক,ে,ন,া,$,V,1,PRS	ক,ি,ন,ি
ক,ে,ন,া,$,V,PRF,1,PRS	ক,ি,ন,ে,ছ,ি
ক,ে,ন,া,$,V,2,PST,LGSPEC1	ক,ি,ন,ল,ি
ক,ে,ন,া,$,V,1,FUT	ক,ি,ন,ব,ো
ক,ে,ন,া,$,V,PROG,2,PRS,LGSPEC1	ক,ি,ন,ছ,ি,স
ক,ে,ন,া,$,V,PROG,3,POL,PST	ক,ি,ন,ছ,ি,ল,ে,ন
ক,ে,ন,া,$,V,PRF,2,PST,LGSPEC1	ক,ি,ন,ে,ছ,ি,ল,ি
ক,ে,ন,া,$,V,3,INFM,PST	ক,ি,ন,ল,ে
ক,ে,ন,া,$,V,HAB,2,PST,LGSPEC1	ক,ি,ন,ত,ি,স
ক,ে,ন,া,$,V,PRF,3,POL,PST	ক,ি,ন,ে,ছ,ি,ল,ে,ন
ক,ে,ন,া,$,V,HAB,2,POL,PST	ক,ি,ন,ত,ো
ক,ে,ন,া,$,V,2,POL,FUT	ক,ি,ন,ব,ে
ক,ে,ন,া,$,V,PRF,1,PST	ক,ি,ন,ে,ছ,ি,ল,া,ম
ক,ে,ন,া,$,V,2,PRS,LGSPEC1	ক,ি,ন,ি,স
ক,ে,ন,া,$,V,PROG,3,POL,PRS	ক,ি,ন,ছ,ে,ন
ক,ে,ন,া,$,V,PROG,2,POL,PRS	ক,ি,ন,ছ,ে
ক,ে,ন,া,$,V,2,FUT,LGSPEC1	ক,ি,ন,ব,ি
ক,ে,ন,া,$,V,3,POL,PST	ক,ি,ন,ল,ে,ন
ক,ে,ন,া,$,V,PROG,1,PRS	ক,ি,ন,ছ,ি
ক,ে,ন,া,$,V,HAB,1,PST	ক,ি,ন,ত,া,ম
ক,ে,ন,া,$,V,PRF,3,INFM,PRS	ক,ি,ন,ে,ছ,ো
ক,ে,ন,া,$,V,HAB,3,POL,PST	ক,ি,ন,ত,ে,ন
ক,ে,ন,া,$,V,PRF,2,POL,PRS	ক,ি,ন,ে,ছ,ে
ক,ে,ন,া,$,V,PRF,2,POL,PST	ক,ি,ন,ে,ছ,ি,ল,ো
শ,ে,খ,া,$,COPY	শ,ে,খ,া
শ,ে,খ,া,$,V,2,PRS,LGSPEC1	শ,ি,খ,ি,স
শ,ে,খ,া,$,V,3,INFM,PST	শ,ি,খ,ল,ে
শ,ে,খ,া,$,V,PROG,2,PRS,LGSPEC1	শ,ি,খ,ছ,ি,স
শ,ে,খ,া,$,V,PRF,3,INFM,PST	শ,ি,খ,ে,ছ,ি,ল,ে
শ,ে,খ,া,$,V,3,INFM,FUT	শ,ি,খ,ব,ে
শ,ে,খ,া,$,V,PROG,3,POL,PST	শ,ি,খ,ছ,ি,ল,ে,ন
শ,ে,খ,া,$,V,PRF,1,PRS	শ,ি,খ,ে,ছ,ি
শ,ে,খ,া,$,V,3,INFM,PRS	শ,ে,খ,ো
শ,ে,খ,া,$,V,PROG,3,INFM,PRS	শ,ি,খ,ছ,ো
শ,ে,খ,া,$,V,HAB,1,PST	শ,ি,খ,ত,া,ম
শ,ে,খ,া,$,V,PRF,2,PST,LGSPEC1	শ,ি,খ,ে,ছ,ি,ল,ি
শ,ে,খ,া,$,V,2,POL,PST	শ,ি,খ,ল,ো
শ,ে,খ,া,$,V,1,PRS	শ,ি,খ,ি
শ,ে,খ,া,$,V,2,PST,LGSPEC1	শ,ি,খ,ল,ি
শ,ে,খ,া,$,V,3,POL,PST	শ,ি,খ,ল,ে,ন
শ,ে,খ,া,$,V,HAB,2,PST,LGSPEC1	শ,ি,খ,ত,ি,স
শ,ে,খ,া,$,V,PROG,3,INFM,PST	শ,ি,খ,ছ,ি,ল,ে
শ,ে,খ,া,$,V,PRF,2,POL,PST	শ,ি,খ,ে,ছ,ি,ল,ো
শ,ে,খ,া,$,V,PROG,2,POL,PST	শ,ি,খ,ছ,ি,ল,ো
শ,ে,খ,া,$,V,HAB,2,POL,PST	শ,ি,খ,ত,ো
শ,ে,খ,া,$,V,PRF,1,PST	শ,ি,খ,ে,ছ,ি,ল,া,ম
শ,ে,খ,া,$,V,PRF,3,INFM,PRS	শ,ি,খ,ে,ছ,ো
শ,ে,খ,া,$,V,PRF,2,PRS,LGSPEC1	শ,ি,খ,ে,ছ,ি,স
শ,ে,খ,া,$,V,NFIN	শ,ি,খ,ত,ে
শ,ে,খ,া,$,V,2,FUT,LGSPEC1	শ,ি,খ,ব,ি
শ,ে,খ,া,$,V,PRF,2,POL,PRS	শ,ি,খ,ে,ছ,ে
শ,ে,খ,া,$,V,2,POL,PRS	শ,ে,খ,ে
শ,ে,খ,া,$,V,2,POL,FUT	শ,ি,খ,ব,ে
শ,ে,খ,া,$,V,3,POL,FUT	শ,ি,খ,ব,ে,ন
শ,ে,খ,া,$,V,PROG,2,POL,PRS	শ,ি,খ,ছ,ে
শ,ে,খ,া,$,V,HAB,3,POL,PST	শ,ি,খ,ত,ে,ন
শ,ে,খ,া,$,V,1,FUT	শ,ি,খ,ব,ো
শ,ে,খ,া,$,V,PROG,1,PST	শ,ি,খ,ছ,ি,ল,া,ম
শ,ে,খ,া,$,V,PROG,3,POL,PRS	শ,ি,খ,ছ,ে,ন
শ,ে,খ,া,$,V,HAB,3,INFM,PST	শ,ি,খ,ত,ে
শ,ে,খ,া,$,V,PROG,2,PST,LGSPEC1	শ,ি,খ,ছ,ি,ল,ি
শ,ে,খ,া,$,V,3,POL,PRS	শ,ে,খ,ে,ন
শ,ে,খ,া,$,V,1,PST	শ,ি,খ,ল,া,ম
শ,ে,খ,া,$,V,PROG,1,PRS	শ,ি,খ,ছ,ি
শ,ে,খ,া,$,V,PRF,3,POL,PRS	শ,ি,খ,ে,ছ,ে,ন
শ,ে,খ,া,$,V,PRF,3,POL,PST	শ,ি,খ,ে,ছ,ি,ল,ে,ন
ন,া,চ,া,$,COPY	ন,া,চ,া
ন,া,চ,া,$,V,HAB,2,PST,LGSPEC1	ন,া,চ,ত,ি,স
ন,া,চ,া,$,V,1,FUT	ন,া,চ,ব,ো
ন,া,চ,া,$,V,1,PST	ন,া,চ,ল,া,ম
ন,া,চ,া,$,V,3,POL,PST	ন,া,চ,ল,ে,ন
ন,া,চ,া,$,V,PRF,1,PRS	ন,ে,চ,ে,ছ,ি
ন,া,চ,া,$,V,PROG,2,PST,LGSPEC1	ন,া,চ,ছ,ি,ল,ি
ন,া,চ,া,$,V,3,POL,FUT	ন,া,চ,ব,ে,ন
ন,া,চ,া,$,V,PRF,2,POL,PST	ন,ে,চ,ে,ছ,ি,ল,ো
ন,া,চ,া,$,V,PRF,3,INFM,PRS	ন,ে,চ,ে,ছ,ো
ন,া,চ,া,$,V,PRF,2,PRS,LGSPEC1	ন,ে,চ,ে,ছ,ি,স
ন,া,চ,া,$,V,2,PST,LGSPEC1	ন,া,চ,ল,ি
ন,া,চ,া,$,V,PROG,3,INFM,PST	ন,া,চ,ছ,ি,ল,ে
ন,া,চ,া,$,V,3,INFM,FUT	ন,া,চ,ব,ে
ন,া,চ,া,$,V,PROG,2,POL,PST	ন,া,চ,ছ,ি,ল,ো
ন,া,চ,া,$,V,2,POL,PRS	ন,া,চ,ে
ন,া,চ,া,$,V,3,POL,PRS	ন,া,চ,ে,ন
ন,া,চ,া,$,V,1,PRS	ন,া,চ,ি
ন,া,চ,া,$,V,PROG,2,POL,PRS	ন,া,চ,ছ,ে
ন,া,চ,া,$,V,2,POL,PST	ন,া,চ,ল,ো
ন,া,চ,া,$,V,PRF,2,PST,LGSPEC1	ন,ে,চ,ে,ছ,ি,ল,ি
ন,া,চ,া,$,V,3,INFM,PRS	ন,া,চ,ো
ন,া,চ,া,$,V,PRF,3,INFM,PST	ন,ে,চ,ে,ছ,ি,ল,ে
ন,া,চ,া,$,V,3,INFM,PST	ন,া,চ,ল,ে
ন,া,চ,া,$,V,HAB,3,POL,PST	ন,া,চ,ত,ে,ন
ন,া,চ,া,$,V,PROG,3,POL,PRS	ন,া,চ,ছ,ে,ন
ন,া,চ,া,$,V,PROG,1,PRS	ন,া,চ,ছ,ি
ন,া,চ,া,$,V,HAB,3,INFM,PST	ন,া,চ,ত,ে
ন,া,চ,া,$,V,HAB,2,POL,PST	ন,া,চ,ত,ো
ন,া,চ,া,$,V,PRF,1,PST	ন,ে,চ,ে,ছ,ি,ল,া,ম
ন,া,চ,া,$,V,PRF,2,POL,PRS	ন,ে,চ,ে,ছ,ে
ন,া,চ,া,$,V,PRF,3,POL,PRS	ন,ে,চ,ে,ছ,ে,ন
ন,া,চ,া,$,V,NFIN	ন,া,চ,ত,ে
ন,া,চ,া,$,V,PROG,3,POL,PST	ন,া,চ,ছ,ি,ল,ে,ন
ন,া,চ,া,$,V,PROG,3,INFM,PRS	ন,া,চ,ছ,ো
ন,া,চ,া,$,V,PROG,2,PRS,LGSPEC1	ন,া,চ,ছ,ি,স
ন,া,চ,া,$,V,2,FUT,LGSPEC1	ন,া,চ,ব,ি
ন,া,চ,া,$,V,PROG,1,PST	ন,া,চ,ছ,ি,ল,া,ম
ন,া,চ,া,$,V,PRF,3,POL,PST	ন,ে,চ,ে,ছ,ি,ল,ে,ন
ন,া,চ,া,$,V,2,POL,FUT	ন,া,চ,ব,ে
ন,া,চ,া,$,V,2,PRS,LGSPEC1	ন,া,চ,ি,স
ন,া,চ,া,$,V,HAB,1,PST	ন,া,চ,ত,া,ম
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,COPY	জ,্,ব,া,ল,া,ত,ন, ,ক,র,া
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,3,INFM,FUT	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ব,ে
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,3,POL,PST	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ল,ে,ন
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,2,POL,FUT	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ব,ে
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,PROG,2,PRS,LGSPEC1	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ছ,ি,স
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,PROG,1,PST	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ছ,ি,ল,া,ম
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,PROG,3,INFM,PRS	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ছ,ো
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,2,PST,LGSPEC1	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ল,ি
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,1,PRS	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ি
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,2,POL,PST	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ল,ো
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,2,POL,PRS	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ে
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,1,PST	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ল,া,ম
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,PRF,2,PST,LGSPEC1	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ে,ছ,ি,ল,ি
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,PRF,2,POL,PRS	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ে,ছ,ে
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,HAB,1,PST	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ত,া,ম
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,3,POL,PRS	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ে,ন
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,PROG,3,POL,PRS	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ছ,ে,ন
জ,্,ব,া,ল,া,ত,ন, ,ক,র,া,$,V,PRF,3,INFM,PRS	জ,্,ব,া,ল,া,ত,ন, ,ক,র,ে,ছ,ো
