т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,1,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,м,ү,н
a,й,д,o,o,$,V,PROG,PL,2,INFM,PST	a,й,д,a,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
a,й,д,o,o,$,V,PL,3,FUT	a,й,д,a,ш,a,т
a,й,д,o,o,$,V,PRF,PL,1,PST	a,й,д,a,г,a,н,б,ы,з
a,й,д,o,o,$,V,SG,1,PRS	a,й,д,o,o,д,o,м,у,н
a,й,д,o,o,$,V,SG,3,PST	a,й,д,a,д,ы
a,й,д,o,o,$,V,PROG,SG,2,INFM,PST	a,й,д,a,п, ,ж,a,т,к,a,н,с,ы,ң
a,й,д,o,o,$,V,PL,3,PST	a,й,д,a,ш,т,ы
a,й,д,o,o,$,V,FRML,SG,2,FUT	a,й,д,a,й,с,ы,з
a,й,д,o,o,$,V,PL,1,PST	a,й,д,a,д,ы,к
a,й,д,o,o,$,V,FRML,SG,2,PST	a,й,д,a,д,ы,ң,ы,з
a,й,д,o,o,$,V,PRF,SG,2,INFM,PST	a,й,д,a,г,a,н,с,ы,ң
a,й,д,o,o,$,V,PROG,PL,1,PRS	a,й,д,a,п, ,ж,a,т,a,б,ы,з
a,й,д,o,o,$,V,HAB,SG,2,INFM,PST	a,й,д,a,ч,у,с,у,ң
a,й,д,o,o,$,V,COND,PL,2,INFM,FUT	a,й,д,a,p,с,ы,ң,a,p
a,й,д,o,o,$,V,HAB,SG,1,PST	a,й,д,a,ч,у,м,у,н
a,й,д,o,o,$,V,PROG,SG,1,PRS	a,й,д,a,п, ,ж,a,т,a,м,ы,н
a,й,д,o,o,$,V,SG,1,FUT	a,й,д,a,й,м,ы,н
a,й,д,o,o,$,V,HAB,SG,3,PST	a,й,д,a,ч,у
a,й,д,o,o,$,V,FRML,SG,2,PRS	a,й,д,o,o,д,o,с,у,з
a,й,д,o,o,$,V,COND,PL,3,FUT	a,й,д,a,ш,a,p
a,й,д,o,o,$,V,COND,SG,1,FUT	a,й,д,a,p,м,ы,н
a,й,д,o,o,$,V,SG,3,FUT	a,й,д,a,й,т
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,SG,2,INFM,PST	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,к,a,н,с,ы,ң
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PRF,SG,2,INFM,PST	т,у,p,м,у,ш,к,a, ,ч,ы,к,к,a,н,с,ы,ң
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PL,3,PST	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,ш,т,ы
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,FRML,SG,2,PST	т,у,р,м,у,ш,к,a, ,ч,ы,к,т,ы,ң,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,COND,SG,3,FUT	т,у,p,м,у,ш,к,a, ,ч,ы,г,a,p
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,SG,1,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,д,a,м,ы,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,SG,3,PST	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,к,a,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,HAB,SG,1,PST	т,у,p,м,у,ш,к,a, ,ч,ы,г,ч,у,м,у,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,SG,1,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,a,м,ы,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,HAB,SG,3,PST	т,у,p,м,у,ш,к,a, ,ч,ы,г,ч,у
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,SG,3,PST	т,у,р,м,у,ш,к,a, ,ч,ы,к,т,ы
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PL,2,INFM,PST	т,у,р,м,у,ш,к,a, ,ч,ы,к,т,ы,ң,a,р
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PRF,SG,1,PST	т,у,p,м,у,ш,к,a, ,ч,ы,к,к,a,н,м,ы,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,HAB,PL,2,INFM,PST	т,у,p,м,у,ш,к,a, ,ч,ы,г,ч,у,ң,a,p
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,SG,2,INFM,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,a,с,ы,ң
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PRF,PL,1,PST	т,у,p,м,у,ш,к,a, ,ч,ы,к,к,a,н,б,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PRF,FRML,SG,2,PST	т,у,p,м,у,ш,к,a, ,ч,ы,к,к,a,н,с,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,COND,PL,2,INFM,FUT	т,у,p,м,у,ш,к,a, ,ч,ы,г,a,p,с,ы,ң,a,p
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PL,3,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,д,a
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,SG,3,FUT	т,у,р,м,у,ш,к,a, ,ч,ы,г,a,т
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PL,3,FUT	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,ш,a,т
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,SG,3,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,a,т
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,HAB,PL,3,PST	т,у,p,м,у,ш,к,a, ,ч,ы,г,ы,ш,ч,у
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,SG,2,INFM,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,д,a,с,ы,ң
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,SG,2,INFM,PST	т,у,р,м,у,ш,к,a, ,ч,ы,к,т,ы,ң
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,SG,1,FUT	т,у,р,м,у,ш,к,a, ,ч,ы,г,a,м,ы,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,FRML,COND,SG,2,FUT	т,у,p,м,у,ш,к,a, ,ч,ы,г,a,p,с,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,FRML,SG,2,PST	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,к,a,н,с,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PL,1,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,д,a,б,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,SG,1,PST	т,у,р,м,у,ш,к,a, ,ч,ы,к,т,ы,м
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,HAB,PL,1,PST	т,у,p,м,у,ш,к,a, ,ч,ы,г,ч,у,б,у,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PL,1,PST	т,у,р,м,у,ш,к,a, ,ч,ы,к,т,ы,к
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,FRML,SG,2,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,д,a,с,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,SG,2,INFM,FUT	т,у,р,м,у,ш,к,a, ,ч,ы,г,a,с,ы,ң
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PRF,PL,3,PST	т,у,p,м,у,ш,к,a, ,ч,ы,г,ы,ш,к,a,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,SG,1,PST	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,к,a,м,ы,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,FRML,SG,2,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,a,с,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,PL,1,PST	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,к,a,н,б,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,HAB,SG,2,INFM,PST	т,у,p,м,у,ш,к,a, ,ч,ы,г,ч,у,с,у,ң
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,HAB,FRML,SG,2,PST	т,у,p,м,у,ш,к,a, ,ч,ы,г,ч,у,с,у,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,COND,SG,1,FUT	т,у,p,м,у,ш,к,a, ,ч,ы,г,a,p,м,ы,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,COND,SG,2,INFM,FUT	т,у,p,м,у,ш,к,a, ,ч,ы,г,a,p,с,ы,ң
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,PL,2,INFM,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,a,с,ы,ң,a,р
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PRF,PL,2,INFM,PST	т,у,p,м,у,ш,к,a, ,ч,ы,к,к,a,н,с,ы,ң,a,p
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,PL,3,PST	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,ы,ш,к,a,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,FRML,SG,2,FUT	т,у,р,м,у,ш,к,a, ,ч,ы,г,a,с,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PRF,SG,3,PST	т,у,p,м,у,ш,к,a, ,ч,ы,к,к,a,н
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PL,2,INFM,FUT	т,у,р,м,у,ш,к,a, ,ч,ы,г,a,с,ы,ң,a,р
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,PL,2,INFM,PST	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PL,1,FUT	т,у,р,м,у,ш,к,a, ,ч,ы,г,a,б,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,PL,3,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,ы,ш,a,т
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PROG,PL,1,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,ы,п, ,ж,a,т,a,б,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,COND,PL,3,FUT	т,у,p,м,у,ш,к,a, ,ч,ы,г,ы,ш,a,p
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,SG,3,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,д,a
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,COND,PL,1,FUT	т,у,p,м,у,ш,к,a, ,ч,ы,г,a,p,б,ы,з
т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,$,V,PL,2,INFM,PRS	т,у,р,м,у,ш,к,a, ,ч,ы,г,у,у,д,a,с,ы,ң,a,р
к,у,р,у,у,$,V,PL,2,INFM,PRS	к,у,р,у,у,д,a,с,ы,ң,a,р
к,у,р,у,у,$,V,PL,3,FUT	к,у,р,у,ш,a,т
к,у,р,у,у,$,V,SG,3,PRS	к,у,р,у,у,д,a
к,у,р,у,у,$,V,SG,1,PST	к,у,р,д,y,м
к,у,р,у,у,$,V,HAB,SG,3,PST	к,у,p,ч,у
к,у,р,у,у,$,V,SG,2,INFM,PRS	к,у,р,у,у,д,a,с,ы,ң
к,у,р,у,у,$,V,HAB,SG,1,PST	к,у,p,ч,у,м,у,н
к,у,р,у,у,$,V,PL,2,INFM,PST	к,у,р,д,у,ң,a,р
к,у,р,у,у,$,V,PROG,PL,2,INFM,PRS	к,у,р,y,п, ,ж,a,т,a,с,ы,ң,a,р
к,у,р,у,у,$,V,PROG,SG,2,INFM,PRS	к,у,р,y,п, ,ж,a,т,a,с,ы,ң
к,у,р,у,у,$,V,FRML,SG,2,FUT	к,у,р,a,с,ы,з
к,у,р,у,у,$,V,COND,SG,3,FUT	к,у,p,a,p
к,у,р,у,у,$,V,PROG,SG,2,INFM,PST	к,у,р,y,п, ,ж,a,т,к,a,н,с,ы,ң
к,у,р,у,у,$,V,SG,3,FUT	к,у,р,a,т
к,у,р,у,у,$,V,PRF,SG,3,PST	к,у,p,г,a,н
к,у,р,у,у,$,V,PL,1,PST	к,у,р,д,у,к
к,у,р,у,у,$,V,COND,PL,3,FUT	к,у,p,у,ш,a,p
к,у,р,у,у,$,V,PL,3,PRS	к,у,р,у,у,д,a
к,у,р,у,у,$,V,PROG,PL,3,PST	к,у,р,y,п, ,ж,a,т,ы,ш,к,a,н
к,у,р,у,у,$,V,FRML,SG,2,PST	к,у,р,д,у,ң,у,з
к,у,р,у,у,$,V,PROG,FRML,SG,2,PRS	к,у,р,y,п, ,ж,a,т,a,с,ы,з
к,у,р,у,у,$,V,PL,1,PRS	к,у,р,у,у,д,a,б,ы,з
к,у,р,у,у,$,V,SG,1,FUT	к,у,р,a,м,ы,н
к,у,р,у,у,$,V,PROG,FRML,SG,2,PST	к,у,р,y,п, ,ж,a,т,к,a,н,с,ы,з
к,у,р,у,у,$,V,HAB,PL,2,INFM,PST	к,у,p,ч,у,ң,a,p
к,у,р,у,у,$,V,PL,2,INFM,FUT	к,у,р,a,с,ы,ң,a,р
к,у,р,у,у,$,V,PROG,PL,2,INFM,PST	к,у,р,y,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
к,у,р,у,у,$,V,PRF,SG,1,PST	к,у,p,г,a,н,м,ы,н
к,у,р,у,у,$,V,PROG,PL,1,PST	к,у,р,y,п, ,ж,a,т,к,a,н,б,ы,з
к,у,р,у,у,$,V,COND,PL,2,INFM,FUT	к,у,p,a,p,с,ы,ң,a,p
к,у,р,у,у,$,V,SG,2,INFM,FUT	к,у,р,a,с,ы,ң
к,у,р,у,у,$,V,COND,SG,1,FUT	к,у,p,a,p,м,ы,н
к,у,р,у,у,$,V,FRML,SG,2,PRS	к,у,р,у,у,д,a,с,ы,з
к,у,р,у,у,$,V,PRF,FRML,SG,2,PST	к,у,p,г,a,н,с,ы,з
к,у,р,у,у,$,V,COND,PL,1,FUT	к,у,p,a,p,б,ы,з
к,у,р,у,у,$,V,SG,2,INFM,PST	к,у,р,д,у,ң
к,у,р,у,у,$,V,PROG,SG,1,PST	к,у,р,y,п, ,ж,a,т,к,a,м,ы,н
к,у,р,у,у,$,V,PROG,PL,1,PRS	к,у,р,y,п, ,ж,a,т,a,б,ы,з
к,у,р,у,у,$,V,HAB,PL,3,PST	к,у,p,у,ш,ч,у
к,у,р,у,у,$,V,SG,1,PRS	к,у,р,у,у,д,a,м,ы,н
к,у,р,у,у,$,V,PRF,PL,3,PST	к,у,p,у,ш,к,a,н
к,у,р,у,у,$,V,PROG,SG,3,PST	к,у,р,y,п, ,ж,a,т,к,a,н
к,у,р,у,у,$,V,PROG,SG,1,PRS	к,у,р,y,п, ,ж,a,т,a,м,ы,н
к,у,р,у,у,$,V,PRF,SG,2,INFM,PST	к,у,p,г,a,н,с,ы,ң
к,у,р,у,у,$,V,HAB,FRML,SG,2,PST	к,у,p,ч,у,с,у,з
к,у,р,у,у,$,V,FRML,COND,SG,2,FUT	к,у,p,a,p,с,ы,з
к,у,р,у,у,$,V,SG,3,PST	к,у,р,д,у
к,у,р,у,у,$,V,PROG,SG,3,PRS	к,у,р,y,п, ,ж,a,т,a,т
к,у,р,у,у,$,V,COND,SG,2,INFM,FUT	к,у,p,a,p,с,ы,ң
к,у,р,у,у,$,V,PRF,PL,2,INFM,PST	к,у,p,г,a,н,с,ы,ң,a,p
к,у,р,у,у,$,V,PRF,PL,1,PST	к,у,p,г,a,н,б,ы,з
к,у,р,у,у,$,V,HAB,SG,2,INFM,PST	к,у,p,ч,у,с,у,ң
к,у,р,у,у,$,V,PL,1,FUT	к,у,р,a,б,ы,з
к,у,р,у,у,$,V,PROG,PL,3,PRS	к,у,р,y,п, ,ж,a,т,ы,ш,a,т
к,у,р,у,у,$,V,HAB,PL,1,PST	к,у,p,ч,у,б,у,з
к,у,р,у,у,$,V,PL,3,PST	к,у,р,у,ш,т,у
т,ү,ш,ү,н,ү,ү,$,V,SG,2,INFM,FUT	т,ү,ш,ү,н,ө,с,ү,ң
т,ү,ш,ү,н,ү,ү,$,V,COND,PL,3,FUT	т,ү,ш,ү,н,ү,ш,ө,p
т,ү,ш,ү,н,ү,ү,$,V,HAB,PL,2,INFM,PST	т,ү,ш,ү,н,ч,ү,ң,ө,p
т,ү,ш,ү,н,ү,ү,$,V,PROG,PL,2,INFM,PST	т,ү,ш,ү,н,ү,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
т,ү,ш,ү,н,ү,ү,$,V,PRF,PL,3,PST	т,ү,ш,ү,н,ү,ш,к,ө,н
т,ү,ш,ү,н,ү,ү,$,V,PROG,PL,3,PST	т,ү,ш,ү,н,ү,п, ,ж,a,т,ы,ш,к,a,н
т,ү,ш,ү,н,ү,ү,$,V,PRF,SG,2,INFM,PST	т,ү,ш,ү,н,г,ө,н,с,ү,ң
т,ү,ш,ү,н,ү,ү,$,V,PROG,PL,3,PRS	т,ү,ш,ү,н,ү,п, ,ж,a,т,ы,ш,a,т
т,ү,ш,ү,н,ү,ү,$,V,PRF,SG,3,PST	т,ү,ш,ү,н,г,ө,н
т,ү,ш,ү,н,ү,ү,$,V,SG,1,FUT	т,ү,ш,ү,н,ө,м,ү,н
т,ү,ш,ү,н,ү,ү,$,V,COND,SG,1,FUT	т,ү,ш,ү,н,ө,p,м,ү,н
т,ү,ш,ү,н,ү,ү,$,V,SG,1,PRS	т,ү,ш,ү,н,ү,ү,д,ө,м,ү,н
т,ү,ш,ү,н,ү,ү,$,V,PROG,SG,1,PST	т,ү,ш,ү,н,ү,п, ,ж,a,т,к,a,м,ы,н
т,ү,ш,ү,н,ү,ү,$,V,PRF,SG,1,PST	т,ү,ш,ү,н,г,ө,н,м,ү,н
т,ү,ш,ү,н,ү,ү,$,V,HAB,PL,1,PST	т,ү,ш,ү,н,ч,ү,б,ү,з
т,ү,ш,ү,н,ү,ү,$,V,PL,3,PRS	т,ү,ш,ү,н,ү,ү,д,ө
т,ү,ш,ү,н,ү,ү,$,V,SG,3,FUT	т,ү,ш,ү,н,ө,т
т,ү,ш,ү,н,ү,ү,$,V,PRF,FRML,SG,2,PST	т,ү,ш,ү,н,г,ө,н,с,ү,з
т,ү,ш,ү,н,ү,ү,$,V,PROG,FRML,SG,2,PST	т,ү,ш,ү,н,ү,п, ,ж,a,т,к,a,н,с,ы,з
т,ү,ш,ү,н,ү,ү,$,V,HAB,PL,3,PST	т,ү,ш,ү,н,ү,ш,ч,ү
т,ү,ш,ү,н,ү,ү,$,V,COND,PL,1,FUT	т,ү,ш,ү,н,ө,p,б,ү,з
т,ү,ш,ү,н,ү,ү,$,V,PL,1,FUT	т,ү,ш,ү,н,ө,б,ү,з
т,ү,ш,ү,н,ү,ү,$,V,HAB,SG,2,INFM,PST	т,ү,ш,ү,н,ч,ү,с,ү,ң
т,ү,ш,ү,н,ү,ү,$,V,FRML,SG,2,PST	т,ү,ш,ү,н,д,ү,ң,ү,з
т,ү,ш,ү,н,ү,ү,$,V,PL,2,INFM,PST	т,ү,ш,ү,н,д,ү,ң,ө,р
т,ү,ш,ү,н,ү,ү,$,V,SG,3,PST	т,ү,ш,ү,н,д,ү
т,ү,ш,ү,н,ү,ү,$,V,SG,2,INFM,PRS	т,ү,ш,ү,н,ү,ү,д,ө,с,ү,ң
т,ү,ш,ү,н,ү,ү,$,V,FRML,SG,2,PRS	т,ү,ш,ү,н,ү,ү,д,ө,с,ү,з
т,ү,ш,ү,н,ү,ү,$,V,PROG,PL,2,INFM,PRS	т,ү,ш,ү,н,ү,п, ,ж,a,т,a,с,ы,ң,a,р
т,ү,ш,ү,н,ү,ү,$,V,PROG,SG,3,PRS	т,ү,ш,ү,н,ү,п, ,ж,a,т,a,т
т,ү,ш,ү,н,ү,ү,$,V,HAB,FRML,SG,2,PST	т,ү,ш,ү,н,ч,ү,с,ү,з
т,ү,ш,ү,н,ү,ү,$,V,PROG,SG,2,INFM,PRS	т,ү,ш,ү,н,ү,п, ,ж,a,т,a,с,ы,ң
т,ү,ш,ү,н,ү,ү,$,V,PL,1,PRS	т,ү,ш,ү,н,ү,ү,д,ө,б,ү,з
т,ү,ш,ү,н,ү,ү,$,V,PROG,PL,1,PRS	т,ү,ш,ү,н,ү,п, ,ж,a,т,a,б,ы,з
т,ү,ш,ү,н,ү,ү,$,V,COND,PL,2,INFM,FUT	т,ү,ш,ү,н,ө,p,с,ү,ң,ө,p
т,ү,ш,ү,н,ү,ү,$,V,PL,3,FUT	т,ү,ш,ү,н,ү,ш,ө,т
т,ү,ш,ү,н,ү,ү,$,V,FRML,SG,2,FUT	т,ү,ш,ү,н,ө,с,ү,з
т,ү,ш,ү,н,ү,ү,$,V,HAB,SG,1,PST	т,ү,ш,ү,н,ч,ү,м,ү,н
т,ү,ш,ү,н,ү,ү,$,V,HAB,SG,3,PST	т,ү,ш,ү,н,ч,ү
т,ү,ш,ү,н,ү,ү,$,V,PRF,PL,1,PST	т,ү,ш,ү,н,г,ө,н,б,ү,з
т,ү,ш,ү,н,ү,ү,$,V,COND,SG,3,FUT	т,ү,ш,ү,н,ө,p
т,ү,ш,ү,н,ү,ү,$,V,PL,1,PST	т,ү,ш,ү,н,д,ү,к
т,ү,ш,ү,н,ү,ү,$,V,FRML,COND,SG,2,FUT	т,ү,ш,ү,н,ө,p,с,ү,з
т,ү,ш,ү,н,ү,ү,$,V,SG,3,PRS	т,ү,ш,ү,н,ү,ү,д,ө
т,ү,ш,ү,н,ү,ү,$,V,PL,3,PST	т,ү,ш,ү,н,ү,ш,т,ү
т,ү,ш,ү,н,ү,ү,$,V,PRF,PL,2,INFM,PST	т,ү,ш,ү,н,г,ө,н,с,ү,ң,ө,p
т,ү,ш,ү,н,ү,ү,$,V,COND,SG,2,INFM,FUT	т,ү,ш,ү,н,ө,p,с,ү,ң
т,ү,ш,ү,н,ү,ү,$,V,PROG,SG,1,PRS	т,ү,ш,ү,н,ү,п, ,ж,a,т,a,м,ы,н
т,ү,ш,ү,н,ү,ү,$,V,PL,2,INFM,FUT	т,ү,ш,ү,н,ө,с,ү,ң,ө,р
т,ү,ш,ү,н,ү,ү,$,V,PROG,PL,1,PST	т,ү,ш,ү,н,ү,п, ,ж,a,т,к,a,н,б,ы,з
т,ү,ш,ү,н,ү,ү,$,V,SG,2,INFM,PST	т,ү,ш,ү,н,д,ү,ң
т,ү,ш,ү,н,ү,ү,$,V,SG,1,PST	т,ү,ш,ү,н,д,ү,м
т,ү,ш,ү,н,ү,ү,$,V,PROG,SG,3,PST	т,ү,ш,ү,н,ү,п, ,ж,a,т,к,a,н
т,ү,ш,ү,н,ү,ү,$,V,PROG,FRML,SG,2,PRS	т,ү,ш,ү,н,ү,п, ,ж,a,т,a,с,ы,з
т,ү,ш,ү,н,ү,ү,$,V,PROG,SG,2,INFM,PST	т,ү,ш,ү,н,ү,п, ,ж,a,т,к,a,н,с,ы,ң
т,ү,ш,ү,н,ү,ү,$,V,PL,2,INFM,PRS	т,ү,ш,ү,н,ү,ү,д,ө,с,ү,ң,ө,р
к,ү,р,ө,ш,ү,ү,$,V,PROG,FRML,SG,2,PRS	к,ү,р,ө,ш,ү,п, ,ж,a,т,a,с,ы,з
к,ү,р,ө,ш,ү,ү,$,V,PROG,PL,3,PRS	к,ү,р,ө,ш,ү,п, ,ж,a,т,ы,ш,a,т
к,ү,р,ө,ш,ү,ү,$,V,PRF,PL,2,INFM,PST	к,ү,p,ө,ш,к,ө,н,с,ү,ң,ө,p
к,ү,р,ө,ш,ү,ү,$,V,PROG,FRML,SG,2,PST	к,ү,р,ө,ш,ү,п, ,ж,a,т,к,a,н,с,ы,з
к,ү,р,ө,ш,ү,ү,$,V,COND,PL,2,INFM,FUT	к,ү,p,ө,ш,ө,p,с,ү,ң,ө,p
к,ү,р,ө,ш,ү,ү,$,V,PROG,SG,2,INFM,PRS	к,ү,р,ө,ш,ү,п, ,ж,a,т,a,с,ы,ң
к,ү,р,ө,ш,ү,ү,$,V,HAB,PL,3,PST	к,ү,p,ө,ш,ч,ү
к,ү,р,ө,ш,ү,ү,$,V,COND,SG,1,FUT	к,ү,p,ө,ш,ө,p,м,ү,н
к,ү,р,ө,ш,ү,ү,$,V,PROG,PL,2,INFM,PST	к,ү,р,ө,ш,ү,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
к,ү,р,ө,ш,ү,ү,$,V,FRML,COND,SG,2,FUT	к,ү,p,ө,ш,ө,p,с,ү,з
к,ү,р,ө,ш,ү,ү,$,V,PROG,SG,3,PST	к,ү,р,ө,ш,ү,п, ,ж,a,т,к,a,н
к,ү,р,ө,ш,ү,ү,$,V,PL,2,INFM,FUT	к,ү,р,ө,ш,ө,с,ү,ң,ө,р
к,ү,р,ө,ш,ү,ү,$,V,SG,1,PRS	к,ү,р,ө,ш,ү,ү,д,ө,м,ү,н
к,ү,р,ө,ш,ү,ү,$,V,HAB,SG,2,INFM,PST	к,ү,p,ө,ш,ч,ү,с,ү,ң
к,ү,р,ө,ш,ү,ү,$,V,FRML,SG,2,FUT	к,ү,р,ө,ш,ө,с,ү,з
к,ү,р,ө,ш,ү,ү,$,V,HAB,PL,2,INFM,PST	к,ү,p,ө,ш,ч,ү,ң,ө,p
к,ү,р,ө,ш,ү,ү,$,V,SG,1,PST	к,ү,р,ө,ш,т,ү,м
к,ү,р,ө,ш,ү,ү,$,V,SG,2,INFM,FUT	к,ү,р,ө,ш,ө,с,ү,ң
к,ү,р,ө,ш,ү,ү,$,V,COND,SG,2,INFM,FUT	к,ү,p,ө,ш,ө,p,с,ү,ң
к,ү,р,ө,ш,ү,ү,$,V,PROG,PL,2,INFM,PRS	к,ү,р,ө,ш,ү,п, ,ж,a,т,a,с,ы,ң,a,р
к,ү,р,ө,ш,ү,ү,$,V,PL,2,INFM,PST	к,ү,р,ө,ш,т,ү,ң,ө,р
к,ү,р,ө,ш,ү,ү,$,V,PRF,PL,1,PST	к,ү,p,ө,ш,к,ө,н,б,ү,з
к,ү,р,ө,ш,ү,ү,$,V,COND,PL,3,FUT	к,ү,p,ө,ш,ө,p
к,ү,р,ө,ш,ү,ү,$,V,PROG,PL,1,PST	к,ү,р,ө,ш,ү,п, ,ж,a,т,к,a,н,б,ы,з
к,ү,р,ө,ш,ү,ү,$,V,HAB,PL,1,PST	к,ү,p,ө,ш,ч,ү,б,ү,з
к,ү,р,ө,ш,ү,ү,$,V,PL,1,FUT	к,ү,р,ө,ш,ө,б,ү,з
