অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,ে,ন
ল,ু,ক,া,ন,ো,$,V,PRF,3,INFM,PRS	ল,ু,ক,ি,য,়,ে,ছ,ো
ল,ু,ক,া,ন,ো,$,V,PROG,2,PST,LGSPEC1	ল,ু,ক,া,চ,্,ছ,ি,ল,ি
ল,ু,ক,া,ন,ো,$,V,PRF,2,POL,PRS	ল,ু,ক,ি,য,়,ে,ছ,ে
ল,ু,ক,া,ন,ো,$,V,3,POL,PRS	ল,ু,ক,া,ন
ল,ু,ক,া,ন,ো,$,V,PRF,1,PRS	ল,ু,ক,ি,য,়,ে,ছ,ি
ল,ু,ক,া,ন,ো,$,V,HAB,3,POL,PST	ল,ু,ক,া,ত,ে,ন
ল,ু,ক,া,ন,ো,$,V,1,PRS	ল,ু,ক,া,ই
ন,া,ম,$,N,LOC,NDEF	ন,া,ম,ে
ন,া,ম,$,N,LOC,DEF,SG	ন,া,ম,ট,া,ত,ে
ন,া,ম,$,N,NOM,NDEF	ন,া,ম
ন,া,ম,$,N,ACC,DEF,SG	ন,া,ম,ট,া
ন,া,ম,$,N,NOM,DEF,SG	ন,া,ম,ট,া
ন,া,ম,$,N,ACC,DEF,PL	ন,া,ম,গ,ু,ল,া
ন,া,ম,$,N,ACC,NDEF	ন,া,ম
ন,া,ম,$,N,LOC,DEF,PL	ন,া,ম,গ,ু,ল,া,ত,ে
ন,া,ম,$,N,GEN,NDEF	ন,া,ম,ে,র
ন,া,ম,$,N,GEN,DEF,SG	ন,া,ম,ট,া,র
ন,া,ম,$,N,NOM,DEF,PL	ন,া,ম,গ,ু,ল,া
ন,া,ম,$,N,GEN,DEF,PL	ন,া,ম,গ,ু,ল,া,র
ঘ,ট,ন,া,$,N,LOC,DEF,SG	ঘ,ট,ন,া,ট,া,ত,ে
ঘ,ট,ন,া,$,N,LOC,NDEF	ঘ,ট,ন,া,ত,ে
ঘ,ট,ন,া,$,N,ACC,DEF,SG	ঘ,ট,ন,া,ট,া
ঘ,ট,ন,া,$,N,ACC,NDEF	ঘ,ট,ন,া
ঘ,ট,ন,া,$,N,ACC,DEF,PL	ঘ,ট,ন,া,গ,ু,ল,া
ঘ,ট,ন,া,$,N,NOM,NDEF	ঘ,ট,ন,া
ঘ,ট,ন,া,$,N,LOC,DEF,PL	ঘ,ট,ন,া,গ,ু,ল,া,ত,ে
ঘ,ট,ন,া,$,N,NOM,DEF,SG	ঘ,ট,ন,া,ট,া
ঘ,ট,ন,া,$,N,GEN,DEF,PL	ঘ,ট,ন,া,গ,ু,ল,া,র
ঘ,ট,ন,া,$,N,GEN,NDEF	ঘ,ট,ন,া,র
ঘ,ট,ন,া,$,N,NOM,DEF,PL	ঘ,ট,ন,া,গ,ু,ল,া
ঘ,ট,ন,া,$,N,GEN,DEF,SG	ঘ,ট,ন,া,ট,া,র
জ,া,ন,া,ল,া,$,N,NOM,NDEF	জ,া,ন,া,ল,া
জ,া,ন,া,ল,া,$,N,NOM,DEF,PL	জ,া,ন,া,ল,া,গ,ু,ল,া
জ,া,ন,া,ল,া,$,N,ACC,DEF,SG	জ,া,ন,া,ল,া,ট,া
জ,া,ন,া,ল,া,$,N,GEN,NDEF	জ,া,ন,া,ল,া,র
জ,া,ন,া,ল,া,$,N,LOC,DEF,PL	জ,া,ন,া,ল,া,গ,ু,ল,া,ত,ে
জ,া,ন,া,ল,া,$,N,NOM,DEF,SG	জ,া,ন,া,ল,া,ট,া
জ,া,ন,া,ল,া,$,N,LOC,DEF,SG	জ,া,ন,া,ল,া,ট,া,ত,ে
জ,া,ন,া,ল,া,$,N,GEN,DEF,PL	জ,া,ন,া,ল,া,গ,ু,ল,া,র
জ,া,ন,া,ল,া,$,N,GEN,DEF,SG	জ,া,ন,া,ল,া,ট,া,র
জ,া,ন,া,ল,া,$,N,LOC,NDEF	জ,া,ন,া,ল,া,ত,ে
জ,া,ন,া,ল,া,$,N,ACC,DEF,PL	জ,া,ন,া,ল,া,গ,ু,ল,া
জ,া,ন,া,ল,া,$,N,ACC,NDEF	জ,া,ন,া,ল,া
অ,ঙ,্,গ,$,N,GEN,DEF,SG	অ,ঙ,্,গ,ট,া,র
অ,ঙ,্,গ,$,N,NOM,NDEF	অ,ঙ,্,গ
অ,ঙ,্,গ,$,N,NOM,DEF,SG	অ,ঙ,্,গ,ট,া
অ,ঙ,্,গ,$,N,LOC,DEF,PL	অ,ঙ,্,গ,গ,ু,ল,া,ত,ে
অ,ঙ,্,গ,$,N,ACC,DEF,SG	অ,ঙ,্,গ,ট,া
অ,ঙ,্,গ,$,N,GEN,NDEF	অ,ঙ,্,গ,ে,র
অ,ঙ,্,গ,$,N,LOC,NDEF	অ,ঙ,্,গ,ে
অ,ঙ,্,গ,$,N,LOC,DEF,SG	অ,ঙ,্,গ,ট,া,ত,ে
অ,ঙ,্,গ,$,N,NOM,DEF,PL	অ,ঙ,্,গ,গ,ু,ল,া
অ,ঙ,্,গ,$,N,GEN,DEF,PL	অ,ঙ,্,গ,গ,ু,ল,া,র
অ,ঙ,্,গ,$,N,ACC,DEF,PL	অ,ঙ,্,গ,গ,ু,ল,া
অ,ঙ,্,গ,$,N,ACC,NDEF	অ,ঙ,্,গ
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,2,PRS,LGSPEC1	ব,ৃ,ষ,্,ট,ি, ,হ,স
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,3,POL,PST	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ি,ল,ে,ন
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,HAB,2,PST,LGSPEC1	ব,ৃ,ষ,্,ট,ি, ,হ,ত,ি,স
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,3,INFM,PST	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ি,ল,ে
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,2,POL,PST	ব,ৃ,ষ,্,ট,ি, ,হ,ল,ো
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,HAB,1,PST	ব,ৃ,ষ,্,ট,ি, ,হ,ত,া,ম
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,2,PST,LGSPEC1	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ি,ল,ি
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,2,PRS,LGSPEC1	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ি,স
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,2,POL,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ে
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,3,INFM,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ো
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,3,INFM,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ো
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,HAB,3,POL,PST	ব,ৃ,ষ,্,ট,ি, ,হ,ত,ে,ন
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,HAB,3,INFM,PST	ব,ৃ,ষ,্,ট,ি, ,হ,ত,ে
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,3,POL,PST	ব,ৃ,ষ,্,ট,ি, ,হ,ল,ে,ন
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,2,POL,PST	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ি,ল,ো
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,1,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,ই
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,1,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ি
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,1,FUT	ব,ৃ,ষ,্,ট,ি, ,হ,ব,ো
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,2,POL,PST	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ি,ল,ো
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,1,PST	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ি,ল,া,ম
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,3,INFM,PST	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ি,ল,ে
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,2,PRS,LGSPEC1	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ি,স
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,2,PST,LGSPEC1	ব,ৃ,ষ,্,ট,ি, ,হ,ল,ি
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,NFIN	ব,ৃ,ষ,্,ট,ি, ,হ,ত,ে
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,HAB,2,POL,PST	ব,ৃ,ষ,্,ট,ি, ,হ,ত,ো
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,2,PST,LGSPEC1	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ি,ল,ি
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,3,POL,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ে,ন
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,3,INFM,PST	ব,ৃ,ষ,্,ট,ি, ,হ,ল,ে
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,1,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ি
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,3,POL,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,ন
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,3,POL,FUT	ব,ৃ,ষ,্,ট,ি, ,হ,ব,ে,ন
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,2,FUT,LGSPEC1	ব,ৃ,ষ,্,ট,ি, ,হ,ব,ি
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,3,POL,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ে,ন
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,2,POL,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ে
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,2,POL,FUT	ব,ৃ,ষ,্,ট,ি, ,হ,ব,ে
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,1,PST	ব,ৃ,ষ,্,ট,ি, ,হ,ল,া,ম
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,3,INFM,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,ও
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PROG,1,PST	ব,ৃ,ষ,্,ট,ি, ,হ,চ,্,ছ,ি,ল,া,ম
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,2,POL,PRS	ব,ৃ,ষ,্,ট,ি, ,হ,য,়
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,3,INFM,FUT	ব,ৃ,ষ,্,ট,ি, ,হ,ব,ে
ব,ৃ,ষ,্,ট,ি, ,হ,ও,য,়,া,$,V,PRF,3,POL,PST	ব,ৃ,ষ,্,ট,ি, ,হ,য,়,ে,ছ,ি,ল,ে,ন
জ,া,ন,া,$,V,PROG,1,PST	জ,া,ন,ছ,ি,ল,া,ম
জ,া,ন,া,$,V,3,POL,PRS	জ,া,ন,ে,ন
জ,া,ন,া,$,V,PROG,3,POL,PRS	জ,া,ন,ছ,ে,ন
জ,া,ন,া,$,V,PRF,1,PST	জ,ে,ন,ে,ছ,ি,ল,া,ম
জ,া,ন,া,$,V,PROG,3,INFM,PRS	জ,া,ন,ছ,ো
জ,া,ন,া,$,V,2,PST,LGSPEC1	জ,া,ন,ল,ি
জ,া,ন,া,$,V,1,PRS	জ,া,ন,ি
জ,া,ন,া,$,V,HAB,3,POL,PST	জ,া,ন,ত,ে,ন
জ,া,ন,া,$,V,PRF,3,INFM,PST	জ,ে,ন,ে,ছ,ি,ল,ে
জ,া,ন,া,$,V,1,PST	জ,া,ন,ল,া,ম
জ,া,ন,া,$,V,HAB,2,POL,PST	জ,া,ন,ত,ো
জ,া,ন,া,$,V,PROG,3,POL,PST	জ,া,ন,ছ,ি,ল,ে,ন
জ,া,ন,া,$,V,NFIN	জ,া,ন,ত,ে
জ,া,ন,া,$,V,PROG,2,POL,PRS	জ,া,ন,ছ,ে
জ,া,ন,া,$,V,3,INFM,PST	জ,া,ন,ল,ে
জ,া,ন,া,$,V,2,POL,PRS	জ,া,ন,ে
জ,া,ন,া,$,V,3,POL,PST	জ,া,ন,ল,ে,ন
জ,া,ন,া,$,V,PRF,2,PST,LGSPEC1	জ,ে,ন,ে,ছ,ি,ল,ি
জ,া,ন,া,$,V,HAB,3,INFM,PST	জ,া,ন,ত,ে
জ,া,ন,া,$,V,PRF,2,POL,PRS	জ,ে,ন,ে,ছ,ে
জ,া,ন,া,$,V,HAB,1,PST	জ,া,ন,ত,া,ম
জ,া,ন,া,$,V,2,PRS,LGSPEC1	জ,া,ন,ি,স
জ,া,ন,া,$,V,HAB,2,PST,LGSPEC1	জ,া,ন,ত,ি,স
জ,া,ন,া,$,V,1,FUT	জ,া,ন,ব,ো
জ,া,ন,া,$,V,PROG,2,PST,LGSPEC1	জ,া,ন,ছ,ি,ল,ি
জ,া,ন,া,$,V,PRF,3,POL,PRS	জ,ে,ন,ে,ছ,ে,ন
জ,া,ন,া,$,V,PRF,3,INFM,PRS	জ,ে,ন,ে,ছ,ো
জ,া,ন,া,$,V,2,FUT,LGSPEC1	জ,া,ন,ব,ি
জ,া,ন,া,$,V,PRF,3,POL,PST	জ,ে,ন,ে,ছ,ি,ল,ে,ন
জ,া,ন,া,$,V,PROG,2,POL,PST	জ,া,ন,ছ,ি,ল,ো
জ,া,ন,া,$,V,PROG,3,INFM,PST	জ,া,ন,ছ,ি,ল,ে
জ,া,ন,া,$,V,2,POL,FUT	জ,া,ন,ব,ে
জ,া,ন,া,$,V,PRF,1,PRS	জ,ে,ন,ে,ছ,ি
জ,া,ন,া,$,V,PROG,2,PRS,LGSPEC1	জ,া,ন,ছ,ি,স
জ,া,ন,া,$,V,3,POL,FUT	জ,া,ন,ব,ে,ন
জ,া,ন,া,$,V,3,INFM,PRS	জ,া,ন,ো
জ,া,ন,া,$,V,2,POL,PST	জ,া,ন,ল,ো
জ,া,ন,া,$,V,3,INFM,FUT	জ,া,ন,ব,ে
জ,া,ন,া,$,V,PRF,2,POL,PST	জ,ে,ন,ে,ছ,ি,ল,ো
জ,া,ন,া,$,V,PRF,2,PRS,LGSPEC1	জ,ে,ন,ে,ছ,ি,স
জ,া,ন,া,$,V,PROG,1,PRS	জ,া,ন,ছ,ি
খ,া,ও,য,়,া,$,V,3,INFM,PRS	খ,া,ও
খ,া,ও,য,়,া,$,V,PROG,1,PST	খ,া,চ,্,ছ,ি,ল,া,ম
খ,া,ও,য,়,া,$,V,HAB,2,POL,PST	খ,ে,ত,ো
খ,া,ও,য,়,া,$,V,PROG,1,PRS	খ,া,চ,্,ছ,ি
খ,া,ও,য,়,া,$,V,HAB,1,PST	খ,ে,ত,া,ম
খ,া,ও,য,়,া,$,V,2,POL,PST	খ,ে,ল,ো
খ,া,ও,য,়,া,$,V,2,POL,PRS	খ,া,য,়
খ,া,ও,য,়,া,$,V,PROG,3,POL,PRS	খ,া,চ,্,ছ,ে,ন
খ,া,ও,য,়,া,$,V,PRF,3,INFM,PRS	খ,ে,য,়,ে,ছ,ো
খ,া,ও,য,়,া,$,V,PROG,2,PST,LGSPEC1	খ,া,চ,্,ছ,ি,ল,ি
খ,া,ও,য,়,া,$,V,1,PRS	খ,া,ই
খ,া,ও,য,়,া,$,V,PROG,3,POL,PST	খ,া,চ,্,ছ,ি,ল,ে,ন
খ,া,ও,য,়,া,$,V,1,FUT	খ,া,ব,ো
খ,া,ও,য,়,া,$,V,PRF,2,PRS,LGSPEC1	খ,ে,য,়,ে,ছ,ি,স
খ,া,ও,য,়,া,$,V,2,FUT,LGSPEC1	খ,া,ব,ি
খ,া,ও,য,়,া,$,V,HAB,3,POL,PST	খ,ে,ত,ে,ন
খ,া,ও,য,়,া,$,V,PRF,2,PST,LGSPEC1	খ,ে,য,়,ে,ছ,ি,ল,ি
খ,া,ও,য,়,া,$,V,PRF,1,PST	খ,ে,য,়,ে,ছ,ি,ল,া,ম
খ,া,ও,য,়,া,$,V,HAB,3,INFM,PST	খ,ে,ত,ে
খ,া,ও,য,়,া,$,V,PROG,2,POL,PRS	খ,া,চ,্,ছ,ে
খ,া,ও,য,়,া,$,V,PROG,2,POL,PST	খ,া,চ,্,ছ,ি,ল,ো
খ,া,ও,য,়,া,$,V,PRF,2,POL,PST	খ,ে,য,়,ে,ছ,ি,ল,ো
খ,া,ও,য,়,া,$,V,PROG,3,INFM,PST	খ,া,চ,্,ছ,ি,ল,ে
খ,া,ও,য,়,া,$,V,1,PST	খ,ে,ল,া,ম
খ,া,ও,য,়,া,$,V,PROG,3,INFM,PRS	খ,া,চ,্,ছ,ো
খ,া,ও,য,়,া,$,V,PRF,3,INFM,PST	খ,ে,য,়,ে,ছ,ি,ল,ে
খ,া,ও,য,়,া,$,V,PRF,3,POL,PRS	খ,ে,য,়,ে,ছ,ে,ন
খ,া,ও,য,়,া,$,V,PRF,3,POL,PST	খ,ে,য,়,ে,ছ,ি,ল,ে,ন
খ,া,ও,য,়,া,$,V,3,POL,PST	খ,ে,ল,ে,ন
খ,া,ও,য,়,া,$,V,3,INFM,PST	খ,ে,ল,ে
খ,া,ও,য,়,া,$,V,PROG,2,PRS,LGSPEC1	খ,া,চ,্,ছ,ি,স
খ,া,ও,য,়,া,$,V,3,INFM,FUT	খ,া,ব,ে
খ,া,ও,য,়,া,$,V,2,POL,FUT	খ,া,ব,ে
খ,া,ও,য,়,া,$,V,NFIN	খ,ে,ত,ে
খ,া,ও,য,়,া,$,V,PRF,1,PRS	খ,ে,য,়,ে,ছ,ি
খ,া,ও,য,়,া,$,V,2,PST,LGSPEC1	খ,ে,ল,ি
খ,া,ও,য,়,া,$,V,3,POL,PRS	খ,া,ন
খ,া,ও,য,়,া,$,V,HAB,2,PST,LGSPEC1	খ,ে,ত,ি,স
খ,া,ও,য,়,া,$,V,2,PRS,LGSPEC1	খ,া,স
খ,া,ও,য,়,া,$,V,PRF,2,POL,PRS	খ,ে,য,়,ে,ছ,ে
খ,া,ও,য,়,া,$,V,3,POL,FUT	খ,া,ব,ে,ন
ব,স,া,$,V,PROG,3,POL,PRS	ব,স,ছ,ে,ন
ব,স,া,$,V,PRF,1,PST	ব,স,ে,ছ,ি,ল,া,ম
ব,স,া,$,V,HAB,1,PST	ব,স,ত,া,ম
ব,স,া,$,V,PROG,2,POL,PRS	ব,স,ছ,ে
ব,স,া,$,V,3,INFM,FUT	ব,স,ব,ে
ব,স,া,$,V,3,POL,PRS	ব,স,ে,ন
ব,স,া,$,V,1,PRS	ব,স,ি
ব,স,া,$,V,PRF,1,PRS	ব,স,ে,ছ,ি
ব,স,া,$,V,PRF,2,PRS,LGSPEC1	ব,স,ে,ছ,ি,স
ব,স,া,$,V,HAB,2,PST,LGSPEC1	ব,স,ত,ি,স
ব,স,া,$,V,PRF,3,INFM,PRS	ব,স,ে,ছ,ো
ব,স,া,$,V,NFIN	ব,স,ত,ে
ব,স,া,$,V,1,PST	ব,স,ল,া,ম
ব,স,া,$,V,PRF,3,POL,PRS	ব,স,ে,ছ,ে,ন
ব,স,া,$,V,1,FUT	ব,স,ব,ো
ব,স,া,$,V,3,INFM,PST	ব,স,ল,ে
ব,স,া,$,V,2,POL,FUT	ব,স,ব,ে
ব,স,া,$,V,PROG,2,PST,LGSPEC1	ব,স,ছ,ি,ল,ি
ব,স,া,$,V,HAB,3,INFM,PST	ব,স,ত,ে
ব,স,া,$,V,3,POL,FUT	ব,স,ব,ে,ন
ব,স,া,$,V,2,POL,PST	ব,স,ল,ো
ব,স,া,$,V,PROG,3,INFM,PST	ব,স,ছ,ি,ল,ে
ব,স,া,$,V,PROG,3,INFM,PRS	ব,স,ছ,ো
ব,স,া,$,V,HAB,2,POL,PST	ব,স,ত,ো
ব,স,া,$,V,PROG,3,POL,PST	ব,স,ছ,ি,ল,ে,ন
ব,স,া,$,V,PRF,3,POL,PST	ব,স,ে,ছ,ি,ল,ে,ন
ব,স,া,$,V,PROG,1,PRS	ব,স,ছ,ি
ব,স,া,$,V,PRF,2,PST,LGSPEC1	ব,স,ে,ছ,ি,ল,ি
ব,স,া,$,V,3,POL,PST	ব,স,ল,ে,ন
ব,স,া,$,V,PROG,1,PST	ব,স,ছ,ি,ল,া,ম
ব,স,া,$,V,PRF,3,INFM,PST	ব,স,ে,ছ,ি,ল,ে
ব,স,া,$,V,2,POL,PRS	ব,স,ে
ব,স,া,$,V,PROG,2,POL,PST	ব,স,ছ,ি,ল,ো
ব,স,া,$,V,2,PST,LGSPEC1	ব,স,ল,ি
ব,স,া,$,V,PRF,2,POL,PST	ব,স,ে,ছ,ি,ল,ো
ব,স,া,$,V,PRF,2,POL,PRS	ব,স,ে,ছ,ে
ব,স,া,$,V,3,INFM,PRS	ব,স,ো
ব,স,া,$,V,2,PRS,LGSPEC1	ব,স,ি,স
ব,স,া,$,V,2,FUT,LGSPEC1	ব,স,ব,ি
ব,স,া,$,V,PROG,2,PRS,LGSPEC1	ব,স,ছ,ি,স
ব,স,া,$,V,HAB,3,POL,PST	ব,স,ত,ে,ন
প,্,র,শ,্,ন, ,ক,র,া,$,V,1,PRS	প,্,র,শ,্,ন, ,ক,র,ি
প,্,র,শ,্,ন, ,ক,র,া,$,V,HAB,3,INFM,PST	প,্,র,শ,্,ন, ,ক,র,ত,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,2,FUT,LGSPEC1	প,্,র,শ,্,ন, ,ক,র,ব,ি
প,্,র,শ,্,ন, ,ক,র,া,$,V,HAB,2,POL,PST	প,্,র,শ,্,ন, ,ক,র,ত,ো
প,্,র,শ,্,ন, ,ক,র,া,$,V,2,PRS,LGSPEC1	প,্,র,শ,্,ন, ,ক,র,ি,স
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,3,POL,PRS	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ে,ন
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,2,POL,PST	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ি,ল,ো
প,্,র,শ,্,ন, ,ক,র,া,$,V,2,POL,FUT	প,্,র,শ,্,ন, ,ক,র,ব,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,1,PST	প,্,র,শ,্,ন, ,ক,র,ল,া,ম
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,2,PRS,LGSPEC1	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ি,স
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,3,INFM,PRS	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ো
প,্,র,শ,্,ন, ,ক,র,া,$,V,1,FUT	প,্,র,শ,্,ন, ,ক,র,ব,ো
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,3,INFM,PST	প,্,র,শ,্,ন, ,ক,র,ছ,ি,ল,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,3,POL,FUT	প,্,র,শ,্,ন, ,ক,র,ব,ে,ন
প,্,র,শ,্,ন, ,ক,র,া,$,V,3,INFM,FUT	প,্,র,শ,্,ন, ,ক,র,ব,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,3,INFM,PST	প,্,র,শ,্,ন, ,ক,র,ল,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,HAB,1,PST	প,্,র,শ,্,ন, ,ক,র,ত,া,ম
প,্,র,শ,্,ন, ,ক,র,া,$,V,3,POL,PST	প,্,র,শ,্,ন, ,ক,র,ল,ে,ন
প,্,র,শ,্,ন, ,ক,র,া,$,V,2,POL,PST	প,্,র,শ,্,ন, ,ক,র,ল,ো
প,্,র,শ,্,ন, ,ক,র,া,$,V,3,INFM,PRS	প,্,র,শ,্,ন, ,ক,র,ো
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,2,POL,PST	প,্,র,শ,্,ন, ,ক,র,ছ,ি,ল,ো
প,্,র,শ,্,ন, ,ক,র,া,$,V,2,POL,PRS	প,্,র,শ,্,ন, ,ক,র,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,3,POL,PRS	প,্,র,শ,্,ন, ,ক,র,ে,ন
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,1,PST	প,্,র,শ,্,ন, ,ক,র,ছ,ি,ল,া,ম
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,1,PRS	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ি
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,2,PRS,LGSPEC1	প,্,র,শ,্,ন, ,ক,র,ছ,ি,স
প,্,র,শ,্,ন, ,ক,র,া,$,V,HAB,2,PST,LGSPEC1	প,্,র,শ,্,ন, ,ক,র,ত,ি,স
প,্,র,শ,্,ন, ,ক,র,া,$,V,2,PST,LGSPEC1	প,্,র,শ,্,ন, ,ক,র,ল,ি
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,3,INFM,PST	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ি,ল,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,3,POL,PST	প,্,র,শ,্,ন, ,ক,র,ছ,ি,ল,ে,ন
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,2,POL,PRS	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,2,PST,LGSPEC1	প,্,র,শ,্,ন, ,ক,র,ছ,ি,ল,ি
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,1,PST	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ি,ল,া,ম
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,1,PRS	প,্,র,শ,্,ন, ,ক,র,ছ,ি
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,3,POL,PRS	প,্,র,শ,্,ন, ,ক,র,ছ,ে,ন
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,2,POL,PRS	প,্,র,শ,্,ন, ,ক,র,ছ,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,PROG,3,INFM,PRS	প,্,র,শ,্,ন, ,ক,র,ছ,ো
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,3,POL,PST	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ি,ল,ে,ন
