n,y,a,a,$,V,PL,1,PST	n,y,a,a,n,e,e
j,a,a,l,a,l,a,$,V,SG,1,PRS	j,a,a,l,a,l,a,a,a, ,j,i,r,a,a
j,a,a,l,a,l,a,$,V,PL,2,PST	j,a,a,l,a,l,a,t,t,a,n,i,i
j,a,a,l,a,l,a,$,V,PL,3,PST	j,a,a,l,a,l,a,t,a,n,i,i
j,a,a,l,a,l,a,$,V,NFIN	j,a,a,l,a,l,a
j,a,a,l,a,l,a,$,V,FEM,SG,3,PST	j,a,a,l,a,l,a,t,t,e,e
j,a,a,l,a,l,a,$,V,MASC,SG,3,PST	j,a,a,l,a,l,a,t,e,e
j,a,a,l,a,l,a,$,V,PL,2,FUT	n,i, ,j,a,a,l,a,l,a,t,t,u,u
j,a,a,l,a,l,a,$,V,PL,1,FUT	n,i, ,j,a,a,l,a,l,a,n,n,a,a
j,a,a,l,a,l,a,$,V,PL,2,PRS	j,a,a,l,a,l,a,a,a, ,j,i,r,t,u,u
j,a,a,l,a,l,a,$,V,SG,1,PST	j,a,a,l,a,l,a,d,h,e,e
j,a,a,l,a,l,a,$,V,SG,1,FUT	n,i, ,j,a,a,l,a,l,a,d,h,a,a
j,a,a,l,a,l,a,$,V,PL,3,FUT	n,i, ,j,a,a,l,a,l,a,t,a,n,i,i
j,a,a,l,a,l,a,$,V,SG,2,PST	j,a,a,l,a,l,a,t,t,e,e
j,a,a,l,a,l,a,$,V,FEM,SG,3,PRS	j,a,a,l,a,l,a,a,a, ,j,i,r,t,i,i
j,a,a,l,a,l,a,$,V,SG,2,FUT	n,i, ,j,a,a,l,a,l,a,t,t,a,a
j,a,a,l,a,l,a,$,V,FEM,SG,3,FUT	n,i, ,j,a,a,l,a,l,a,t,t,i,i
j,a,a,l,a,l,a,$,V,PL,1,PRS	j,a,a,l,a,l,a,a,a, ,j,i,r,a,a
j,a,a,l,a,l,a,$,V,MASC,SG,3,PRS	j,a,a,l,a,l,a,a,a, ,j,i,r,a,a
j,a,a,l,a,l,a,$,V,MASC,SG,3,FUT	n,i, ,j,a,a,l,a,l,a,t,a,a
d,e,e,m,a,a,$,V,SG,1,FUT	n,i, ,d,e,e,m,a,a,d,h,a,a
d,e,e,m,a,a,$,V,PL,2,PST	d,e,e,m,a,a,t,t,a,n,i,i
d,e,e,m,a,a,$,V,PL,1,PRS	d,e,e,m,a,a,a,a, ,j,i,r,a,a
d,e,e,m,a,a,$,V,PL,3,PST	d,e,e,m,a,a,t,a,n,i,i
d,e,e,m,a,a,$,V,MASC,SG,3,PST	d,e,e,m,a,a,t,e,e
d,e,e,m,a,a,$,V,SG,1,PST	d,e,e,m,a,a,d,h,e,e
d,e,e,m,a,a,$,V,PL,3,PRS	d,e,e,m,a,a,a,a, ,j,i,r,a,n,i,i
d,e,e,m,a,a,$,V,FEM,SG,3,PRS	d,e,e,m,a,a,a,a, ,j,i,r,t,i,i
d,e,e,m,a,a,$,V,MASC,SG,3,PRS	d,e,e,m,a,a,a,a, ,j,i,r,a,a
d,e,e,m,a,a,$,V,FEM,SG,3,FUT	n,i, ,d,e,e,m,a,a,t,t,i,i
d,e,e,m,a,a,$,V,SG,2,FUT	n,i, ,d,e,e,m,a,a,t,t,a,a
d,e,e,m,a,a,$,V,SG,2,PST	d,e,e,m,a,a,t,t,e,e
d,e,e,m,a,a,$,V,FEM,SG,3,PST	d,e,e,m,a,a,t,t,e,e
d,e,e,m,a,a,$,V,NFIN	d,e,e,m,a,a
d,e,e,m,a,a,$,V,PL,1,FUT	n,i, ,d,e,e,m,a,a,n,n,a,a
d,e,e,m,a,a,$,V,PL,3,FUT	n,i, ,d,e,e,m,a,a,t,a,n,i,i
d,e,e,m,a,a,$,V,PL,1,PST	d,e,e,m,a,a,n,e,e
d,e,e,m,a,a,$,V,PL,2,PRS	d,e,e,m,a,a,a,a, ,j,i,r,t,u,u
d,e,e,m,a,a,$,V,SG,1,PRS	d,e,e,m,a,a,a,a, ,j,i,r,a,a
d,e,e,m,a,a,$,V,PL,2,FUT	n,i, ,d,e,e,m,a,a,t,t,u,u
d,e,e,m,a,a,$,V,MASC,SG,3,FUT	n,i, ,d,e,e,m,a,a,t,a,a
d,e,e,m,a,a,$,V,SG,2,PRS	d,e,e,m,a,a,a,a, ,j,i,r,t,a,a
d,u,b,b,i,s,$,V,PL,2,PRS	d,u,b,b,i,s,a,a, ,j,i,r,t,u,u
d,u,b,b,i,s,$,V,MASC,SG,3,FUT	n,i, ,d,u,b,b,i,s,t,a,a
d,u,b,b,i,s,$,V,SG,2,FUT	n,i, ,d,u,b,b,i,s,t,t,a,a
d,u,b,b,i,s,$,V,MASC,SG,3,PRS	d,u,b,b,i,s,a,a, ,j,i,r,a,a
d,u,b,b,i,s,$,V,PL,2,PST	d,u,b,b,i,s,t,t,a,n,i,i
d,u,b,b,i,s,$,V,PL,3,PST	d,u,b,b,i,s,t,a,n,i,i
d,u,b,b,i,s,$,V,PL,1,PST	d,u,b,b,i,s,n,e,e
d,u,b,b,i,s,$,V,FEM,SG,3,PST	d,u,b,b,i,s,t,t,e,e
d,u,b,b,i,s,$,V,PL,1,FUT	n,i, ,d,u,b,b,i,s,n,n,a,a
d,u,b,b,i,s,$,V,SG,1,PST	d,u,b,b,i,s,d,h,e,e
d,u,b,b,i,s,$,V,PL,3,FUT	n,i, ,d,u,b,b,i,s,t,a,n,i,i
d,u,b,b,i,s,$,V,NFIN	d,u,b,b,i,s,u,u
d,u,b,b,i,s,$,V,SG,2,PST	d,u,b,b,i,s,t,t,e,e
d,u,b,b,i,s,$,V,SG,1,FUT	n,i, ,d,u,b,b,i,s,d,h,a,a
d,u,b,b,i,s,$,V,PL,2,FUT	n,i, ,d,u,b,b,i,s,t,t,u,u
d,u,b,b,i,s,$,V,MASC,SG,3,PST	d,u,b,b,i,s,t,e,e
d,u,b,b,i,s,$,V,FEM,SG,3,FUT	n,i, ,d,u,b,b,i,s,t,t,i,i
d,u,b,b,i,s,$,V,PL,1,PRS	d,u,b,b,i,s,a,a, ,j,i,r,a,a
d,u,b,b,i,s,$,V,PL,3,PRS	d,u,b,b,i,s,a,a, ,j,i,r,a,n,i,i
d,u,b,b,i,s,$,V,FEM,SG,3,PRS	d,u,b,b,i,s,a,a, ,j,i,r,t,i,i
d,u,b,b,i,s,$,V,SG,1,PRS	d,u,b,b,i,s,a,a, ,j,i,r,a,a
d,u,b,b,i,s,$,V,SG,2,PRS	d,u,b,b,i,s,a,a, ,j,i,r,t,a,a
b,i,l,c,h,e,e,s,s,$,V,PL,3,PRS	b,i,l,c,h,e,e,s,s,a,a, ,j,i,r,a,n,i,i
b,i,l,c,h,e,e,s,s,$,V,SG,1,PRS	b,i,l,c,h,e,e,s,s,a,a, ,j,i,r,a,a
b,i,l,c,h,e,e,s,s,$,V,PL,3,PST	b,i,l,c,h,e,e,s,s,t,a,n,i,i
b,i,l,c,h,e,e,s,s,$,V,SG,2,PST	b,i,l,c,h,e,e,s,s,t,t,e,e
b,i,l,c,h,e,e,s,s,$,V,SG,2,PRS	b,i,l,c,h,e,e,s,s,a,a, ,j,i,r,t,a,a
b,i,l,c,h,e,e,s,s,$,V,MASC,SG,3,PRS	b,i,l,c,h,e,e,s,s,a,a, ,j,i,r,a,a
b,i,l,c,h,e,e,s,s,$,V,PL,1,PRS	b,i,l,c,h,e,e,s,s,a,a, ,j,i,r,a,a
b,i,l,c,h,e,e,s,s,$,V,SG,1,FUT	n,i, ,b,i,l,c,h,e,e,s,s,d,h,a,a
b,i,l,c,h,e,e,s,s,$,V,SG,2,FUT	n,i, ,b,i,l,c,h,e,e,s,s,t,t,a,a
b,i,l,c,h,e,e,s,s,$,V,FEM,SG,3,PST	b,i,l,c,h,e,e,s,s,t,t,e,e
b,i,l,c,h,e,e,s,s,$,V,MASC,SG,3,PST	b,i,l,c,h,e,e,s,s,t,e,e
b,i,l,c,h,e,e,s,s,$,V,PL,1,FUT	n,i, ,b,i,l,c,h,e,e,s,s,n,n,a,a
b,i,l,c,h,e,e,s,s,$,V,FEM,SG,3,FUT	n,i, ,b,i,l,c,h,e,e,s,s,t,t,i,i
b,i,l,c,h,e,e,s,s,$,V,PL,2,FUT	n,i, ,b,i,l,c,h,e,e,s,s,t,t,u,u
b,i,l,c,h,e,e,s,s,$,V,NFIN	b,i,l,c,h,e,e,s,s,u,u
b,i,l,c,h,e,e,s,s,$,V,FEM,SG,3,PRS	b,i,l,c,h,e,e,s,s,a,a, ,j,i,r,t,i,i
b,i,l,c,h,e,e,s,s,$,V,MASC,SG,3,FUT	n,i, ,b,i,l,c,h,e,e,s,s,t,a,a
b,i,l,c,h,e,e,s,s,$,V,PL,2,PRS	b,i,l,c,h,e,e,s,s,a,a, ,j,i,r,t,u,u
b,i,l,c,h,e,e,s,s,$,V,PL,1,PST	b,i,l,c,h,e,e,s,s,n,e,e
b,i,l,c,h,e,e,s,s,$,V,SG,1,PST	b,i,l,c,h,e,e,s,s,d,h,e,e
b,i,l,c,h,e,e,s,s,$,V,PL,3,FUT	n,i, ,b,i,l,c,h,e,e,s,s,t,a,n,i,i
b,i,l,c,h,e,e,s,s,$,V,PL,2,PST	b,i,l,c,h,e,e,s,s,t,t,a,n,i,i
i,j,a,a,r,$,V,FEM,SG,3,PRS	i,j,a,a,r,a,a, ,j,i,r,t,i,i
i,j,a,a,r,$,V,SG,2,PST	i,j,a,a,r,t,t,e,e
i,j,a,a,r,$,V,FEM,SG,3,PST	i,j,a,a,r,t,t,e,e
i,j,a,a,r,$,V,PL,1,FUT	n,i, ,i,j,a,a,r,n,n,a,a
i,j,a,a,r,$,V,NFIN	i,j,a,a,r,u,u
i,j,a,a,r,$,V,PL,1,PRS	i,j,a,a,r,a,a, ,j,i,r,a,a
i,j,a,a,r,$,V,MASC,SG,3,FUT	n,i, ,i,j,a,a,r,t,a,a
i,j,a,a,r,$,V,MASC,SG,3,PST	i,j,a,a,r,t,e,e
i,j,a,a,r,$,V,PL,1,PST	i,j,a,a,r,n,e,e
i,j,a,a,r,$,V,PL,3,FUT	n,i, ,i,j,a,a,r,t,a,n,i,i
i,j,a,a,r,$,V,FEM,SG,3,FUT	n,i, ,i,j,a,a,r,t,t,i,i
i,j,a,a,r,$,V,PL,3,PRS	i,j,a,a,r,a,a, ,j,i,r,a,n,i,i
i,j,a,a,r,$,V,SG,1,PST	i,j,a,a,r,d,h,e,e
i,j,a,a,r,$,V,SG,1,PRS	i,j,a,a,r,a,a, ,j,i,r,a,a
i,j,a,a,r,$,V,SG,2,PRS	i,j,a,a,r,a,a, ,j,i,r,t,a,a
i,j,a,a,r,$,V,PL,3,PST	i,j,a,a,r,t,a,n,i,i
i,j,a,a,r,$,V,SG,1,FUT	n,i, ,i,j,a,a,r,d,h,a,a
i,j,a,a,r,$,V,MASC,SG,3,PRS	i,j,a,a,r,a,a, ,j,i,r,a,a
i,j,a,a,r,$,V,SG,2,FUT	n,i, ,i,j,a,a,r,t,t,a,a
i,j,a,a,r,$,V,PL,2,PRS	i,j,a,a,r,a,a, ,j,i,r,t,u,u
i,j,a,a,r,$,V,PL,2,PST	i,j,a,a,r,t,t,a,n,i,i
i,j,a,a,r,$,V,PL,2,FUT	n,i, ,i,j,a,a,r,t,t,u,u
