á,s,a,$,V,IPFV,AGFOC	u,m,a,á,s,a
p,ú,n,o,',$,V,IPFV,AGFOC	n,a,p,u,p,ú,n,o,'
p,ú,n,o,',$,V,AGFOC,LGSPEC1	m,a,p,u,p,ú,n,o,'
p,ú,n,o,',$,V,PFV,AGFOC	n,a,p,ú,n,o,'
k,a,m,i,t,$,V,PFOC,LGSPEC1	m,a,k,a,k,a,m,t,a,n
k,a,m,i,t,$,V,IPFV,AGFOC	n,a,k,a,k,a,m,i,t
k,a,m,i,t,$,V,PFV,PFOC	n,a,k,a,m,t,a,n
k,a,m,i,t,$,V,NFIN	k,a,m,i,t
k,a,m,i,t,$,V,AGFOC,LGSPEC1	m,a,k,a,k,a,m,i,t
k,a,m,i,t,$,V,IPFV,PFOC	n,a,k,a,k,a,m,t,a,n
k,a,m,i,t,$,V,PFV,AGFOC	n,a,k,a,m,i,t
u,n,l,a,d,$,V,PFV,AGFOC	u,m,u,n,l,a,d
u,n,l,a,d,$,V,IPFV,AGFOC	u,m,u,u,n,l,a,d
u,n,l,a,d,$,V,IPFV,PFOC	i,n,u,u,n,l,a,d
u,n,l,a,d,$,V,AGFOC,LGSPEC1	u,u,n,l,a,d
u,n,l,a,d,$,V,PFOC,LGSPEC1	u,u,n,l,a,r,i,n
u,n,l,a,d,$,V,NFIN	u,n,l,a,d
u,n,l,a,d,$,V,PFV,PFOC	i,n,u,n,l,a,d
t,a,n,g,g,i,$,V,PFOC,LGSPEC1	t,a,t,a,n,g,g,i,h,a,n
t,a,n,g,g,i,$,V,IPFV,AGFOC	t,a,m,a,t,a,n,g,g,i
t,a,n,g,g,i,$,V,PFV,AGFOC	t,u,m,a,n,g,g,i
t,a,n,g,g,i,$,V,AGFOC,LGSPEC1	t,a,t,a,n,g,g,i
t,a,n,g,g,i,$,V,IPFV,PFOC	t,i,n,a,t,a,n,g,g,i,h,a,n
t,a,n,g,g,i,$,V,NFIN	t,a,n,g,g,i
t,a,n,g,g,i,$,V,PFV,PFOC	t,i,n,a,n,g,g,i,h,a,n
t,r,a,b,a,h,o,$,V,AGFOC,LGSPEC1	m,a,g,t,a,t,r,a,b,a,h,o
t,r,a,b,a,h,o,$,V,PFV,AGFOC	n,a,g,t,r,a,b,a,h,o
t,r,a,b,a,h,o,$,V,NFIN	t,r,a,b,a,h,o
t,r,a,b,a,h,o,$,V,IPFV,PFOC	t,i,n,a,t,r,a,b,a,h,o
t,r,a,b,a,h,o,$,V,PFV,PFOC	t,i,n,r,a,b,a,h,o
t,r,a,b,a,h,o,$,V,IPFV,AGFOC	n,a,g,t,a,t,r,a,b,a,h,o
t,r,a,b,a,h,o,$,V,PFOC,LGSPEC1	t,a,t,r,a,b,a,h,u,i,n
u,l,i,t,$,V,PFV,AGFOC	n,a,g,-,u,l,i,t
u,l,i,t,$,V,NFIN	u,l,i,t
u,l,i,t,$,V,PFOC,LGSPEC1	u,u,l,i,t,i,n
u,l,i,t,$,V,AGFOC,LGSPEC1	m,a,g,-,u,u,l,i,t
u,l,i,t,$,V,PFV,PFOC	i,n,u,l,i,t
u,l,i,t,$,V,IPFV,PFOC	i,n,u,u,l,i,t
u,l,i,t,$,V,IPFV,AGFOC	n,a,g,-,u,u,l,i,t
u,l,i,t,$,V,PFV,AGFOC	u,m,u,l,i,t
u,l,i,t,$,V,IPFV,AGFOC	u,m,u,u,l,i,t
u,l,i,t,$,V,AGFOC,LGSPEC1	u,u,l,i,t
t,a,g,u,y,o,d,$,V,NFIN	t,a,g,u,y,o,d
t,a,g,u,y,o,d,$,V,AGFOC,LGSPEC1	m,a,g,t,a,t,a,g,u,y,o,d
t,a,g,u,y,o,d,$,V,IPFV,PFOC	t,i,n,a,t,a,g,u,y,o,d
t,a,g,u,y,o,d,$,V,PFV,PFOC	t,i,n,a,g,u,y,o,d
t,a,g,u,y,o,d,$,V,PFOC,LGSPEC1	i,t,a,t,a,g,u,y,o,d
t,a,g,u,y,o,d,$,V,IPFV,AGFOC	n,a,g,t,a,t,a,g,u,y,o,d
t,a,g,u,y,o,d,$,V,PFV,AGFOC	n,a,g,t,a,g,u,y,o,d
l,u,n,g,k,o,t,$,V,IPFV,PFOC	i,k,i,n,a,l,u,l,u,n,g,k,o,t
l,u,n,g,k,o,t,$,V,PFV,AGFOC	n,a,l,u,n,g,k,o,t
l,u,n,g,k,o,t,$,V,PFOC,LGSPEC1	i,k,a,l,u,l,u,n,g,k,o,t
l,u,n,g,k,o,t,$,V,PFV,PFOC	i,k,i,n,a,l,u,n,g,k,o,t
l,u,n,g,k,o,t,$,V,NFIN	l,u,n,g,k,o,t
l,u,n,g,k,o,t,$,V,IPFV,AGFOC	n,a,l,u,l,u,n,g,k,o,t
l,u,n,g,k,o,t,$,V,AGFOC,LGSPEC1	m,a,l,u,l,u,n,g,k,o,t
k,a,n,t,a,$,V,NFIN	k,a,n,t,a
k,a,n,t,a,$,V,IPFV,AGFOC	k,u,m,a,k,a,n,t,a
k,a,n,t,a,$,V,AGFOC,LGSPEC1	k,a,k,a,n,t,a
k,a,n,t,a,$,V,IPFV,PFOC	k,i,n,a,k,a,n,t,a
k,a,n,t,a,$,V,PFOC,LGSPEC1	k,a,k,a,n,t,a,h,i,n
k,a,n,t,a,$,V,PFV,PFOC	k,i,n,a,n,t,a
k,a,n,t,a,$,V,PFV,AGFOC	k,u,m,a,n,t,a
b,a,k,a,s,y,o,n,$,V,AGFOC,LGSPEC1	m,a,g,b,a,b,a,k,a,s,y,o,n
b,a,k,a,s,y,o,n,$,V,IPFV,AGFOC	n,a,g,b,a,b,a,k,a,s,y,o,n
b,a,k,a,s,y,o,n,$,V,PFV,AGFOC	n,a,g,b,a,k,a,s,y,o,n
b,a,k,a,s,y,o,n,$,V,PFV,PFOC	b,i,n,a,k,a,s,y,u,n,a,n
b,a,k,a,s,y,o,n,$,V,PFOC,LGSPEC1	b,a,b,a,k,a,s,y,u,n,a,n
b,a,k,a,s,y,o,n,$,V,NFIN	b,a,k,a,s,y,o,n
b,a,k,a,s,y,o,n,$,V,IPFV,PFOC	b,i,n,a,b,a,k,a,s,y,u,n,a,n
i,l,a,w,$,V,PFV,AGFOC	u,m,i,l,a,w
i,l,a,w,$,V,IPFV,AGFOC	u,m,i,i,l,a,w
i,l,a,w,$,V,PFV,PFOC	i,n,i,l,a,w,a,n
i,l,a,w,$,V,IPFV,PFOC	i,n,i,i,l,a,w,a,n
i,l,a,w,$,V,NFIN	i,l,a,w
i,l,a,w,$,V,AGFOC,LGSPEC1	i,i,l,a,w
i,l,a,w,$,V,PFOC,LGSPEC1	i,i,l,a,w,a,n
y,a,k,a,p,$,V,PFOC,LGSPEC1	y,a,y,a,k,a,p,i,n
y,a,k,a,p,$,V,NFIN	y,a,k,a,p
y,a,k,a,p,$,V,PFV,AGFOC	y,u,m,a,k,a,p
y,a,k,a,p,$,V,IPFV,PFOC	n,i,y,a,y,a,k,a,p
y,a,k,a,p,$,V,AGFOC,LGSPEC1	y,a,y,a,k,a,p
y,a,k,a,p,$,V,PFV,PFOC	n,i,y,a,k,a,p
y,a,k,a,p,$,V,IPFV,AGFOC	y,u,m,a,y,a,k,a,p
b,a,n,t,a,y,$,V,IPFV,AGFOC	n,a,g,b,a,b,a,n,t,a,y
b,a,n,t,a,y,$,V,AGFOC,LGSPEC1	m,a,g,b,a,b,a,n,t,a,y
b,a,n,t,a,y,$,V,NFIN	b,a,n,t,a,y
b,a,n,t,a,y,$,V,PFV,AGFOC	n,a,g,b,a,n,t,a,y
b,a,n,t,a,y,$,V,PFOC,LGSPEC1	b,a,b,a,n,t,a,y,a,n
b,a,n,t,a,y,$,V,IPFV,PFOC	b,i,n,a,b,a,n,t,a,y,a,n
b,a,n,t,a,y,$,V,PFV,PFOC	b,i,n,a,n,t,a,y,a,n
h,u,g,a,s,$,V,PFV,PFOC	h,i,n,u,g,a,s,a,n
h,u,g,a,s,$,V,AGFOC,LGSPEC1	m,a,g,h,u,h,u,g,a,s
h,u,g,a,s,$,V,IPFV,AGFOC	n,a,g,h,u,h,u,g,a,s
h,u,g,a,s,$,V,PFV,AGFOC	n,a,g,h,u,g,a,s
h,u,g,a,s,$,V,NFIN	h,u,g,a,s
h,u,g,a,s,$,V,PFOC,LGSPEC1	h,u,h,u,g,a,s,a,n
h,u,g,a,s,$,V,IPFV,PFOC	h,i,n,u,h,u,g,a,s,a,n
d,a,m,p,o,t,$,V,PFV,AGFOC	d,u,m,a,m,p,o,t
d,a,m,p,o,t,$,V,AGFOC,LGSPEC1	d,a,d,a,m,p,o,t
d,a,m,p,o,t,$,V,IPFV,AGFOC	d,u,m,a,d,a,m,p,o,t
d,a,m,p,o,t,$,V,PFV,PFOC	d,i,n,a,m,p,o,t
d,a,m,p,o,t,$,V,NFIN	d,a,m,p,o,t
d,a,m,p,o,t,$,V,PFOC,LGSPEC1	d,a,d,a,m,p,u,t,i,n
d,a,m,p,o,t,$,V,IPFV,PFOC	d,i,n,a,d,a,m,p,o,t
s,u,l,o,n,g,$,V,IPFV,AGFOC	s,u,m,u,s,u,l,o,n,g
s,u,l,o,n,g,$,V,IPFV,PFOC	s,i,n,u,s,u,l,o,n,g
s,u,l,o,n,g,$,V,PFV,PFOC	s,i,n,u,l,o,n,g
s,u,l,o,n,g,$,V,PFV,AGFOC	s,u,m,u,l,o,n,g
s,u,l,o,n,g,$,V,PFOC,LGSPEC1	s,u,s,u,l,u,n,g,i,n
s,u,l,o,n,g,$,V,AGFOC,LGSPEC1	s,u,s,u,l,o,n,g
s,u,l,o,n,g,$,V,NFIN	s,u,l,o,n,g
t,u,l,o,g,$,V,NFIN	t,u,l,o,g
t,u,l,o,g,$,V,PFV,PFOC	t,i,n,u,l,u,g,a,n
t,u,l,o,g,$,V,IPFV,PFOC	t,i,n,u,t,u,l,u,g,a,n
t,u,l,o,g,$,V,PFOC,LGSPEC1	t,u,t,u,l,u,g,a,n
t,u,l,o,g,$,V,IPFV,AGFOC	n,a,t,u,t,u,l,o,g
t,u,l,o,g,$,V,PFV,AGFOC	n,a,t,u,l,o,g
t,u,l,o,g,$,V,AGFOC,LGSPEC1	m,a,t,u,t,u,l,o,g
t,a,w,a,$,V,AGFOC,LGSPEC1	t,a,t,a,w,a
t,a,w,a,$,V,PFV,PFOC	t,i,n,a,w,a,n,a,n
t,a,w,a,$,V,PFV,AGFOC	t,u,m,a,w,a
t,a,w,a,$,V,IPFV,PFOC	t,i,n,a,t,a,w,a,n,a,n
t,a,w,a,$,V,IPFV,AGFOC	t,u,m,a,t,a,w,a
t,a,w,a,$,V,NFIN	t,a,w,a
t,a,w,a,$,V,PFOC,LGSPEC1	t,a,t,a,w,a,n,a,n
p,a,s,y,a,l,$,V,IPFV,AGFOC	n,a,m,a,m,a,s,y,a,l
p,a,s,y,a,l,$,V,PFV,AGFOC	n,a,m,a,s,y,a,l
p,a,s,y,a,l,$,V,AGFOC,LGSPEC1	m,a,m,a,m,a,s,y,a,l
p,a,s,y,a,l,$,V,PFOC,LGSPEC1	p,a,p,a,s,y,a,l,a,n
p,a,s,y,a,l,$,V,NFIN	p,a,s,y,a,l
p,a,s,y,a,l,$,V,IPFV,PFOC	p,i,n,a,p,a,s,y,a,l,a,n
p,a,s,y,a,l,$,V,PFV,PFOC	p,i,n,a,s,y,a,l,a,n
s,a,m,a,$,V,AGFOC,LGSPEC1	s,a,s,a,m,a
s,a,m,a,$,V,PFV,PFOC	s,i,n,a,m,a,h,a,n
s,a,m,a,$,V,PFV,AGFOC	s,u,m,a,m,a
s,a,m,a,$,V,IPFV,AGFOC	s,u,m,a,s,a,m,a
s,a,m,a,$,V,PFOC,LGSPEC1	s,a,s,a,m,a,h,a,n
s,a,m,a,$,V,IPFV,PFOC	s,i,n,a,s,a,m,a,h,a,n
s,a,m,a,$,V,NFIN	s,a,m,a
